Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,25-Aug-2026,24000,Put,117945,122380,-4435,-3.62,172.95,268.8,-35.66,105204,12466.8318,24250.2
M&M,Stock Futures,25-Aug-2026,0,-,73408,77424,-4016,-5.19,3229.1,3286.8,-1.76,16265,105996.4026,3228.0
NIFTY,Index Options,04-Aug-2026,25700,Call,3910,7291,-3381,-46.37,0.8,0.9,-11.11,44204,22.69875,24250.2
NIFTY,Index Options,25-Aug-2026,23950,Put,1586,4825,-3239,-67.13,157.25,259.2,-39.33,8995,930.68566,24250.2
NIFTY,Index Options,29-Sep-2026,22500,Put,19496,22577,-3081,-13.65,50.65,65.5,-22.67,14164,474.87642,24250.2
NIFTY,Index Options,25-Aug-2026,22000,Put,25154,27485,-2331,-8.48,9.9,11.5,-13.91,16061,102.09977,24250.2
NIFTY,Index Options,25-Aug-2026,24100,Put,26694,28938,-2244,-7.75,207.5,312.65,-33.63,30201,4334.25121,24250.2
NIFTY,Index Options,25-Aug-2026,22500,Put,23835,25977,-2142,-8.25,15.0,20.1,-25.37,18245,178.00734,24250.2
NIFTY,Index Options,25-Aug-2026,23000,Put,43923,45924,-2001,-4.36,29.65,47.9,-38.1,38400,784.992,24250.2
NIFTY,Index Options,11-Aug-2026,23100,Put,4821,6812,-1991,-29.23,10.15,15.65,-35.14,17022,120.15829,24250.2
NIFTY,Index Options,04-Aug-2026,23050,Put,6018,7760,-1742,-22.45,3.9,5.2,-25.0,50105,124.73639,24250.2
BANKNIFTY,Index Options,25-Aug-2026,54000,Put,12070,13619,-1549,-11.37,99.95,138.95,-28.07,21457,690.3146,57205.9
NIFTY,Index Options,25-Aug-2026,23100,Put,6230,7670,-1440,-18.77,33.7,56.35,-40.2,11262,267.92298,24250.2
NIFTY,Index Options,29-Sep-2026,23000,Put,30226,31660,-1434,-4.53,87.55,120.45,-27.31,12488,746.86357,24250.2
NIFTY,Index Options,29-Sep-2026,22000,Put,10448,11594,-1146,-9.88,31.3,39.3,-20.36,8963,188.23644,24250.2
NIFTY,Index Options,25-Aug-2026,22600,Put,1890,2988,-1098,-36.75,15.95,23.5,-32.13,4250,47.79125,24250.2
NIFTY,Index Options,25-Aug-2026,23500,Put,48435,49473,-1038,-2.1,69.0,115.7,-40.36,55976,2701.90554,24250.2
NIFTY,Index Options,11-Aug-2026,23200,Put,5134,6100,-966,-15.84,11.9,22.35,-46.76,32730,278.90869,24250.2
HINDUNILVR,Stock Options,25-Aug-2026,1900,Put,824,1719,-895,-52.07,1.95,10.05,-80.6,4993,51.07839,2120.0
LT,Stock Options,25-Aug-2026,3800,Put,5060,5929,-869,-14.66,34.3,87.1,-60.62,8471,475.26545,3927.0
HINDUNILVR,Stock Options,25-Aug-2026,2000,Put,2047,2878,-831,-28.87,6.55,35.3,-81.44,11191,408.24768,2120.0
KFINTECH,Stock Futures,25-Aug-2026,0,-,5973,6792,-819,-12.06,950.0,963.0,-1.35,2722,14913.8448,947.5
NIFTY,Index Options,25-Aug-2026,25500,Put,22800,23539,-739,-3.14,1197.0,1397.25,-14.33,3102,2442.58614,24250.2
NIFTY,Index Options,04-Aug-2026,22950,Put,5831,6517,-686,-10.53,3.55,4.55,-21.98,39630,85.77913,24250.2
NIFTY,Index Options,25-Aug-2026,23800,Put,22937,23613,-676,-2.86,121.25,194.6,-37.69,29801,2500.94462,24250.2
