Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,14-Jul-2026,23000,Put,119520,218334,-98814,-45.26,0.05,1.9,-97.37,1511681,471.64447,24052.05
NIFTY,Index Options,14-Jul-2026,24500,Call,189577,264971,-75394,-28.45,0.05,6.15,-99.19,3509724,2258.50739,24052.05
NIFTY,Index Options,14-Jul-2026,23300,Put,57418,107977,-50559,-46.82,0.05,2.85,-98.25,960416,368.31953,24052.05
NIFTY,Index Options,14-Jul-2026,23500,Put,126474,171987,-45513,-26.46,0.05,4.25,-98.82,2731572,1189.5996,24052.05
NIFTY,Index Options,14-Jul-2026,22500,Put,42083,84948,-42865,-50.46,0.05,1.1,-95.45,351645,86.85631,24052.05
NIFTY,Index Options,14-Jul-2026,23600,Put,102265,143469,-41204,-28.72,0.05,5.45,-99.08,2833248,1528.53729,24052.05
NIFTY,Index Options,14-Jul-2026,23650,Put,56069,87871,-31802,-36.19,0.05,6.25,-99.2,1369801,836.94841,24052.05
NIFTY,Index Options,14-Jul-2026,24700,Call,92182,120118,-27936,-23.26,0.05,1.7,-97.06,1470988,525.87821,24052.05
NIFTY,Index Options,14-Jul-2026,23200,Put,74235,101984,-27749,-27.21,0.05,2.4,-97.92,834630,271.25475,24052.05
NIFTY,Index Options,14-Jul-2026,24450,Call,57655,83508,-25853,-30.96,0.05,9.45,-99.47,1953361,1904.52697,24052.05
NIFTY,Index Options,14-Jul-2026,21400,Put,16351,41919,-25568,-60.99,0.05,0.5,-90.0,134344,17.46472,24052.05
NIFTY,Index Options,14-Jul-2026,22800,Put,29147,50988,-21841,-42.84,0.05,1.5,-96.67,221185,63.25891,24052.05
NIFTY,Index Options,14-Jul-2026,23700,Put,142351,162763,-20412,-12.54,0.05,7.4,-99.32,3126538,2357.40965,24052.05
NIFTY,Index Options,14-Jul-2026,22000,Put,22325,42258,-19933,-47.17,0.1,0.7,-85.71,123198,23.22282,24052.05
NIFTY,Index Options,14-Jul-2026,24400,Call,107348,126921,-19573,-15.42,0.05,15.25,-99.67,4205761,4893.40292,24052.05
NIFTY,Index Options,14-Jul-2026,23750,Put,77398,95935,-18537,-19.32,0.05,8.8,-99.43,3007454,2814.97694,24052.05
NIFTY,Index Options,14-Jul-2026,25200,Call,39249,56427,-17178,-30.44,0.05,0.55,-90.91,263364,54.77971,24052.05
NIFTY,Index Options,14-Jul-2026,21500,Put,10369,27142,-16773,-61.8,0.05,0.55,-90.91,121174,19.69077,24052.05
NIFTY,Index Options,14-Jul-2026,24800,Call,77072,90454,-13382,-14.79,0.05,1.25,-96.0,953955,291.43325,24052.05
NIFTY,Index Options,14-Jul-2026,23400,Put,87444,100367,-12923,-12.88,0.05,3.3,-98.48,1444435,563.32965,24052.05
HDFCBANK,Stock Futures,28-Jul-2026,0,-,436483,448905,-12422,-2.77,809.9,820.05,-1.24,39444,208295.67798,809.0
NIFTY,Index Options,14-Jul-2026,25500,Call,56651,68813,-12162,-17.67,0.05,0.45,-88.89,336355,63.40291,24052.05
NIFTY,Index Options,14-Jul-2026,22900,Put,20346,31840,-11494,-36.1,0.05,1.7,-97.06,206832,61.84276,24052.05
NIFTY,Index Options,14-Jul-2026,23800,Put,145483,155626,-10143,-6.52,0.05,10.95,-99.54,7109243,8364.02438,24052.05
NIFTY,Index Options,14-Jul-2026,22600,Put,8441,18211,-9770,-53.65,0.1,1.2,-91.67,113852,28.86148,24052.05
