Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,07-Jul-2026,24000,Call,85329,173562,-88233,-50.84,237.0,162.65,45.71,1278752,171790.10118,24175.7
NIFTY,Index Options,07-Jul-2026,24050,Call,36445,66454,-30009,-45.16,199.25,137.65,44.75,938174,104997.61955,24175.7
NIFTY,Index Options,07-Jul-2026,23950,Call,10331,32652,-22321,-68.36,277.0,191.9,44.35,208740,32695.05057,24175.7
NIFTY,Index Options,28-Jul-2026,24000,Call,98273,115800,-17527,-15.14,459.05,386.6,18.74,75873,21639.51071,24175.7
INFY,Stock Futures,28-Jul-2026,0,-,295371,308521,-13150,-4.26,1046.0,988.3,5.84,53787,222370.51836,1042.6
NIFTY,Index Futures,28-Jul-2026,0,-,265022,275332,-10310,-3.74,24270.1,24092.6,0.74,43674,687548.42676,24175.7
NIFTY,Index Options,07-Jul-2026,23900,Call,30159,40380,-10221,-25.31,318.3,223.15,42.64,247442,45053.74447,24175.7
NIFTY,Index Options,07-Jul-2026,24100,Call,69284,79362,-10078,-12.7,165.9,113.6,46.04,3072338,285913.31044,24175.7
NIFTY,Index Options,28-Jul-2026,24500,Call,59488,66684,-7196,-10.79,182.75,157.85,15.77,63037,7508.9044,24175.7
TCS,Stock Futures,28-Jul-2026,0,-,211685,217984,-6299,-2.89,2069.6,1980.1,4.52,33241,153113.94627,2070.9
NIFTY,Index Options,28-Jul-2026,23900,Call,7742,12608,-4866,-38.59,532.6,447.1,19.12,12687,4172.91923,24175.7
NIFTY,Index Options,14-Jul-2026,24000,Call,7494,10997,-3503,-31.85,323.0,249.95,29.23,34241,6640.04896,24175.7
NIFTY,Index Options,07-Jul-2026,23800,Call,14376,17651,-3275,-18.55,406.8,292.75,38.96,84585,20021.60784,24175.7
SBIN,Stock Futures,28-Jul-2026,0,-,91398,94382,-2984,-3.16,1051.5,1050.9,0.06,13103,103672.57387,1049.0
ICICIBANK,Stock Futures,28-Jul-2026,0,-,156900,159862,-2962,-1.85,1404.6,1386.9,1.28,19574,191762.17172,1401.0
PERSISTENT,Stock Futures,28-Jul-2026,0,-,41866,44777,-2911,-6.5,4600.0,4310.7,6.71,17530,98984.45975,4587.0
PERSISTENT,Stock Options,28-Jul-2026,5000,Call,3251,6080,-2829,-46.53,69.95,38.75,80.52,11464,868.6846,4587.0
HCLTECH,Stock Futures,28-Jul-2026,0,-,106335,108935,-2600,-2.39,1071.6,1019.7,5.09,12098,51430.53368,1081.4
BAJAJFINSV,Stock Options,28-Jul-2026,1800,Call,1413,3991,-2578,-64.6,85.4,55.05,55.13,9648,2107.70208,1859.1
NIFTY,Index Options,07-Jul-2026,23700,Call,4154,6695,-2541,-37.95,501.0,370.35,35.28,20313,6015.88792,24175.7
TCS,Stock Options,28-Jul-2026,2000,Call,5658,8161,-2503,-30.67,109.5,66.8,63.92,14446,3066.05515,2070.9
PERSISTENT,Stock Options,28-Jul-2026,4500,Call,2348,4837,-2489,-51.46,253.15,138.4,82.91,15255,3997.76343,4587.0
NIFTY,Index Options,28-Jul-2026,24100,Call,27697,30150,-2453,-8.14,390.3,331.95,17.58,33307,8243.93214,24175.7
INFY,Stock Options,28-Jul-2026,1050,Call,6901,8779,-1878,-21.39,37.4,18.65,100.54,14525,1900.451,1042.6
COFORGE,Stock Futures,28-Jul-2026,0,-,39074,40856,-1782,-4.36,1444.4,1373.1,5.19,13413,91758.29946,1442.0
