Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
NAM-INDIA,11116,8191,2925,35.71,14589,62417.29562,838.33137,63255.627,1075
GVT&D,9958,7660,2298,30.0,18260,17124.0294,4494.95136,21618.98076,4970
TCS,465239,362119,103120,28.48,807247,414517.8719,57730.6601,472248.532,2245
NIFTY,6577411,5286784,1290627,24.41,63827579,2183421.53966,4766406.87402,6949828.41369,23405
LTM,39388,32261,7127,22.09,62092,70198.2549,7526.08543,77724.34033,4054
RADICO,2090,1782,308,17.28,1543,990.19971,217.5879,1207.78761,3468
WIPRO,207053,183142,23911,13.06,147348,152603.2398,12066.2763,164669.5161,203
FINNIFTY,8040,7227,813,11.25,10032,3823.57557,1830.25386,5653.82943,24955
DIVISLAB,45231,40703,4528,11.12,25445,30063.63949,2159.15417,32222.79366,6565
OIL,17364,15692,1672,10.66,16695,13048.7469,2900.6565,15949.4034,491
NUVAMA,5006,4592,414,9.02,4010,13410.8255,355.84485,13766.67035,1539
BSE,64937,59670,5267,8.83,94974,166030.83997,33154.60409,199185.44407,3960
MPHASIS,21915,20183,1732,8.58,14462,22702.95901,1778.10003,24481.05904,2281
KFINTECH,15846,14616,1230,8.42,6860,9872.2993,546.19572,10418.49503,836
BOSCHLTD,24848,22997,1851,8.05,24056,18773.57474,3091.74997,21865.32472,37700
FEDERALBNK,63522,58848,4674,7.94,54417,85412.49575,7287.5315,92700.02725,302
BRITANNIA,37992,35341,2651,7.5,15225,13373.0478,861.74278,14234.79058,5050
INDIANB,24670,22971,1699,7.4,27220,51447.4803,4105.3467,55552.827,849
MANKIND,19767,18469,1298,7.03,15873,20428.26367,1768.98127,22197.24494,2375
BANKINDIA,20409,19116,1293,6.76,9150,21583.64988,1088.22064,22671.87052,140
SOLARINDS,23065,21653,1412,6.52,18677,38701.55414,2395.53263,41097.08677,18500
ASHOKLEY,84778,79786,4992,6.26,59482,79093.629,8202.081,87295.71,147
MIDCPNIFTY,102827,97121,5706,5.88,185492,79727.17521,36428.2365,116155.41171,14149
POWERINDIA,45326,42884,2442,5.69,52862,47815.98949,7484.39538,55300.38487,35240
HINDZINC,50096,47444,2652,5.59,20742,20065.70224,2603.82459,22669.52684,610
ITC,214934,203914,11020,5.4,116064,54953.4385,6024.68166,60978.12016,276
PAYTM,39204,37214,1990,5.35,17223,30264.99152,2650.25163,32915.24316,1062
KALYANKJIL,46525,44211,2314,5.23,15589,25791.85984,1043.01631,26834.87615,354
IRFC,30535,29056,1479,5.09,10659,9626.50901,848.72116,10475.23017,95
LTF,32621,31069,1552,5.0,12100,20066.10885,1137.61237,21203.72122,267
DIXON,94594,90147,4447,4.93,69598,52769.42842,7335.50498,60104.93341,11225
CDSL,49218,46962,2256,4.8,21604,21317.70516,2040.61059,23358.31576,1218
ADANIPORTS,67316,64248,3068,4.78,68485,55685.8355,11186.42271,66872.25821,1801
INDUSINDBK,70031,66870,3161,4.73,30916,44694.31386,3396.9516,48091.26546,899
AMBUJACEM,92535,88425,4110,4.65,19972,28852.9491,1266.26233,30119.21143,426
HCLTECH,146053,139610,6443,4.61,88962,79704.35802,5507.64684,85212.00486,1177
NIFTYNXT50,955,914,41,4.49,379,4401.05343,20.19217,4421.2456,69856
MCX,53625,51326,2299,4.48,42395,112065.5444,15237.41553,127302.95994,2839
DABUR,32753,31375,1378,4.39,9974,16959.32837,455.40725,17414.73562,418
TATACONSUM,45666,43770,1896,4.33,12355,22664.12775,918.96651,23583.09426,1143
SHRIRAMFIN,71386,68543,2843,4.15,28386,67365.12576,3414.20244,70779.3282,914
KPITTECH,33780,32438,1342,4.14,26779,21631.6728,1955.87716,23587.54997,771
CANBK,59473,57117,2356,4.12,22743,59554.30702,3445.58475,62999.89177,131
SBIN,244389,234866,9523,4.05,246808,234875.1285,24982.38375,259857.51225,971
COCHINSHIP,12871,12374,497,4.02,3696,8244.86164,363.43508,8608.29672,1455
GODREJCP,31187,29998,1189,3.96,5568,8668.7017,352.6504,9021.3521,983
GLENMARK,49273,47423,1850,3.9,16412,28674.33705,2648.05417,31322.39122,2166
UNIONBANK,41224,39682,1542,3.89,17567,33052.14411,2652.41668,35704.5608,167
VBL,58083,55923,2160,3.86,19874,43861.85029,1711.40712,45573.25741,534
CONCOR,36417,35127,1290,3.67,10956,12547.73325,961.15825,13508.8915,452
GMRAIRPORT,35270,34031,1239,3.64,18012,29842.3401,2411.13474,32253.47484,99
CGPOWER,35220,34017,1203,3.54,13191,33147.95957,1882.78476,35030.74434,906
AUBANK,35582,34394,1188,3.45,15094,42384.7581,2135.3978,44520.1559,970
PATANJALI,47960,46379,1581,3.41,14322,26261.65247,587.95087,26849.60334,440
MFSL,28429,27499,930,3.38,7989,18634.56132,583.28584,19217.84716,1557
INOXWIND,47391,45866,1525,3.32,16865,12289.97117,923.29267,13213.26385,83
MOTILALOFS,8968,8683,285,3.28,2256,5802.34866,207.28777,6009.63644,855
IEX,30670,29711,959,3.23,7213,7547.92215,563.21067,8111.13282,123
LODHA,38144,36960,1184,3.2,10732,14010.01087,783.14476,14793.15564,877
POLYCAB,24929,24159,770,3.19,19092,30107.45341,3092.58946,33200.04287,9585
CUMMINSIND,31373,30405,968,3.18,12663,27886.74008,2230.3171,30117.05718,5704
ICICIPRULI,28060,27209,851,3.13,5571,6292.68684,337.76023,6630.44708,478
KEI,12206,11836,370,3.13,4647,14672.91435,721.04824,15393.9626,5221
COALINDIA,126887,123066,3821,3.1,109639,91995.84517,11414.49705,103410.34222,474
LT,130510,126597,3913,3.09,59058,74447.62197,5727.65889,80175.28086,3946
ZYDUSLIFE,20038,19439,599,3.08,10238,24462.62748,1363.93983,25826.56731,1076
HEROMOTOCO,52062,50516,1546,3.06,22371,24416.84302,2678.72844,27095.57146,4840
FORTIS,16582,16098,484,3.01,5750,13973.91231,585.71772,14559.63003,930
BANKBARODA,61361,59570,1791,3.01,30962,56544.62287,4233.50723,60778.1301,269
BIOCON,25421,24680,741,3.0,9431,21505.4305,1582.0225,23087.453,412
INDIGO,86518,84001,2517,3.0,71980,73363.73818,7632.16699,80995.90518,4550
IOC,39197,38073,1124,2.95,9060,14472.42371,986.08672,15458.51043,137
FORCEMOT,18670,18137,533,2.94,11960,8646.49391,1100.80705,9747.30096,17475
M&M,150104,145886,4218,2.89,59029,75959.2931,6795.49394,82754.78704,3007
AXISBANK,142799,138838,3961,2.85,75798,112245.49681,8199.11612,120444.61293,1257
PREMIERENE,26242,25518,724,2.84,20483,29029.33244,3067.61966,32096.95211,1084
PHOENIXLTD,13225,12864,361,2.81,2903,5907.97329,182.53371,6090.50701,1714
ANGELONE,20250,19711,539,2.73,21258,34109.7,4184.42525,38294.12525,334
APOLLOHOSP,31122,30296,826,2.73,59982,38945.64327,8984.06862,47929.7119,8299
PERSISTENT,47965,46693,1272,2.72,52929,50927.33495,6187.25593,57114.59088,5080
BAJFINANCE,142003,138250,3753,2.71,49762,96885.5568,4995.22297,101880.77977,876
LICI,36427,35474,953,2.69,18097,21423.20096,1555.31572,22978.51668,404
NHPC,51017,49716,1301,2.62,100779,126571.26404,8378.30076,134949.5648,74
TVSMOTOR,77887,75933,1954,2.57,13819,25636.35795,1203.6378,26839.99575,3315
RECLTD,73638,71804,1834,2.55,19521,19149.1592,1435.18215,20584.34136,326
IDFCFIRSTB,66402,64749,1653,2.55,23087,32433.67608,2475.01798,34908.69406,71
NTPC,133495,130189,3306,2.54,38193,38671.9278,2660.7684,41332.6962,366
TATAELXSI,30384,29700,684,2.3,43276,26005.58825,4226.46992,30232.05817,4341
HAL,70630,69050,1580,2.29,22978,34475.84811,2015.70108,36491.54919,4268
MUTHOOTFIN,23928,23408,520,2.22,13603,25532.2048,1954.72189,27486.92669,3219
CIPLA,63588,62210,1378,2.22,18373,18959.67952,1146.68394,20106.36346,1373
BANKNIFTY,1095880,1072180,23700,2.21,2507206,988279.8584,502991.7574,1491271.61581,54185
360ONE,12266,12001,265,2.21,3640,7070.456,231.9876,7302.4436,1070
HDFCLIFE,73499,71928,1571,2.18,15392,21631.28066,1148.77609,22780.05675,574
PNB,56361,55160,1201,2.18,20245,35666.52,3018.5208,38685.0408,105
ASIANPAINT,80040,78337,1703,2.17,37806,24475.92547,3719.15342,28195.0789,2657
SUZLON,64080,62758,1322,2.11,18575,26910.70314,1822.21734,28732.92048,54
VMM,8054,7888,166,2.1,2158,5326.40386,134.49244,5460.8963,120
ICICIBANK,310428,304065,6363,2.09,132149,174214.31356,15024.28704,189238.6006,1243
HDFCAMC,27859,27296,563,2.06,14862,25724.42826,1648.78212,27373.21038,2509
ULTRACEMCO,62738,61530,1208,1.96,32359,30996.50428,1449.46774,32445.97202,11066
RELIANCE,449107,440841,8266,1.88,208349,190318.0157,20781.85035,211099.86605,1312
BHARATFORG,19835,19472,363,1.86,10309,21986.46225,1974.48275,23960.945,1940
SUNPHARMA,111158,109168,1990,1.82,47008,67759.99398,2974.79549,70734.78947,1787
UPL,24756,24320,436,1.79,5097,12483.06107,697.36714,13180.42822,648
MAZDOCK,37130,36477,653,1.79,13044,14253.29323,1135.50934,15388.80257,2443
GODFRYPHLP,13163,12940,223,1.72,6456,10225.80124,546.31194,10772.11319,2240
JINDALSTEL,26212,25774,438,1.7,5769,11791.176,679.87768,12471.05368,1210
ETERNAL,118946,117017,1929,1.65,30098,45701.49107,3595.25771,49296.74878,246
HINDPETRO,27989,27537,452,1.64,7336,15417.59649,1071.61076,16489.20726,383
RVNL,59016,58063,953,1.64,24025,21336.07184,1503.9477,22840.01954,238
TITAN,68491,67421,1070,1.59,36210,42625.5683,3264.54954,45890.11784,4082
HINDUNILVR,96081,94580,1501,1.59,32971,34270.42332,2078.67702,36349.10034,2086
NBCC,26420,26015,405,1.56,10010,22348.1557,1339.88985,23688.04555,102
