Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,15-Sep-2026,23450,Call,62132,77086,-14954,-19.4,103.4,99.65,3.76,3928017,195678.09487,23398.1
NIFTY,Index Options,29-Sep-2026,24000,Put,93150,99730,-6580,-6.6,553.95,552.25,0.31,28905,11885.07118,23398.1
NIFTY,Index Futures,29-Sep-2026,0,-,275894,281996,-6102,-2.16,23499.0,23484.0,0.06,50530,768494.29722,23398.1
NIFTY,Index Options,29-Sep-2026,24800,Call,16658,21165,-4507,-21.29,9.4,9.3,1.08,23167,136.43046,23398.1
HDFCBANK,Stock Options,29-Sep-2026,750,Call,29038,33506,-4468,-13.33,3.05,1.4,117.86,63161,923.72962,708.25
LICHSGFIN,Stock Futures,29-Sep-2026,0,-,31226,35328,-4102,-11.61,568.75,558.75,1.79,21774,123131.97,562.9
NIFTY,Index Options,30-Mar-2027,24000,Call,6506,10250,-3744,-36.53,932.55,915.8,1.83,8260,4650.0909,23398.1
INFY,Stock Futures,29-Sep-2026,0,-,198483,201709,-3226,-1.6,1044.8,1037.2,0.73,13434,56144.98488,1037.7
BANKNIFTY,Index Options,29-Sep-2026,57000,Call,27988,30858,-2870,-9.3,590.0,437.15,34.97,117156,15093.44179,56606.55
BHARTIARTL,Stock Futures,29-Sep-2026,0,-,111301,114079,-2778,-2.44,1844.5,1840.4,0.22,7668,67275.10215,1831.1
KOTAKBANK,Stock Futures,29-Sep-2026,0,-,82595,85277,-2682,-3.15,419.7,416.55,0.76,10830,90510.642,419.0
NIFTY,Index Options,29-Sep-2026,24500,Call,90816,93440,-2624,-2.81,15.8,15.55,1.61,70233,644.14195,23398.1
ULTRACEMCO,Stock Futures,29-Sep-2026,0,-,35162,37510,-2348,-6.26,11020.0,10982.0,0.35,5581,30592.22359,11000.0
INDUSTOWER,Stock Futures,29-Sep-2026,0,-,55896,58168,-2272,-3.91,389.6,372.45,4.6,10676,69905.27364,388.0
BANDHANBNK,Stock Futures,29-Sep-2026,0,-,31685,33941,-2256,-6.65,176.36,173.34,1.74,2500,15899.4,176.52
AXISBANK,Stock Futures,29-Sep-2026,0,-,146508,148676,-2168,-1.46,1255.3,1248.9,0.51,9430,73429.0525,1246.0
NIFTY,Index Options,22-Sep-2026,23600,Put,9167,11232,-2065,-18.38,243.9,242.45,0.6,18896,3838.49564,23398.1
BANKNIFTY,Index Options,29-Sep-2026,57500,Call,71207,73258,-2051,-2.8,362.75,263.1,37.88,89847,6793.51136,56606.55
HDFCBANK,Stock Options,29-Sep-2026,800,Call,28328,30345,-2017,-6.65,1.0,0.6,66.67,20281,94.91508,708.25
HDFCBANK,Stock Options,29-Sep-2026,700,Call,21826,23669,-1843,-7.79,18.85,10.05,87.56,86541,6795.19932,708.25
NIFTY,Index Options,29-Sep-2026,24900,Call,8182,10023,-1841,-18.37,8.4,8.35,0.6,9304,48.56222,23398.1
NIFTY,Index Options,29-Sep-2026,24700,Call,24313,26036,-1723,-6.62,11.45,11.05,3.62,22096,149.94345,23398.1
BANKNIFTY,Index Options,29-Sep-2026,60500,Call,9509,11169,-1660,-14.86,19.5,17.05,14.37,15265,78.03468,56606.55
LODHA,Stock Options,29-Sep-2026,1100,Put,539,2161,-1622,-75.06,24.2,10.45,131.58,8987,1919.84787,1116.9
MAXHEALTH,Stock Futures,29-Sep-2026,0,-,17138,18684,-1546,-8.27,1036.6,1034.6,0.19,3565,19340.43693,1037.7
