Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,04-Aug-2026,23200,Put,71871,95386,-23515,-24.65,2.6,4.75,-45.26,414612,916.29252,24317.15
NIFTY,Index Options,04-Aug-2026,21600,Put,61737,72728,-10991,-15.11,0.8,1.4,-42.86,68767,42.9106,24317.15
INFY,Stock Futures,25-Aug-2026,0,-,221455,230871,-9416,-4.08,1156.4,1156.6,-0.02,40485,189900.5604,1155.0
TCS,Stock Futures,25-Aug-2026,0,-,142567,149394,-6827,-4.57,2439.5,2442.4,-0.12,24734,136800.84775,2434.0
NIFTY,Index Options,04-Aug-2026,24900,Call,39942,46694,-6752,-14.46,1.85,3.45,-46.38,945442,1462.59877,24317.15
NIFTY,Index Options,04-Aug-2026,22700,Put,16549,23141,-6592,-28.49,1.6,2.7,-40.74,80351,102.88945,24317.15
NIFTY,Index Options,04-Aug-2026,25000,Call,133100,136897,-3797,-2.77,1.4,2.6,-46.15,985908,1243.22998,24317.15
NIFTY,Index Options,25-Aug-2026,23200,Put,12110,15497,-3387,-21.86,34.0,39.45,-13.81,13675,345.23905,24317.15
NIFTY,Index Options,04-Aug-2026,22600,Put,15891,18497,-2606,-14.09,1.35,2.3,-41.3,82749,97.89206,24317.15
NIFTY,Index Options,04-Aug-2026,24950,Call,15533,18122,-2589,-14.29,1.55,2.95,-47.46,465305,665.38615,24317.15
TORNTPHARM,Stock Futures,25-Aug-2026,0,-,31734,33858,-2124,-6.27,4898.7,4903.4,-0.1,5758,35448.19132,4890.0
NIFTY,Index Options,04-Aug-2026,25050,Call,13260,14951,-1691,-11.31,1.3,2.1,-38.1,199721,218.09533,24317.15
NIFTY,Index Options,04-Aug-2026,22300,Put,6714,8151,-1437,-17.63,1.2,1.95,-38.46,24376,21.07305,24317.15
ASIANPAINT,Stock Futures,25-Aug-2026,0,-,30129,31407,-1278,-4.07,2759.4,2770.0,-0.38,10986,74799.2796,2750.0
ICICIBANK,Stock Futures,25-Aug-2026,0,-,150826,152088,-1262,-0.83,1427.4,1431.1,-0.26,10512,104916.80304,1430.0
ULTRACEMCO,Stock Futures,25-Aug-2026,0,-,34131,35194,-1063,-3.02,11866.0,12053.0,-1.55,3544,20973.79956,11850.0
NIFTY,Index Options,04-Aug-2026,23250,Put,14146,15154,-1008,-6.65,2.8,4.95,-43.43,131992,309.71922,24317.15
MPHASIS,Stock Futures,25-Aug-2026,0,-,14374,15372,-998,-6.49,2349.1,2371.0,-0.92,3944,25848.29566,2348.0
BANKNIFTY,Index Options,25-Aug-2026,57400,Call,3551,4482,-931,-20.77,754.55,799.95,-5.68,11186,2316.3745,57147.5
NIFTY,Index Options,29-Sep-2026,22500,Put,18613,19496,-883,-4.53,46.95,49.9,-5.91,7041,225.99497,24317.15
NIFTY,Index Options,11-Aug-2026,22600,Put,1391,2265,-874,-38.59,4.65,5.0,-7.0,3565,10.28859,24317.15
HINDUNILVR,Stock Futures,25-Aug-2026,0,-,50775,51570,-795,-1.54,2116.2,2130.5,-0.67,6040,38326.1556,2107.0
KOTAKBANK,Stock Futures,25-Aug-2026,0,-,89064,89816,-752,-0.84,389.5,391.45,-0.5,2923,22803.4922,387.6
NIFTY,Index Options,25-Aug-2026,22500,Put,23125,23835,-710,-2.98,12.3,14.05,-12.46,14338,128.98464,24317.15
TATAELXSI,Stock Futures,25-Aug-2026,0,-,20205,20895,-690,-3.3,3670.0,3692.9,-0.62,3056,14096.2966,3654.8
