Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,12-May-2026,25500,Call,126406,178822,-52416,-29.31,1.0,1.65,-39.39,839270,529.15973,23815.85
NIFTY,Index Options,12-May-2026,25600,Call,31117,81068,-49951,-61.62,0.7,1.2,-41.67,262231,136.36012,23815.85
NIFTY,Index Options,12-May-2026,26000,Call,58101,96235,-38134,-39.63,0.55,0.75,-26.67,181346,71.90368,23815.85
NIFTY,Index Options,12-May-2026,25700,Call,23746,57449,-33703,-58.67,0.75,1.1,-31.82,164616,78.11029,23815.85
NIFTY,Index Options,12-May-2026,25200,Call,73329,101002,-27673,-27.4,1.3,3.35,-61.19,598536,544.66776,23815.85
NIFTY,Index Options,12-May-2026,22900,Put,38036,59783,-21747,-36.38,0.75,1.5,-50.0,585504,456.69312,23815.85
NIFTY,Index Options,12-May-2026,25800,Call,20105,41308,-21203,-51.33,0.55,0.9,-38.89,148021,62.53887,23815.85
NIFTY,Index Options,12-May-2026,25300,Call,46486,67589,-21103,-31.22,1.15,2.7,-57.41,347727,273.48728,23815.85
NIFTY,Index Options,12-May-2026,25400,Call,53467,74407,-20940,-28.14,1.05,2.1,-50.0,256341,181.61759,23815.85
NIFTY,Index Options,12-May-2026,21500,Put,14588,34923,-20335,-58.23,0.3,0.5,-40.0,61611,15.21791,23815.85
NIFTY,Index Options,12-May-2026,26500,Call,16701,29901,-13200,-44.15,0.35,0.5,-30.0,101329,27.00417,23815.85
NIFTY,Index Options,12-May-2026,21200,Put,52615,65802,-13187,-20.04,0.25,0.4,-37.5,32709,7.01608,23815.85
NIFTY,Index Options,12-May-2026,24950,Call,18163,31092,-12929,-41.58,2.1,7.35,-71.43,478836,656.72357,23815.85
NIFTY,Index Options,26-May-2026,25000,Call,81796,94594,-12798,-13.53,34.5,76.6,-54.96,138642,3917.39903,23815.85
NIFTY,Index Options,12-May-2026,25550,Call,15093,27636,-12543,-45.39,0.8,1.35,-40.74,79276,45.34587,23815.85
NIFTY,Index Options,12-May-2026,25050,Call,16132,25956,-9824,-37.85,1.85,5.25,-64.76,323449,372.12807,23815.85
NIFTY,Index Options,12-May-2026,24850,Call,26808,36616,-9808,-26.79,2.6,10.6,-75.47,621167,981.13327,23815.85
NIFTY,Index Options,12-May-2026,25150,Call,15276,24683,-9407,-38.11,1.4,3.9,-64.1,143532,139.9437,23815.85
NIFTY,Index Options,12-May-2026,25250,Call,14524,23632,-9108,-38.54,1.25,2.9,-56.9,130035,110.7248,23815.85
NIFTY,Index Options,12-May-2026,25450,Call,21851,29832,-7981,-26.75,1.0,1.75,-42.86,122651,78.12868,23815.85
NIFTY,Index Options,12-May-2026,22000,Put,24614,32541,-7927,-24.36,0.45,0.6,-25.0,136956,43.62048,23815.85
NIFTY,Index Options,12-May-2026,22700,Put,18355,25649,-7294,-28.44,0.45,0.95,-52.63,190261,113.77607,23815.85
NIFTY,Index Options,12-May-2026,25350,Call,11035,17062,-6027,-35.32,1.1,2.4,-54.17,75678,55.09358,23815.85
KOTAKBANK,Stock Futures,26-May-2026,0,-,77515,83088,-5573,-6.71,380.85,381.4,-0.14,12297,93749.8686,380.45
NIFTY,Index Options,12-May-2026,25650,Call,8104,13653,-5549,-40.64,0.6,1.1,-45.45,42617,21.05279,23815.85
