Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
CANBK,68652,43436,25216,58.05,26656,66940.62885,3546.15435,70486.7832,131
NIFTY,8832075,7510697,1321378,17.59,114667979,1850764.29445,5949894.32059,7800658.61504,23622
FINNIFTY,13290,11446,1844,16.11,21533,5423.47695,3142.43224,8565.90919,25943
INDIGO,124480,107420,17060,15.88,274307,138916.68573,27217.65148,166134.33721,4705
NESTLEIND,39212,34017,5195,15.27,58690,50757.32825,4328.2976,55085.62585,1376
MOTILALOFS,12691,11227,1464,13.04,28711,25936.6949,4019.62151,29956.31641,888
NUVAMA,6783,6033,750,12.43,8184,13994.48775,921.2909,14915.77865,1588
RADICO,3486,3125,361,11.55,3389,3072.41134,267.78682,3340.19817,3540
UNOMINDA,12920,11628,1292,11.11,11026,12910.94387,700.9822,13611.92607,1057
HINDALCO,97039,87451,9588,10.96,76779,95652.95026,7799.87215,103452.82241,1021
ONGC,104890,96125,8765,9.12,116192,50908.7115,6916.27702,57824.98852,246
BAJAJ-AUTO,79525,73261,6264,8.55,83470,58493.6311,7079.8074,65573.43851,10074
PIDILITIND,21907,20241,1666,8.23,32112,27216.0131,3286.0083,30502.0214,1529
360ONE,15518,14373,1145,7.97,7724,12150.52555,419.4379,12569.96345,1094
SBILIFE,35240,32787,2453,7.48,17610,22229.78846,1014.56418,23244.35265,1705
PRESTIGE,19377,18083,1294,7.16,11039,11958.49179,620.07493,12578.56672,1387
TVSMOTOR,88563,82798,5765,6.96,37479,56229.50035,2968.46445,59197.9648,3315
ICICIGI,21103,19762,1341,6.79,21752,17535.10551,777.49064,18312.59615,1701
LT,156870,147570,9300,6.3,283065,180091.02076,24507.71863,204598.73939,4050
RBLBANK,31494,29692,1802,6.07,37168,70591.64888,8085.10162,78676.7505,366
PERSISTENT,57607,54331,3276,6.03,31456,28761.54488,2382.35162,31143.8965,4822
WAAREEENER,56158,53029,3129,5.9,35626,51255.02614,1907.92155,53162.9477,3034
PNBHOUSING,21665,20556,1109,5.4,7920,18152.15421,647.71759,18799.8718,990
DALBHARAT,20503,19470,1033,5.31,15399,16464.6131,440.14558,16904.75868,1660
IOC,44876,42714,2162,5.06,42072,39690.9396,4065.79192,43756.73152,141
MARUTI,130801,124653,6148,4.93,180473,97397.91658,13159.8169,110557.73348,13350
BANKNIFTY,1316800,1255349,61451,4.9,3641968,790918.69403,550707.63134,1341626.32537,56814
POWERGRID,72934,69782,3152,4.52,50110,18862.97504,2807.98511,21670.96015,284
BPCL,41601,39804,1797,4.51,65325,35228.57961,6074.63903,41303.21864,302
TITAN,84456,80936,3520,4.35,90590,57617.55608,6880.58759,64498.14367,4179
HINDPETRO,34737,33346,1391,4.17,46576,59890.78784,6470.64652,66361.43436,389
PETRONET,27306,26265,1041,3.96,14723,15967.20157,977.73677,16944.93834,274
DMART,39446,37949,1497,3.94,28727,22339.82116,2135.8366,24475.65777,3998
INDIANB,25301,24368,933,3.83,11128,31535.2724,1212.5506,32747.823,845
COCHINSHIP,16998,16378,620,3.79,8854,16864.1794,467.05584,17331.23524,1424
DRREDDY,44686,43130,1556,3.61,16581,20111.89606,1328.35637,21440.25243,1272
INFY,402175,388377,13798,3.55,123486,76674.72536,9254.89128,85929.61664,1118
MFSL,29828,28814,1014,3.52,8631,14185.80612,532.75216,14718.55828,1572
AXISBANK,170525,164746,5779,3.51,109634,118438.20325,10094.043,128532.24625,1353
HDFCAMC,30518,29522,996,3.37,16322,36611.49927,1158.16932,37769.66859,2459
NIFTYNXT50,1440,1394,46,3.3,531,3512.95588,62.45837,3575.41426,70007
COALINDIA,136073,131859,4214,3.2,87179,48370.19004,5329.87128,53700.06132,444
ADANIENT,110776,107507,3269,3.04,64639,83758.14301,10337.57655,94095.71956,2935
NAM-INDIA,15105,14681,424,2.89,5832,12069.31106,447.45256,12516.76362,1090
SIEMENS,36508,35519,989,2.78,18355,25225.40415,1334.42823,26559.83239,3568
HINDUNILVR,102235,99502,2733,2.75,52467,34981.14354,3463.81344,38444.95698,2162
AMBER,59098,57539,1559,2.71,65049,65180.4636,7663.59438,72844.05798,7459
DABUR,34506,33608,898,2.67,13015,17302.19025,686.15612,17988.34637,426
UNITDSPR,40543,39491,1052,2.66,13373,10161.80904,640.73208,10802.54112,1272
UPL,30020,29243,777,2.66,18764,23725.5271,2388.67868,26114.20579,610
AUBANK,37404,36436,968,2.66,35392,61712.4245,4788.7287,66501.1532,1017
OIL,29227,28482,745,2.62,30405,16680.78034,2912.85974,19593.64008,419
TATACONSUM,49071,47853,1218,2.55,13356,15246.83748,774.57743,16021.41491,1100
SWIGGY,59935,58455,1480,2.53,20882,25993.21573,1052.25791,27045.47365,250
TECHM,63937,62361,1576,2.53,45622,48882.20742,5410.8696,54293.07702,1433
DELHIVERY,20860,20350,510,2.51,4812,13684.40567,361.03506,14045.44073,438
DIVISLAB,60759,59276,1483,2.5,29476,14021.93586,1242.48733,15264.42319,6633
CROMPTON,39736,38794,942,2.43,10363,18601.47469,598.28615,19199.76084,255
GAIL,39708,38844,864,2.22,14982,18320.70163,1073.85184,19394.55347,170
APLAPOLLO,23586,23083,503,2.18,10761,14880.89512,601.02945,15481.92457,1820
BANKINDIA,26238,25681,557,2.17,11409,25996.08232,1150.16252,27146.24484,145
CHOLAFIN,40347,39495,852,2.16,34122,75198.19175,4508.42375,79706.6155,1566
