Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,18-Aug-2026,24500,Put,47416,65684,-18268,-27.81,150.25,136.8,9.83,1213594,135190.73081,24435.95
BANKNIFTY,Index Options,25-Aug-2026,58000,Call,70899,79001,-8102,-10.26,529.05,365.8,44.63,179920,24811.14792,57885.85
BANKNIFTY,Index Options,25-Aug-2026,57500,Call,19102,23895,-4793,-20.06,805.1,603.5,33.41,141395,30218.51521,57885.85
MCX,Stock Futures,25-Aug-2026,0,-,37056,40799,-3743,-9.17,2974.0,2904.4,2.4,21898,145018.84806,2970.1
BANKNIFTY,Index Options,25-Aug-2026,60000,Call,45441,48709,-3268,-6.71,42.5,30.1,41.2,64614,684.84378,57885.85
NIFTY,Index Options,18-Aug-2026,24600,Put,25603,28800,-3197,-11.1,213.05,189.1,12.67,330816,50506.34035,24435.95
HINDALCO,Stock Futures,25-Aug-2026,0,-,65197,68104,-2907,-4.27,1077.0,1055.7,2.02,15487,117137.00859,1078.5
NIFTY,Index Options,25-Aug-2026,25000,Put,32260,34940,-2680,-7.67,555.0,509.25,8.98,12433,4825.43379,24435.95
SBIN,Stock Options,25-Aug-2026,1100,Call,15134,17787,-2653,-14.92,12.3,8.4,46.43,36563,3164.52765,1082.0
HEROMOTOCO,Stock Futures,25-Aug-2026,0,-,28706,31300,-2594,-8.29,5899.5,5826.0,1.26,5909,52284.36834,5895.0
NIFTY,Index Options,18-Aug-2026,26200,Call,3988,6401,-2413,-37.7,0.75,0.7,7.14,37674,18.36607,24435.95
NIFTY,Index Options,18-Aug-2026,24700,Put,12829,15197,-2368,-15.58,287.65,254.15,13.18,80751,16204.66654,24435.95
BHARTIARTL,Stock Options,25-Aug-2026,2000,Call,8252,10514,-2262,-21.51,17.7,8.45,109.47,22800,1172.889,1945.0
HINDALCO,Stock Options,25-Aug-2026,1060,Call,1824,3876,-2052,-52.94,30.35,18.55,63.61,13814,3272.26032,1078.5
BANKNIFTY,Index Options,25-Aug-2026,58500,Call,27377,29419,-2042,-6.94,311.0,205.85,51.08,72329,5727.58885,57885.85
NATIONALUM,Stock Options,25-Aug-2026,390,Call,595,2537,-1942,-76.55,31.1,9.5,227.37,5818,2690.09775,420.0
NIFTY,Index Options,18-Aug-2026,24450,Put,22315,24205,-1890,-7.81,124.4,113.7,9.41,1129531,104380.52447,24435.95
TITAN,Stock Options,25-Aug-2026,5000,Put,3084,4799,-1715,-35.74,48.9,40.8,19.85,15622,1652.61232,5099.0
BANKNIFTY,Index Options,25-Aug-2026,57400,Call,3184,4726,-1542,-32.63,882.9,661.05,33.56,35233,8012.08989,57885.85
BANKNIFTY,Index Options,25-Aug-2026,57300,Call,4152,5660,-1508,-26.64,952.0,720.95,32.05,28253,6954.81498,57885.85
BHARTIARTL,Stock Options,25-Aug-2026,1980,Call,2855,4321,-1466,-33.93,24.5,11.85,106.75,11156,746.11328,1945.0
TCS,Stock Options,25-Aug-2026,2400,Put,2369,3781,-1412,-37.34,83.45,29.3,184.81,14032,2206.8828,2349.7
BANKNIFTY,Index Options,25-Aug-2026,57800,Call,11108,12520,-1412,-11.28,634.0,455.55,39.17,74837,12593.27101,57885.85
RELIANCE,Stock Futures,25-Aug-2026,0,-,211310,212716,-1406,-0.66,1328.2,1324.2,0.3,13508,89160.2294,1329.0
NATIONALUM,Stock Options,25-Aug-2026,400,Call,1771,3168,-1397,-44.1,23.35,6.05,285.95,11396,4247.859,420.0
