Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,14-Jul-2026,25500,Call,133710,152260,-18550,-12.18,1.0,1.95,-48.72,502321,362.4246,23962.8
NIFTY,Index Options,14-Jul-2026,23900,Call,29095,46236,-17141,-37.07,174.5,177.55,-1.72,724968,103227.46855,23962.8
NIFTY,Index Options,14-Jul-2026,25700,Call,25615,42429,-16814,-39.63,0.7,1.3,-46.15,79430,40.7873,23962.8
NIFTY,Index Options,14-Jul-2026,24200,Put,42772,59191,-16419,-27.74,279.75,386.85,-27.69,451507,68700.62785,23962.8
NIFTY,Index Options,14-Jul-2026,24200,Call,138010,152316,-14306,-9.39,49.5,66.3,-25.34,1966735,93845.71062,23962.8
NIFTY,Index Options,14-Jul-2026,24250,Call,61347,73499,-12152,-16.53,38.9,55.55,-29.97,897799,34097.95712,23962.8
NIFTY,Index Options,14-Jul-2026,25100,Call,49225,60104,-10879,-18.1,1.6,3.65,-56.16,371352,533.44714,23962.8
NIFTY,Index Options,14-Jul-2026,24300,Call,132966,141751,-8785,-6.2,30.15,46.0,-34.46,1463653,44010.58205,23962.8
NIFTY,Index Options,14-Jul-2026,24300,Put,28914,37421,-8507,-22.73,358.0,464.65,-22.95,156242,31319.25574,23962.8
NIFTY,Index Options,14-Jul-2026,25300,Call,55947,63551,-7604,-11.97,1.15,2.55,-54.9,210638,194.41887,23962.8
NIFTY,Index Options,14-Jul-2026,25400,Call,42796,49793,-6997,-14.05,1.1,2.1,-47.62,135341,105.56598,23962.8
NIFTY,Index Options,14-Jul-2026,25200,Call,80153,86770,-6617,-7.63,1.45,3.0,-51.67,306394,356.48941,23962.8
NIFTY,Index Options,14-Jul-2026,25800,Call,16835,23445,-6610,-28.19,0.7,1.2,-41.67,45735,22.89036,23962.8
NIFTY,Index Options,14-Jul-2026,24250,Put,17476,22281,-4805,-21.57,315.3,423.25,-25.51,87360,15178.93104,23962.8
NIFTY,Index Options,14-Jul-2026,24450,Call,53878,58319,-4441,-7.62,14.0,26.35,-46.87,573284,8332.10965,23962.8
NIFTY,Index Options,14-Jul-2026,25850,Call,3383,6988,-3605,-51.59,0.7,1.15,-39.13,13521,6.94303,23962.8
TITAN,Stock Futures,28-Jul-2026,0,-,38701,42190,-3489,-8.27,4559.0,4577.3,-0.4,9965,80426.81745,4550.0
NIFTY,Index Options,14-Jul-2026,25750,Call,5961,9257,-3296,-35.61,0.75,1.2,-37.5,12835,6.6742,23962.8
NIFTY,Index Options,14-Jul-2026,25150,Call,10981,14196,-3215,-22.65,1.6,3.25,-50.77,69073,88.44797,23962.8
NIFTY,Index Options,28-Jul-2026,24200,Call,42983,46018,-3035,-6.6,182.4,187.95,-2.95,47098,6556.53612,23962.8
NIFTY,Index Options,14-Jul-2026,25900,Call,10923,13954,-3031,-21.72,0.65,1.2,-45.83,24837,11.94659,23962.8
NIFTY,Index Options,28-Jul-2026,24300,Put,25935,28381,-2446,-8.62,435.0,528.9,-17.75,12472,3224.4797,23962.8
NIFTY,Index Options,14-Jul-2026,23300,Put,46053,48364,-2311,-4.78,9.25,36.45,-74.62,457382,3320.82201,23962.8
NIFTY,Index Options,14-Jul-2026,24400,Put,17352,19639,-2287,-11.65,445.0,554.2,-19.7,45848,11609.95149,23962.8
NIFTY,Index Options,28-Jul-2026,25500,Call,28766,30746,-1980,-6.44,6.55,9.15,-28.42,18214,92.46337,23962.8
