Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
HDFCBANK,Stock Futures,26-May-2026,0,-,41028,122293,-81265,-66.45,789.4,768.6,2.71,98164,423482.93174,787.45
NIFTY,Index Options,26-May-2026,23800,Call,38340,109580,-71240,-65.01,321.65,111.4,188.73,963381,136961.95,24031.7
NIFTY,Index Futures,26-May-2026,0,-,128743,174474,-45731,-26.21,24119.0,23744.0,1.58,75074,1170864.53928,24031.7
NIFTY,Index Options,26-May-2026,24000,Call,151962,195879,-43917,-22.42,151.4,49.35,206.79,9066649,534111.75926,24031.7
NIFTY,Index Options,26-May-2026,23700,Call,33581,74096,-40515,-54.68,419.75,157.95,165.75,342138,67372.95961,24031.7
TCS,Stock Futures,26-May-2026,0,-,30869,70623,-39754,-56.29,2315.6,2295.3,0.88,63134,255392.65566,2307.4
RELIANCE,Stock Futures,26-May-2026,0,-,29182,65685,-36503,-55.57,1367.9,1357.2,0.79,45653,311125.195,1366.4
ICICIBANK,Stock Futures,26-May-2026,0,-,32295,66781,-34486,-51.64,1292.1,1267.9,1.91,44098,395565.6747,1293.5
HCLTECH,Stock Futures,26-May-2026,0,-,13967,46854,-32887,-70.19,1168.7,1165.5,0.27,43197,176924.97669,1167.1
NIFTY,Index Options,26-May-2026,23750,Call,8760,41086,-32326,-78.68,370.05,133.6,176.98,208259,35212.0152,24031.7
SBIN,Stock Futures,26-May-2026,0,-,33242,59864,-26622,-44.47,973.2,952.0,2.23,36775,266076.31875,972.3
NIFTY,Index Options,26-May-2026,23850,Call,9626,36138,-26512,-73.36,276.0,91.15,202.8,721846,84634.27796,24031.7
ITC,Stock Futures,26-May-2026,0,-,21041,45997,-24956,-54.26,304.4,302.3,0.69,26960,131051.4816,304.3
NIFTY,Index Options,26-May-2026,23900,Call,41742,65285,-23543,-36.06,232.4,74.55,211.74,3058601,290937.18572,24031.7
LT,Stock Futures,26-May-2026,0,-,13391,35820,-22429,-62.62,4047.0,3926.9,3.06,27830,195790.86835,4035.0
BHARTIARTL,Stock Futures,26-May-2026,0,-,11131,32311,-21180,-65.55,1881.2,1874.9,0.34,24268,216345.51913,1879.0
SUNPHARMA,Stock Futures,26-May-2026,0,-,12679,32564,-19885,-61.06,1849.5,1846.6,0.16,25093,161890.50066,1844.0
WIPRO,Stock Futures,26-May-2026,0,-,28388,48204,-19816,-41.11,206.0,202.91,1.52,42482,264335.7486,206.0
JIOFIN,Stock Futures,26-May-2026,0,-,15262,35009,-19747,-56.41,242.4,238.32,1.71,22777,129543.50419,242.0
BEL,Stock Futures,26-May-2026,0,-,17107,35828,-18721,-52.25,421.25,416.7,1.09,20708,123866.55864,421.8
ETERNAL,Stock Futures,26-May-2026,0,-,14025,32552,-18527,-56.92,248.19,242.64,2.29,21508,129312.60217,247.5
NIFTY,Index Options,26-May-2026,21000,Put,38382,56717,-18335,-32.33,0.85,0.8,6.25,68837,30.42595,24031.7
BANKNIFTY,Index Options,26-May-2026,55000,Call,22903,41092,-18189,-44.26,644.6,125.0,415.68,1077511,103751.37916,55293.65
TVSMOTOR,Stock Futures,26-May-2026,0,-,7101,24970,-17869,-71.56,3479.5,3427.8,1.51,20259,122539.19517,3470.1
M&M,Stock Futures,26-May-2026,0,-,7552,25249,-17697,-70.09,3150.8,3090.4,1.95,21124,132896.57624,3144.5
