Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
GODREJCP,95197,39553,55644,140.68,271062,147899.8993,18486.1649,166386.0642,910
PIIND,52845,34508,18337,53.14,242914,91986.21794,17274.70136,109260.9193,2483
APOLLOHOSP,54227,38881,15346,39.47,98974,73021.28925,14382.44141,87403.73066,8597
MANAPPURAM,43469,33866,9603,28.36,95368,137124.6858,18448.5606,155573.2464,352
HAL,104591,82574,22017,26.66,378596,178913.57818,42198.29848,221111.87667,4995
NIFTY,6855770,5570555,1285215,23.07,45798384,885603.30221,2246848.7117,3132452.01391,24435
GRASIM,91153,76264,14889,19.52,177025,174004.35327,23166.5034,197170.85667,3307
FORCEMOT,23694,20054,3640,18.15,106900,30913.15473,7135.94681,38049.10154,19269
FINNIFTY,22814,19326,3488,18.05,24256,2254.28379,2383.94269,4638.22649,26426
NATIONALUM,54806,47296,7510,15.88,164452,133194.25106,29759.68406,162953.93512,420
ASTRAL,31448,27292,4156,15.23,35547,32985.23217,3404.03095,36389.26313,1464
FORTIS,33846,29664,4182,14.1,65793,30436.81168,6524.49908,36961.31077,900
MAXHEALTH,37840,33337,4503,13.51,41528,22161.07467,3455.28114,25616.35581,1007
BOSCHLTD,46804,41904,4900,11.69,146053,50583.61938,15146.19709,65729.81647,46480
TCS,278007,252421,25586,10.14,455274,183268.14372,30783.43989,214051.58361,2349
BSE,151231,137776,13455,9.77,152721,111575.32456,17089.1168,128664.44136,3527
TMPV,102927,94251,8676,9.21,111750,92429.4424,9947.82592,102377.26832,343
JUBLFOOD,42953,39497,3456,8.75,18682,39685.23787,1897.772,41583.00987,484
GMRAIRPORT,33278,30992,2286,7.38,15308,19134.07249,1647.09254,20781.16503,104
VMM,15453,14435,1018,7.05,6095,7244.79759,551.26894,7796.06654,108
PAGEIND,19786,18484,1302,7.04,13320,27593.67972,1523.65258,29117.3323,38295
PETRONET,28219,26412,1807,6.84,15362,8093.01048,912.01406,9005.02454,279
HINDZINC,62838,58962,3876,6.57,64955,53202.84466,6937.57974,60140.4244,584
DIXON,130333,122322,8011,6.55,90245,52512.53214,7740.05592,60252.58806,13800
PNB,60574,57004,3570,6.26,96073,95745.7312,14314.1408,110059.872,118
PREMIERENE,19468,18346,1122,6.12,8235,9001.10945,591.48563,9592.59509,1026
UNIONBANK,44530,42002,2528,6.02,39113,38173.30635,5637.97923,43811.28558,187
CONCOR,28665,27116,1549,5.71,30191,15911.93325,3209.7525,19121.68575,512
AMBER,45306,43004,2302,5.35,36374,32124.00604,4063.86123,36187.86727,6985
SOLARINDS,28604,27264,1340,4.91,15615,23282.0259,2571.0125,25853.03841,18730
ITC,224241,214016,10225,4.78,104503,48138.0206,3756.49058,51894.51118,276
HDFCAMC,40248,38468,1780,4.63,15145,21810.78414,1173.95538,22984.73952,2490
JIOFIN,159444,152691,6753,4.42,66622,61544.36173,4971.16321,66515.52494,256
MIDCPNIFTY,117092,112258,4834,4.31,172599,60591.93548,19522.1345,80114.06998,15032
MUTHOOTFIN,61470,58966,2504,4.25,29526,27184.6584,2972.26231,30156.92072,2876
NIFTYNXT50,1066,1024,42,4.1,219,1504.89438,19.01281,1523.90719,74748
COCHINSHIP,25741,24762,979,3.95,7424,6352.08524,654.78372,7006.86896,1506
IREDA,41906,40343,1563,3.87,11291,23651.90485,1304.61315,24956.51801,117
NHPC,36261,34943,1318,3.77,8151,10936.99468,390.65185,11327.64654,76
VEDL,104890,101143,3747,3.7,45146,21013.38282,2679.07312,23692.45594,275
NESTLEIND,37958,36604,1354,3.7,18177,28055.4693,1255.94095,29311.41025,1507
PATANJALI,52646,50776,1870,3.68,24195,32260.02749,1609.02194,33869.04943,352
UNOMINDA,16081,15514,567,3.65,6943,13176.7812,432.18906,13608.97026,1232
BANKNIFTY,1126172,1086908,39264,3.61,3137596,392750.60206,373025.01323,765775.6153,57885
MANKIND,28849,27889,960,3.44,10167,8319.1385,526.39147,8845.52997,2433
WAAREEENER,79366,76748,2618,3.41,29549,28923.19608,1499.75659,30422.95268,2668
INDUSTOWER,82665,79969,2696,3.37,49333,60586.11895,3743.13174,64329.25069,383
FEDERALBNK,55398,53601,1797,3.35,14936,17241.863,1218.12575,18459.98875,356
PFC,111892,108285,3607,3.33,56762,54145.78481,2597.62386,56743.40867,376
SBICARD,47273,45752,1521,3.32,9274,19249.39264,401.5744,19650.96704,656
TATASTEEL,140450,135937,4513,3.32,84602,67500.38735,5150.50002,72650.88737,186
CHOLAFIN,38606,37380,1226,3.28,8628,12064.61462,884.95362,12949.56825,1917
M&M,128065,124120,3945,3.18,66644,47565.56926,4742.57252,52308.14178,3403
AXISBANK,210498,204043,6455,3.16,75616,94561.13637,5330.9015,99892.03787,1230
ABB,41982,40786,1196,2.93,37004,29552.84377,4966.05785,34518.90162,7710
IRFC,45760,44519,1241,2.79,12524,10727.43948,765.9015,11493.34098,88
PRESTIGE,19711,19184,527,2.75,7533,6797.32884,769.56624,7566.89508,1590
BHARTIARTL,188319,183366,4953,2.7,190640,201667.9464,14463.88779,216131.8342,1945
GVT&D,41331,40259,1072,2.66,55218,36961.70181,5423.01101,42384.71282,4406
PNBHOUSING,23341,22753,588,2.58,16795,14809.19823,1768.85657,16578.0548,1157
LTF,36767,35875,892,2.49,8694,16772.97735,689.52487,17462.50222,317
BLUESTARCO,34654,33824,830,2.45,18302,13362.90965,1068.73299,14431.64264,1490
TATACONSUM,49353,48182,1171,2.43,23432,18006.36948,1577.17147,19583.54095,1061
OBEROIRLTY,25099,24506,593,2.42,7165,7294.51646,391.40332,7685.91978,1799
CAMS,21797,21304,493,2.31,9138,6794.2507,544.97396,7339.22466,777
ANGELONE,32162,31442,720,2.29,16004,19708.2565,1328.89275,21037.14925,291
TRENT,103653,101348,2305,2.27,51405,50455.61788,3779.10643,54234.72432,2987
PGEL,33391,32658,733,2.24,18363,20494.29756,1494.01294,21988.3105,614
NMDC,78091,76383,1708,2.24,20756,15855.86205,1309.97317,17165.83522,85
OFSS,29523,28907,616,2.13,15838,30893.19914,2457.64961,33350.84875,11679
LICHSGFIN,64356,63095,1261,2.0,11650,10614.3638,517.3322,11131.696,508
IDEA,119859,117599,2260,1.92,74986,159643.37221,12954.60788,172597.98009,13
APLAPOLLO,29987,29425,562,1.91,10088,15066.13934,723.8477,15789.98704,1997
COFORGE,62905,61764,1141,1.85,32393,34397.96646,3924.39205,38322.35851,1801
MAZDOCK,50572,49662,910,1.83,38724,25227.91543,3022.59305,28250.50848,2552
LUPIN,50965,50048,917,1.83,15688,15159.46805,1276.38273,16435.85079,2281
SBILIFE,26180,25728,452,1.76,7638,15636.1731,438.08085,16074.25395,1830
PERSISTENT,56862,55888,974,1.74,36963,28734.9662,3763.46342,32498.42962,5474
AMBUJACEM,95996,94365,1631,1.73,17924,22651.3458,902.13084,23553.47664,421
ADANIGREEN,74201,72960,1241,1.7,41557,35409.5979,4959.00024,40368.59814,1332
HDFCBANK,986632,970304,16328,1.68,340278,189356.6621,16985.40376,206342.06586,729
VOLTAS,37689,37076,613,1.65,21809,19859.28566,1697.25435,21556.54001,1290
GODREJPROP,45441,44722,719,1.61,27705,16055.3599,2529.58784,18584.94774,2015
COALINDIA,102790,101191,1599,1.58,18991,13465.78411,972.55768,14438.3418,409
ULTRACEMCO,61974,61054,920,1.51,36950,37690.6489,1885.39971,39576.04861,11891
JSWENERGY,37432,36880,552,1.5,11839,10476.55956,701.24926,11177.80882,558
LTM,38400,37846,554,1.46,22844,32778.40587,2313.91186,35092.31773,4762
HDFCLIFE,93688,92340,1348,1.46,19995,17016.62952,1052.5878,18069.21732,537
TATAELXSI,36864,36360,504,1.39,21865,15325.41603,1121.26173,16446.67777,3711
BAJFINANCE,157893,155796,2097,1.35,44965,52913.5434,3588.30975,56501.85315,1094
ICICIGI,29316,28932,384,1.33,4438,4039.14709,226.92787,4266.07496,1635
ADANIPORTS,101528,100272,1256,1.25,36515,27380.33232,2761.61081,30141.94314,1665
LODHA,35177,34764,413,1.19,16256,17376.90175,1644.05293,19020.95468,1209
ASIANPAINT,70531,69703,828,1.19,39368,32479.09762,2608.81107,35087.9087,2740
PAYTM,82124,81192,932,1.15,48486,39826.14493,9259.2083,49085.35323,1610
NAM-INDIA,16135,15961,174,1.09,3680,10602.28793,107.89231,10710.18025,1182
SWIGGY,89345,88384,961,1.09,21884,38072.77277,1429.93093,39502.7037,279
LAURUSLABS,50143,49604,539,1.09,18085,36063.11796,3698.81928,39761.93724,1850
PHOENIXLTD,16327,16154,173,1.07,4179,8044.58039,210.85795,8255.43834,1905
DRREDDY,51404,50860,544,1.07,34645,31360.60862,2877.87662,34238.48525,1200
