Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,22-Sep-2026,23300,Put,195178,104508,90670,86.76,64.45,109.55,-41.17,7089453,389296.04313,23346.4
NIFTY,Index Options,22-Sep-2026,23350,Put,79124,24395,54729,224.35,84.65,133.1,-36.4,4033979,270887.74081,23346.4
NIFTY,Index Options,22-Sep-2026,23400,Call,134896,100356,34540,34.42,64.0,72.4,-11.6,4884019,223143.50208,23346.4
BANKNIFTY,Index Options,27-Oct-2026,58000,Call,43463,11188,32275,288.48,353.6,357.55,-1.1,41971,4534.12713,56358.7
NIFTY,Index Options,22-Sep-2026,22750,Put,63147,32061,31086,96.96,6.2,10.3,-39.81,514725,2107.79887,23346.4
NIFTY,Index Options,22-Sep-2026,23700,Call,146088,116327,29761,25.58,5.35,9.3,-42.47,1311724,6369.07588,23346.4
NIFTY,Index Options,22-Sep-2026,22800,Put,110896,82800,28096,33.93,6.45,12.4,-47.98,874973,4288.24267,23346.4
NIFTY,Index Options,22-Sep-2026,23250,Put,99857,71803,28054,39.07,49.05,89.8,-45.38,2842155,122242.50762,23346.4
NIFTY,Index Options,22-Sep-2026,23400,Put,73651,45844,27807,60.66,110.3,160.8,-31.41,2635034,221290.15532,23346.4
NIFTY,Index Options,22-Sep-2026,24100,Call,79443,53565,25878,48.31,1.3,2.0,-35.0,587624,641.6854,23346.4
NIFTY,Index Options,22-Sep-2026,23350,Call,76240,53565,22675,42.33,88.05,94.6,-6.92,5297934,321430.95371,23346.4
NIFTY,Index Options,22-Sep-2026,22900,Put,76505,55264,21241,38.44,8.55,19.2,-55.47,867079,6413.78336,23346.4
NIFTY,Index Options,22-Sep-2026,22850,Put,48771,27716,21055,75.97,7.9,15.35,-48.53,561911,3301.78903,23346.4
NIFTY,Index Options,22-Sep-2026,23000,Put,169141,148503,20638,13.9,13.0,30.25,-57.02,1959567,23309.04946,23346.4
NIFTY,Index Options,22-Sep-2026,21500,Put,71069,50653,20416,40.31,1.2,1.45,-17.24,205553,148.30648,23346.4
NIFTY,Index Options,22-Sep-2026,22950,Put,56806,37088,19718,53.17,10.45,23.8,-56.09,756828,7005.19996,23346.4
NIFTY,Index Options,22-Sep-2026,24000,Call,177824,158613,19211,12.11,1.9,2.65,-28.3,913736,1288.82462,23346.4
NIFTY,Index Options,22-Sep-2026,23600,Call,121677,102577,19100,18.62,12.55,19.05,-34.12,2098014,22132.99869,23346.4
NIFTY,Index Options,22-Sep-2026,22200,Put,77030,58435,18595,31.82,2.1,2.7,-22.22,508472,634.57305,23346.4
NIFTY,Index Options,29-Sep-2026,23300,Put,82108,65343,16765,25.66,130.45,169.75,-23.15,184046,17823.6588,23346.4
NIFTY,Index Options,22-Sep-2026,22450,Put,29996,13486,16510,122.42,3.2,4.35,-26.44,361481,693.13981,23346.4
NIFTY,Index Options,22-Sep-2026,23100,Put,98921,82485,16436,19.93,21.2,46.85,-54.75,1902664,37126.68263,23346.4
NIFTY,Index Options,22-Sep-2026,22400,Put,65268,48872,16396,33.55,2.85,3.8,-25.0,618812,1094.05961,23346.4
NIFTY,Index Options,22-Sep-2026,23650,Call,62180,47340,14840,31.35,8.0,13.4,-40.3,1194151,8483.84577,23346.4
NIFTY,Index Options,22-Sep-2026,24200,Call,97825,83214,14611,17.56,1.15,1.6,-28.13,411370,368.99889,23346.4
