Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,18-Aug-2026,22500,Put,44500,52048,-7548,-14.5,0.85,1.35,-37.04,91710,61.99596,24395.85
NIFTY,Index Options,18-Aug-2026,25150,Call,15286,21865,-6579,-30.09,1.7,2.85,-40.35,315383,457.14765,24395.85
NIFTY,Index Options,18-Aug-2026,25700,Call,48217,54181,-5964,-11.01,0.6,0.9,-33.33,150561,72.41984,24395.85
LICI,Stock Futures,25-Aug-2026,0,-,38977,43553,-4576,-10.51,412.25,417.0,-1.14,5102,29655.47704,412.15
NIFTY,Index Options,18-Aug-2026,23200,Put,32183,36354,-4171,-11.47,1.25,2.1,-40.48,163937,181.15038,24395.85
NIFTY,Index Options,18-Aug-2026,25450,Call,19213,23199,-3986,-17.18,0.95,1.3,-26.92,85883,63.08106,24395.85
NIFTY,Index Options,18-Aug-2026,25350,Call,16778,19926,-3148,-15.8,1.1,1.65,-33.33,163938,153.44596,24395.85
BANKNIFTY,Index Options,25-Aug-2026,58200,Call,7409,10112,-2703,-26.73,341.0,432.8,-21.21,27012,2767.78458,57635.25
NIFTY,Index Options,18-Aug-2026,23800,Put,73121,75763,-2642,-3.49,2.9,5.85,-50.43,509795,1438.13169,24395.85
BHEL,Stock Futures,25-Aug-2026,0,-,28187,30597,-2410,-7.88,418.9,419.6,-0.17,6391,69725.96977,420.0
ICICIBANK,Stock Futures,25-Aug-2026,0,-,131326,133731,-2405,-1.8,1415.2,1429.7,-1.01,7656,75995.59968,1406.8
NIFTY,Index Options,25-Aug-2026,24600,Put,24337,26391,-2054,-7.78,245.25,257.5,-4.76,22781,3910.55228,24395.85
SBIN,Stock Futures,25-Aug-2026,0,-,106402,108334,-1932,-1.78,1082.5,1085.9,-0.31,7386,59990.5692,1083.0
NIFTY,Index Options,18-Aug-2026,25300,Call,44032,45885,-1853,-4.04,1.1,1.75,-37.14,370802,359.12173,24395.85
JUBLFOOD,Stock Options,25-Aug-2026,480,Put,1002,2836,-1834,-64.67,9.8,18.45,-46.88,12602,1883.999,491.55
NIFTY,Index Options,18-Aug-2026,22600,Put,3554,5155,-1601,-31.06,0.75,1.35,-44.44,29611,21.17186,24395.85
SWIGGY,Stock Options,25-Aug-2026,270,Call,836,2391,-1555,-65.04,12.7,12.9,-1.55,2622,630.68277,279.8
HEROMOTOCO,Stock Futures,25-Aug-2026,0,-,27226,28706,-1480,-5.16,5871.0,5886.0,-0.25,3419,30147.88725,5850.0
M&M,Stock Futures,25-Aug-2026,0,-,55958,57431,-1473,-2.56,3428.1,3430.1,-0.06,5176,35464.29568,3428.2
INFY,Stock Options,25-Aug-2026,1200,Call,14054,15397,-1343,-8.72,10.05,12.8,-21.48,11900,459.816,1175.0
NIFTY,Index Options,25-Aug-2026,23500,Put,53697,55020,-1323,-2.4,8.9,12.55,-29.08,55889,377.44636,24395.85
NIFTY,Index Options,18-Aug-2026,25800,Call,51668,52878,-1210,-2.29,0.55,0.85,-35.29,74901,33.59309,24395.85
NIFTY,Index Options,18-Aug-2026,24850,Call,47733,48940,-1207,-2.47,6.5,13.85,-53.07,397067,1961.51098,24395.85
KPITTECH,Stock Options,25-Aug-2026,700,Call,3399,4522,-1123,-24.83,1.0,1.2,-16.67,3761,34.68582,620.5
NIFTY,Index Options,18-Aug-2026,25550,Call,10623,11719,-1096,-9.35,0.8,1.15,-30.43,35306,23.40787,24395.85
