Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,15-Sep-2026,23000,Put,94848,53042,41806,78.82,8.0,7.65,4.58,205914,1113.58291,23635.1
NIFTY,Index Options,15-Sep-2026,23700,Put,59547,22877,36670,160.29,129.0,89.05,44.86,505665,40329.31207,23635.1
NIFTY,Index Options,15-Sep-2026,23200,Put,54927,22410,32517,145.1,15.0,12.4,20.97,142694,1402.39663,23635.1
NIFTY,Index Options,15-Sep-2026,23600,Put,47945,17711,30234,170.71,86.5,59.95,44.29,344391,18714.20694,23635.1
NIFTY,Index Options,15-Sep-2026,23350,Put,33264,8998,24266,269.68,27.75,20.95,32.46,109137,1957.20838,23635.1
NIFTY,Index Options,15-Sep-2026,23300,Put,42996,21319,21677,101.68,22.55,17.35,29.97,149592,2180.97656,23635.1
NIFTY,Index Options,15-Sep-2026,23400,Put,53406,33496,19910,59.44,35.6,25.7,38.52,202124,4515.55122,23635.1
NIFTY,Index Options,15-Sep-2026,23500,Put,70213,50546,19667,38.91,56.8,39.8,42.71,336437,11902.97284,23635.1
NIFTY,Index Options,15-Sep-2026,23650,Put,26636,8494,18142,213.59,106.8,72.95,46.4,281825,18619.05045,23635.1
NIFTY,Index Options,15-Sep-2026,23100,Put,31290,18484,12806,69.28,10.15,9.15,10.93,78914,548.33392,23635.1
NIFTY,Index Options,22-Sep-2026,23500,Put,16764,6759,10005,148.02,97.75,75.25,29.9,25902,1614.4328,23635.1
NIFTY,Index Options,22-Sep-2026,23300,Put,10743,2203,8540,387.65,56.0,41.05,36.42,16353,577.28542,23635.1
NIFTY,Index Options,15-Sep-2026,23550,Put,13481,5158,8323,161.36,71.0,48.45,46.54,101656,4459.49623,23635.1
NIFTY,Index Options,22-Sep-2026,23000,Put,10504,3954,6550,165.66,24.8,17.7,40.11,21099,318.4472,23635.1
NIFTY,Index Options,15-Sep-2026,23050,Put,11514,4992,6522,130.65,8.9,8.25,7.88,38556,230.81549,23635.1
NIFTY,Index Options,15-Sep-2026,23450,Put,13957,7481,6476,86.57,45.7,31.9,43.26,84008,2353.48412,23635.1
NIFTY,Index Options,15-Sep-2026,22950,Put,10554,4963,5591,112.65,7.05,6.85,2.92,40403,189.34865,23635.1
NIFTY,Index Options,15-Sep-2026,23250,Put,13345,8076,5269,65.24,18.4,14.8,24.32,54456,645.9843,23635.1
NIFTY,Index Options,29-Sep-2026,23800,Put,45133,40055,5078,12.68,253.95,201.95,25.75,57191,9134.06039,23635.1
NIFTY,Index Options,15-Sep-2026,23150,Put,9841,5603,4238,75.64,12.55,10.6,18.4,33099,269.5748,23635.1
NIFTY,Index Options,22-Sep-2026,23200,Put,7347,3200,4147,129.59,41.85,30.6,36.76,14333,366.78863,23635.1
NIFTY,Index Options,29-Sep-2026,23600,Put,21759,17698,4061,22.95,165.4,129.3,27.92,31297,3253.05712,23635.1
BANKNIFTY,Index Options,29-Sep-2026,55000,Put,24322,20412,3910,19.16,105.5,83.4,26.5,29804,843.60222,56777.55
NIFTY,Index Options,15-Sep-2026,22850,Put,6444,2599,3845,147.94,5.65,5.6,0.89,20015,75.84684,23635.1
NIFTY,Index Options,27-Oct-2026,23500,Put,19707,16625,3082,18.54,215.8,185.95,16.05,15969,2164.30252,23635.1
