Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
BOSCHLTD,35293,24375,10918,44.79,137271,110581.83004,7873.19921,118455.02925,35115
PIIND,52150,38783,13367,34.47,143230,108833.24721,6739.1584,115572.40562,2750
PAGEIND,31738,26048,5690,21.84,104443,164606.21929,6295.51858,170901.73788,38320
APOLLOHOSP,46576,39507,7069,17.89,261031,188764.74943,28015.7563,216780.50573,8330
NIFTY,7552552,6414905,1137647,17.73,48678258,1856700.84393,3140769.99694,4997470.84087,23654
JUBLFOOD,52977,45269,7708,17.03,144488,213489.424,8893.675,222383.099,434
VBL,65708,56705,9003,15.88,78400,183986.74536,3893.3496,187880.09496,519
NYKAA,25519,22133,3386,15.3,25571,86656.60312,2207.42437,88864.0275,275
MAXHEALTH,40747,35471,5276,14.87,87025,102030.41436,5279.61131,107310.02567,1093
GRASIM,94087,83215,10872,13.06,345231,488995.4431,23938.98962,512934.43272,3162
LICI,39649,35562,4087,11.49,51462,75096.74011,3287.38445,78384.12456,804
NIFTYNXT50,1649,1501,148,9.86,1285,4682.74035,102.11904,4784.85939,69505
BANKNIFTY,1589456,1472758,116698,7.92,5685296,821726.59078,517090.85156,1338817.44234,53439
360ONE,14430,13467,963,7.15,18452,53161.7275,618.8428,53780.5703,1112
AUROPHARMA,50635,47359,3276,6.92,46878,117610.46324,3780.70825,121391.17149,1549
AMBER,84708,79360,5348,6.74,282306,248192.9428,23716.09232,271909.03512,7500
CDSL,67127,63015,4112,6.53,67880,109439.44752,4046.41722,113485.86475,1197
MIDCPNIFTY,154372,144941,9431,6.51,410585,202322.23135,32827.60384,235149.8352,14351
ANGELONE,30237,28490,1747,6.13,111535,103453.8625,13727.17675,117181.03925,339
ITC,230907,218536,12371,5.66,210764,219492.13323,8309.39932,227801.53255,307
POWERINDIA,40626,38522,2104,5.46,91636,155132.01188,11077.01855,166209.03043,36500
SAMMAANCAP,38694,36734,1960,5.34,126547,188633.49865,15387.48894,204020.98759,154
INDUSTOWER,88037,83585,4452,5.33,61328,182644.91076,2918.39918,185563.30994,432
LTF,39673,37712,1961,5.2,30231,105180.04417,1113.12832,106293.1725,269
SHRIRAMFIN,89543,85621,3922,4.58,64247,203768.38861,3472.44636,207240.83498,915
JINDALSTEL,32343,31048,1295,4.17,29346,91110.42887,1296.57475,92407.00362,1197
SWIGGY,54364,52317,2047,3.91,39397,89813.40552,525.02242,90338.42794,250
GAIL,45356,43664,1692,3.88,43062,98344.61672,1818.50508,100163.1218,155
ASHOKLEY,80227,77385,2842,3.67,70451,210247.5015,4796.799,215044.3005,154
PRESTIGE,20878,20139,739,3.67,25495,43691.84955,1850.9269,45542.77645,1380
MCX,42159,40760,1399,3.43,74777,342620.77859,16333.53493,358954.31352,3316
POLYCAB,49120,47528,1592,3.35,55553,119784.00878,3942.97035,123726.97913,9184
ABCAPITAL,29822,28872,950,3.29,28316,130996.4861,2118.912,133115.3981,348
FINNIFTY,21559,20965,594,2.83,48510,4807.79407,2780.05219,7587.84626,25237
EICHERMOT,60730,59088,1642,2.78,52134,124971.61966,3441.29432,128412.91398,6912
ADANIENSOL,50959,49660,1299,2.62,42758,152834.72917,4934.53809,157769.26726,1339
OBEROIRLTY,27254,26619,635,2.39,33393,80329.90952,1357.26451,81687.17403,1645
