Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
INFY,372398,219407,152991,69.73,121993,102412.70148,8357.57524,110770.27672,1144
INDIANB,24454,15141,9313,61.51,15261,42298.5946,1881.5202,44180.1148,838
OIL,28848,18034,10814,59.96,72639,62136.6858,8501.8927,70638.5785,430
NIFTY,6753776,5520970,1232806,22.33,48125974,919076.9008,3427392.79961,4346469.70042,23214
PIDILITIND,20152,17037,3115,18.28,38865,35799.6018,4603.9582,40403.56,1508
POWERINDIA,61476,54755,6721,12.27,55505,51231.46293,6926.70611,58158.16904,33375
ONGC,91529,82801,8728,10.54,93098,43014.25147,5785.07085,48799.32232,251
MANAPPURAM,24301,22090,2211,10.01,24442,39855.7551,3579.3705,43435.1256,289
IRFC,34787,31699,3088,9.74,15249,14770.35496,1018.06021,15788.41517,94
NUVAMA,5695,5216,479,9.18,8042,10446.41645,922.7312,11369.14765,1519
RADICO,2959,2719,240,8.83,2437,1032.05145,120.01713,1152.06858,3478
BHARATFORG,22496,20704,1792,8.66,32694,64064.7409,5416.73615,69481.47705,1957
NIFTYNXT50,1279,1178,101,8.57,619,3515.97749,70.45437,3586.43186,69154
MUTHOOTFIN,35797,32979,2818,8.54,52342,44793.42304,7384.17256,52177.5956,2913
MAZDOCK,42712,39834,2878,7.22,19741,15593.50279,1421.74775,17015.25054,2365
RELIANCE,572898,535008,37890,7.08,489446,269942.5297,46505.2335,316447.7632,1258
TITAN,79405,74321,5084,6.84,52201,42196.64533,3699.53137,45896.1767,4041
UPL,27589,25833,1756,6.8,10385,21361.9296,1176.44202,22538.37163,610
FINNIFTY,11432,10706,726,6.78,16164,2489.92836,2679.32611,5169.25447,25206
SBILIFE,32328,30530,1798,5.89,16244,17844.05133,1011.03491,18855.08625,1728
NESTLEIND,33928,32054,1874,5.85,48428,26756.91885,4855.1404,31612.05925,1437
SRF,24135,22812,1323,5.8,19377,13379.20902,1589.09642,14968.30544,2739
SIEMENS,35313,33436,1877,5.61,15220,31435.35064,1110.01871,32545.36936,3555
NYKAA,28507,27004,1503,5.57,10324,14070.77687,1131.60437,15202.38125,262
OFSS,29817,28327,1490,5.26,13234,14435.87775,1899.88354,16335.7613,9494
KFINTECH,18730,17810,920,5.17,6806,11801.98938,230.40562,12032.395,818
PAYTM,43589,41478,2111,5.09,77358,90756.62686,12230.74093,102987.3678,1068
TATASTEEL,146031,139307,6724,4.83,80613,49251.82542,6125.24522,55377.07065,198
MCX,58945,56318,2627,4.66,46570,76908.57691,13292.04052,90200.61744,2748
HDFCLIFE,83364,79677,3687,4.63,28617,28668.84559,1828.02048,30496.86607,550
COCHINSHIP,15268,14595,673,4.61,4392,9280.94944,362.5082,9643.45764,1405
HINDALCO,80442,76959,3483,4.53,70077,74814.90534,7484.3818,82299.28714,1040
KALYANKJIL,53086,50870,2216,4.36,24771,19231.82164,1878.20049,21110.02213,338
JINDALSTEL,31026,29733,1293,4.35,12548,21068.88237,1189.843,22258.72537,1120
PGEL,32331,31062,1269,4.09,16245,12478.77421,1634.25118,14113.02539,465
ICICIPRULI,30908,29710,1198,4.03,7088,7697.14256,338.57997,8035.72253,466
NBCC,28526,27441,1085,3.95,9852,18089.7379,1518.83355,19608.57145,103
BHARTIARTL,196097,188826,7271,3.85,61746,66719.80007,5262.14476,71981.94483,1776
RVNL,64128,61799,2329,3.77,14534,10507.1857,874.52012,11381.70582,228
BANKNIFTY,1246214,1201862,44352,3.69,2130738,813329.8078,398714.51825,1212044.32605,55100
POLYCAB,28283,27280,1003,3.68,26469,43175.38285,4225.707,47401.08985,9540
ABB,34492,33293,1199,3.6,23022,33152.29865,2780.88058,35933.17923,6800
VEDL,102350,98833,3517,3.56,64636,23142.22165,4235.15583,27377.37748,300
DMART,35999,34764,1235,3.55,40956,30729.04953,3599.14764,34328.19717,4050
APLAPOLLO,22780,21999,781,3.55,6521,6671.1064,378.45787,7049.56427,1763
LICI,39802,38478,1324,3.44,11040,16607.90866,614.6833,17222.59196,395
NTPC,157085,151866,5219,3.44,55501,37916.6187,3187.7631,41104.3818,351
ADANIPOWER,52969,51230,1739,3.39,18959,31379.83982,3261.03426,34640.87408,220
HINDPETRO,31864,30862,1002,3.25,11110,20216.71791,1391.208,21607.92591,374
DALBHARAT,18459,17893,566,3.16,5952,10388.74502,205.426,10594.17102,1634
BANDHANBNK,47241,45825,1416,3.09,16171,28747.35288,2034.50544,30781.85832,200
MOTILALOFS,11028,10700,328,3.07,3735,5930.71516,396.986,6327.70116,843
INDIGO,105558,102447,3111,3.04,61325,40725.75276,5686.56723,46412.31999,4525
SHRIRAMFIN,83040,80634,2406,2.98,18081,42011.15209,1851.03649,43862.18859,897
AXISBANK,162159,157513,4646,2.95,138030,150958.87906,13226.763,164185.64206,1314
IREDA,39336,38210,1126,2.95,6436,8724.89237,406.45317,9131.34555,120
CGPOWER,39311,38229,1082,2.83,17300,28730.89165,2240.39999,30971.29164,908
PAGEIND,24646,23969,677,2.82,6005,8596.7227,413.73542,9010.45812,37980
SUPREMEIND,17159,16715,444,2.66,5965,5261.00384,320.52713,5581.53097,3475
PHOENIXLTD,14189,13830,359,2.6,8736,11770.09288,746.02038,12516.11326,1763
BAJAJHLDNG,9373,9139,234,2.56,6654,2560.83626,161.50593,2722.34219,10050
