Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,18-Aug-2026,24300,Put,48319,207546,-159227,-76.72,144.85,33.9,327.29,7315954,431121.85326,24154.9
NIFTY,Index Options,18-Aug-2026,24350,Put,15230,88747,-73517,-82.84,195.2,51.75,277.2,2065696,181143.98078,24154.9
NIFTY,Index Options,18-Aug-2026,24250,Put,74757,127059,-52302,-41.16,94.85,21.1,349.53,16150817,536134.44572,24154.9
NIFTY,Index Options,18-Aug-2026,24400,Put,23548,73863,-50315,-68.12,244.7,77.45,215.95,1161488,136830.25532,24154.9
NIFTY,Index Options,18-Aug-2026,24500,Put,18207,40882,-22675,-55.46,345.65,151.0,128.91,217414,39504.34121,24154.9
NIFTY,Index Options,18-Aug-2026,24450,Put,15009,26218,-11209,-42.75,295.35,109.4,169.97,224695,33496.96886,24154.9
NIFTY,Index Options,18-Aug-2026,24600,Put,11954,19607,-7653,-39.03,445.75,242.5,83.81,42552,10536.61986,24154.9
BANKNIFTY,Index Options,25-Aug-2026,58000,Put,39393,46579,-7186,-15.43,773.8,517.2,49.61,46389,9697.99156,57262.4
BEL,Stock Futures,25-Aug-2026,0,-,61253,66417,-5164,-7.78,413.3,413.1,0.05,11346,66898.54048,412.0
NIFTY,Index Options,25-Aug-2026,23300,Put,20171,24442,-4271,-17.47,4.7,4.6,2.17,65722,173.86755,24154.9
HAL,Stock Options,25-Aug-2026,5100,Call,4534,7935,-3401,-42.86,68.95,67.05,2.83,34432,4163.34528,5099.0
NIFTY,Index Options,25-Aug-2026,24500,Put,85155,87993,-2838,-3.23,327.0,199.5,63.91,84300,16076.853,24154.9
NIFTY,Index Options,25-Aug-2026,24400,Put,53630,56451,-2821,-5.0,249.0,143.95,72.98,116546,16651.68456,24154.9
BANKNIFTY,Index Options,25-Aug-2026,57500,Put,21428,24095,-2667,-11.07,443.85,280.15,58.43,157881,19776.48982,57262.4
NIFTY,Index Options,18-Aug-2026,24550,Put,2797,5386,-2589,-48.07,395.65,194.25,103.68,35228,7564.19138,24154.9
IDEA,Stock Futures,25-Aug-2026,0,-,76730,79239,-2509,-3.17,14.16,13.73,3.13,13502,134818.24636,14.12
BANKNIFTY,Index Options,25-Aug-2026,57700,Put,7592,9872,-2280,-23.1,562.1,354.45,58.58,39511,6207.69174,57262.4
GRASIM,Stock Futures,25-Aug-2026,0,-,43104,45245,-2141,-4.73,3272.2,3265.4,0.21,5308,43507.8182,3278.7
MAXHEALTH,Stock Futures,25-Aug-2026,0,-,22153,24206,-2053,-8.48,1016.0,1002.4,1.36,5092,27018.24111,1014.4
MCX,Stock Options,25-Aug-2026,3000,Call,2898,4855,-1957,-40.31,72.4,36.5,98.36,34170,5299.51072,3040.0
NIFTY,Index Options,25-Aug-2026,24700,Put,15719,17656,-1937,-10.97,503.05,335.15,50.1,12652,3785.90856,24154.9
NIFTY,Index Options,25-Aug-2026,24450,Put,7397,9314,-1917,-20.58,287.1,168.9,69.98,16245,2688.06827,24154.9
VBL,Stock Futures,25-Aug-2026,0,-,40786,42674,-1888,-4.42,438.25,437.2,0.24,3216,18047.09052,439.3
BANKNIFTY,Index Options,25-Aug-2026,57600,Put,6576,8376,-1800,-21.49,502.5,316.35,58.84,49728,6916.31942,57262.4
M&M,Stock Futures,25-Aug-2026,0,-,51668,53467,-1799,-3.36,3413.6,3411.8,0.05,4408,30150.36736,3421.5
