Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
FINNIFTY,4086,1909,2177,114.04,14294,6250.38211,1913.89102,8164.27313,26386
PREMIERENE,21198,13486,7712,57.19,26393,42914.06502,3065.29964,45979.36466,1005
VBL,83513,55721,27792,49.88,118904,106728.85821,11484.98592,118213.84413,421
MIDCPNIFTY,49903,35988,13915,38.67,76682,31951.60904,12682.15014,44633.75918,14948
DIVISLAB,52752,40496,12256,30.26,101159,77138.13425,14002.14251,91140.27676,9025
NIFTY,6610753,5142975,1467778,28.54,45149252,734218.05196,2094531.84368,2828749.89564,24207
KEI,14346,11699,2647,22.63,12478,25734.37513,1857.50629,27591.88143,5540
ASIANPAINT,53599,43835,9764,22.27,32869,27032.66115,2625.56377,29658.22492,2626
DMART,47563,39125,8438,21.57,77821,90787.08081,5774.65573,96561.73654,3826
HINDZINC,56307,46752,9555,20.44,154606,98248.2313,28179.00072,126427.23203,626
SAIL,55182,45996,9186,19.97,54697,145463.21776,10418.92052,155882.13828,194
OFSS,20071,16796,3275,19.5,32792,51538.22494,8596.16538,60134.39032,11800
MARUTI,76892,64557,12335,19.11,64096,31057.25737,4707.12976,35764.38713,13520
HYUNDAI,17224,14470,2754,19.03,15408,23871.08905,1599.39573,25470.48479,2250
COCHINSHIP,21533,18120,3413,18.84,24330,25009.3992,3057.55888,28066.95808,1547
BANKNIFTY,821546,692160,129386,18.69,1516523,374565.16446,220039.19555,594604.36002,57783
TATAPOWER,80525,68409,12116,17.71,44882,33567.52581,2981.4204,36548.94621,364
ICICIGI,22797,19507,3290,16.87,10819,32139.93565,338.71012,32478.64577,1596
360ONE,11141,9547,1594,16.7,4192,3657.05425,447.38965,4104.4439,1197
DELHIVERY,19543,16786,2757,16.42,9216,14674.35787,1071.77443,15746.13231,449
HEROMOTOCO,39036,33559,5477,16.32,35841,44683.52986,4157.92296,48841.45282,5595
MARICO,18206,15774,2432,15.42,6722,11898.72672,503.51532,12402.24204,833
LODHA,26329,22840,3489,15.28,17504,22642.25593,2567.33325,25209.58918,1265
TATACONSUM,42182,36771,5411,14.72,13109,13371.64273,620.47144,13992.11418,1047
VOLTAS,46449,40585,5864,14.45,26395,23464.55868,2003.58663,25468.14532,1217
BLUESTARCO,22122,19333,2789,14.43,6199,8208.73007,460.92202,8669.65209,1485
VEDL,90599,79229,11370,14.35,97987,58133.28246,7784.77918,65918.06164,286
NIFTYFPI,32,28,4,14.29,13,227.7418,0.0,227.7418,1575
MAZDOCK,33187,29065,4122,14.18,44231,44925.76174,5293.3819,50219.14365,2625
BDL,30247,26502,3745,14.13,36205,30533.06768,4141.99806,34675.06575,1363
CIPLA,38914,34158,4756,13.92,28012,21815.76089,1831.86147,23647.62237,1402
UNIONBANK,31369,27588,3781,13.71,25324,29066.50015,4235.93081,33302.43096,187
LT,116393,102388,14005,13.68,65681,77336.02397,5769.45764,83105.48162,4038
CROMPTON,45112,39803,5309,13.34,23784,28497.09803,2018.61672,30515.71475,238
BANKINDIA,23210,20504,2706,13.2,13103,19930.99576,1563.78924,21494.785,145
BAJAJFINSV,46076,40712,5364,13.18,18145,10351.35807,967.17321,11318.53128,2010
DRREDDY,42159,37349,4810,12.88,19397,23858.94031,1344.58862,25203.52893,1182
MANKIND,15423,13667,1756,12.85,9908,13031.69705,1209.6067,14241.30375,2393
CGPOWER,30476,27015,3461,12.81,10243,11757.16693,1173.71255,12930.87949,865
CUMMINSIND,32044,28409,3635,12.8,16340,33265.80572,2361.8315,35627.63722,5200
PGEL,17575,15588,1987,12.75,7682,10363.99897,755.96886,11119.96783,587
LICI,54843,48644,6199,12.74,26186,38918.61568,1788.88906,40707.50474,415
SHRIRAMFIN,49191,43674,5517,12.63,46025,94270.28292,6700.39788,100970.6808,1117
PNBHOUSING,18918,16825,2093,12.44,15357,25237.18704,2288.7488,27525.93584,1185
ANGELONE,22667,20172,2495,12.37,19302,35372.5005,2862.312,38234.8125,298
SIEMENS,32097,28565,3532,12.36,18682,19431.26872,2522.94056,21954.20928,4043
POLYCAB,30039,26827,3212,11.97,24741,50533.30157,4437.53133,54970.83291,9060
BAJAJ-AUTO,37083,33208,3875,11.67,31578,37188.7572,3433.51202,40622.26923,11724
MOTHERSON,30695,27596,3099,11.23,11266,16215.70992,1494.96291,17710.67283,165
ADANIPOWER,62330,56123,6207,11.06,50515,61213.72458,6820.79924,68034.52383,207
SBILIFE,30957,27901,3056,10.95,15201,16107.67593,1235.98612,17343.66206,1768
TITAN,49603,44727,4876,10.9,23656,23920.67832,2333.07359,26253.75191,5100
INDIANB,13904,12543,1361,10.85,9976,15154.3305,1611.8536,16766.1841,889
PRESTIGE,16346,14772,1574,10.66,6945,11692.72512,936.71622,12629.44134,1615
HDFCLIFE,72212,65303,6909,10.58,45980,32907.34051,3628.79451,36536.13502,553
LAURUSLABS,31673,28720,2953,10.28,29080,76175.17479,7560.87393,83736.04872,1887
LICHSGFIN,52096,47279,4817,10.19,70842,73479.7234,6286.5592,79766.2826,524
KAYNES,34885,31664,3221,10.17,51936,41387.18017,10673.85471,52061.03488,4032
SONACOMS,15618,14186,1432,10.09,6758,12035.62769,707.60214,12743.22983,795
BOSCHLTD,14252,12950,1302,10.05,10363,16177.78596,1526.37953,17704.1655,48895
IREDA,35923,32642,3281,10.05,15387,14176.83495,1297.67271,15474.50766,118
POWERGRID,62005,56378,5627,9.98,19403,18671.05566,872.36676,19543.42242,265
BRITANNIA,25578,23257,2321,9.98,11352,11017.25763,702.16332,11719.42096,5310
GODFRYPHLP,6921,6300,621,9.86,5604,6649.02812,723.70542,7372.73355,2153
DABUR,38490,35060,3430,9.78,12395,9401.17487,675.79887,10076.97375,392
GVT&D,32719,29811,2908,9.75,26268,41374.23885,3019.89392,44394.13277,4340
CDSL,43154,39358,3796,9.64,75620,69711.15931,10577.91127,80289.07059,1434
HINDUNILVR,94316,86080,8236,9.57,44283,30726.71139,2596.02642,33322.73781,2021
NESTLEIND,24816,22653,2163,9.55,7975,15523.4094,582.74195,16106.15135,1451
RELIANCE,448130,409324,38806,9.48,184086,127418.7751,14721.4938,142140.2689,1298
TECHM,37192,34014,3178,9.34,12999,20580.0492,1630.39782,22210.44702,1571
KOTAKBANK,125952,115192,10760,9.34,96577,96954.7452,10625.7118,107580.457,416
ETERNAL,83816,76676,7140,9.31,38738,95052.76064,4267.37871,99320.13936,327
AMBER,22110,20253,1857,9.17,19348,22890.38179,2823.46688,25713.84867,7466
POLICYBZR,26255,24076,2179,9.05,31268,23045.21481,5146.54955,28191.76437,1840
LUPIN,29199,26803,2396,8.94,27590,39001.94591,3462.69782,42464.64374,2185
APOLLOHOSP,28865,26499,2366,8.93,16726,14846.39851,1876.67287,16723.07138,8766
TIINDIA,14558,13381,1177,8.8,7151,5312.4221,795.33308,6107.75518,2860
GODREJPROP,33712,30990,2722,8.78,15882,20735.9386,2048.08506,22784.02366,2035
