Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,19-May-2026,23900,Call,43568,68666,-25098,-36.55,100.95,62.65,61.13,934798,53476.52178,23689.6
HDFCBANK,Stock Futures,26-May-2026,0,-,461871,486647,-24776,-5.09,770.6,752.15,2.45,68548,289324.31374,770.1
NIFTY,Index Options,19-May-2026,23500,Call,56969,79146,-22177,-28.02,318.9,199.85,59.57,1754531,269395.95333,23689.6
NIFTY,Index Options,19-May-2026,23400,Call,18356,34314,-15958,-46.51,395.9,252.8,56.61,475903,90805.86167,23689.6
NIFTY,Index Options,19-May-2026,23550,Call,12636,26972,-14336,-53.15,285.25,176.55,61.57,952181,129093.84343,23689.6
BHARTIARTL,Stock Futures,26-May-2026,0,-,110777,123930,-13153,-10.61,1884.5,1797.3,4.85,40041,351968.6985,1883.0
NIFTY,Index Futures,26-May-2026,0,-,271584,283922,-12338,-4.35,23730.0,23462.4,1.14,85264,1310563.44265,23689.6
NIFTY,Index Options,19-May-2026,23600,Call,29947,39770,-9823,-24.7,251.95,154.35,63.23,1489314,191393.97611,23689.6
NIFTY,Index Options,19-May-2026,23450,Call,9703,18934,-9231,-48.75,354.8,225.85,57.1,478958,76899.82012,23689.6
NIFTY,Index Options,26-May-2026,24000,Call,82729,89510,-6781,-7.58,180.0,124.15,44.99,185326,19341.36266,23689.6
NIFTY,Index Options,26-May-2026,23500,Call,36245,42070,-5825,-13.85,440.0,318.6,38.1,117048,28980.08989,23689.6
BANKNIFTY,Index Options,26-May-2026,58000,Call,39838,45194,-5356,-11.85,52.95,45.95,15.23,72789,1060.17178,54128.95
NIFTY,Index Options,19-May-2026,23300,Call,9343,14694,-5351,-36.42,474.8,313.2,51.6,133463,31693.59207,23689.6
HDFCBANK,Stock Options,26-May-2026,800,Call,25404,29779,-4375,-14.69,4.25,3.1,37.1,45855,1263.53452,770.1
BANKNIFTY,Index Options,26-May-2026,60000,Call,68454,72241,-3787,-5.24,13.8,12.85,7.39,60101,250.62117,54128.95
SBIN,Stock Options,26-May-2026,980,Call,7270,10873,-3603,-33.14,14.45,12.25,17.96,30213,3061.33222,982.3
BANKNIFTY,Index Options,26-May-2026,56000,Call,39155,42715,-3560,-8.33,242.45,187.6,29.24,100096,6640.56883,54128.95
BANKNIFTY,Index Futures,26-May-2026,0,-,74288,77756,-3468,-4.46,54348.0,53613.8,1.37,35583,577440.56817,54128.95
SBIN,Stock Futures,26-May-2026,0,-,105881,109250,-3369,-3.08,967.6,955.3,1.29,19882,143685.72285,982.3
BANKNIFTY,Index Options,26-May-2026,59500,Call,7233,10404,-3171,-30.48,18.5,17.3,6.94,19833,110.25164,54128.95
ADANIENT,Stock Options,26-May-2026,2500,Call,2712,5852,-3140,-53.66,243.0,79.6,205.28,10385,5041.60491,2719.0
NIFTY,Index Options,26-May-2026,23400,Call,7967,11084,-3117,-28.12,514.95,371.05,38.78,30018,8422.2253,23689.6
BANKNIFTY,Index Options,26-May-2026,54000,Call,15620,18679,-3059,-16.38,1003.45,750.0,33.79,151285,41456.47726,54128.95
BANKNIFTY,Index Options,26-May-2026,55000,Call,20577,23123,-2546,-11.01,528.35,387.05,36.51,128027,18402.47295,54128.95
BANKNIFTY,Index Options,26-May-2026,59000,Call,25294,27784,-2490,-8.96,25.8,23.75,8.63,53608,400.7734,54128.95
