Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,09-Jun-2026,24500,Call,69478,144304,-74826,-51.85,0.05,1.2,-95.83,676807,167.17132,23242.1
NIFTY,Index Options,09-Jun-2026,23500,Call,161414,222360,-60946,-27.41,0.05,10.2,-99.51,5723622,6138.58459,23242.1
NIFTY,Index Options,09-Jun-2026,21100,Put,25164,79895,-54731,-68.5,0.05,0.5,-90.0,159652,18.67928,23242.1
NIFTY,Index Options,09-Jun-2026,25000,Call,50523,94035,-43512,-46.27,0.05,0.75,-93.33,238374,51.13122,23242.1
NIFTY,Index Options,09-Jun-2026,24200,Call,71116,113897,-42781,-37.56,0.05,1.55,-96.77,700705,200.40163,23242.1
NIFTY,Index Options,09-Jun-2026,23200,Call,105301,134091,-28790,-21.47,42.15,66.45,-36.57,36595754,932221.93951,23242.1
NIFTY,Index Options,09-Jun-2026,24000,Call,220002,248716,-28714,-11.54,0.05,2.15,-97.67,2268900,722.64465,23242.1
NIFTY,Index Options,09-Jun-2026,23500,Put,25319,52169,-26850,-51.47,257.2,379.45,-32.22,332357,62865.32655,23242.1
NIFTY,Index Options,09-Jun-2026,25500,Call,23160,47294,-24134,-51.03,0.05,0.6,-91.67,87363,15.90006,23242.1
NIFTY,Index Options,09-Jun-2026,24600,Call,18002,40617,-22615,-55.68,0.05,1.0,-95.0,148515,35.71785,23242.1
NIFTY,Index Options,09-Jun-2026,22000,Put,81059,102396,-21337,-20.84,0.05,0.85,-94.12,811523,163.52188,23242.1
NIFTY,Index Options,09-Jun-2026,24400,Call,28354,48581,-20227,-41.64,0.05,1.2,-95.83,213489,55.50714,23242.1
NIFTY,Index Options,09-Jun-2026,24800,Call,23387,42985,-19598,-45.59,0.05,0.85,-94.12,92110,20.95502,23242.1
NIFTY,Index Options,09-Jun-2026,24700,Call,22804,39181,-16377,-41.8,0.05,0.95,-94.74,146006,30.36924,23242.1
NIFTY,Index Options,09-Jun-2026,23600,Call,118616,134280,-15664,-11.67,0.05,6.15,-99.19,2842567,1792.23849,23242.1
NIFTY,Index Options,09-Jun-2026,22800,Put,86871,101596,-14725,-14.49,0.05,13.45,-99.63,3495428,1976.66453,23242.1
NIFTY,Index Options,09-Jun-2026,22500,Put,143140,155734,-12594,-8.09,0.05,2.7,-98.15,2202679,644.2836,23242.1
NIFTY,Index Options,09-Jun-2026,24550,Call,9586,22144,-12558,-56.71,0.05,1.1,-95.45,65526,16.61084,23242.1
NIFTY,Index Options,09-Jun-2026,23000,Put,140344,152728,-12384,-8.11,0.05,47.4,-99.89,12290968,40984.23279,23242.1
NIFTY,Index Options,09-Jun-2026,21800,Put,10022,22243,-12221,-54.94,0.05,0.7,-92.86,97302,18.97389,23242.1
NIFTY,Index Options,09-Jun-2026,23400,Call,137689,149497,-11808,-7.9,0.05,18.85,-99.73,9714681,19069.9188,23242.1
NIFTY,Index Options,09-Jun-2026,21500,Put,42238,53966,-11728,-21.73,0.05,0.55,-90.91,182961,23.78493,23242.1
NIFTY,Index Options,09-Jun-2026,24100,Call,64282,75992,-11710,-15.41,0.05,1.75,-97.14,681763,208.27859,23242.1
NIFTY,Index Options,09-Jun-2026,22300,Put,39252,50810,-11558,-22.75,0.05,1.35,-96.3,496482,129.08532,23242.1
NIFTY,Index Options,09-Jun-2026,24900,Call,13231,24243,-11012,-45.42,0.05,0.75,-93.33,77487,12.59163,23242.1
