Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
RADICO,7545,4249,3296,77.57,25878,21319.35438,2509.84983,23829.20421,3675
NYKAA,32503,26758,5745,21.47,108271,124934.58125,16726.46531,141661.04656,298
COCHINSHIP,25409,21100,4309,20.42,32328,47630.66224,2996.50696,50627.1692,1469
MAXHEALTH,47222,40410,6812,16.86,162633,47636.52174,13289.43924,60925.96098,1092
CDSL,55084,47838,7246,15.15,188347,111802.95656,20732.9349,132535.89146,1351
NUVAMA,10318,9037,1281,14.18,17217,18705.69615,2130.14735,20835.8435,1721
NIFTY,7724439,6800591,923848,13.58,46229418,848712.00441,2281541.04222,3130253.04664,24168
INFY,488226,432569,55657,12.87,268549,242349.19364,16198.6792,258547.87284,1127
LICI,44866,39933,4933,12.35,105201,65767.94518,8730.77996,74498.72514,430
POLYCAB,39957,36295,3662,10.09,35291,25896.89567,4489.0713,30385.96697,9940
UNITDSPR,43509,39902,3607,9.04,99541,44826.4628,7337.73956,52164.20236,1352
TRENT,161274,148198,13076,8.82,280290,101809.81603,22772.68524,124582.50127,3182
PERSISTENT,65144,60035,5109,8.51,48725,38861.06403,3862.38715,42723.45118,4940
FINNIFTY,21871,20238,1633,8.07,23235,2994.80361,2479.94659,5474.7502,26581
JSWENERGY,43373,40248,3125,7.76,26103,34972.0459,2091.19706,37063.24297,575
MARICO,21783,20229,1554,7.68,34206,45163.34688,3477.31272,48640.6596,820
COLPAL,45500,42486,3014,7.09,27826,18656.77768,1112.44113,19769.21881,2022
INDIANB,28486,26904,1582,5.88,13064,31178.4648,1432.1808,32610.6456,874
KFINTECH,23230,22007,1223,5.56,23750,23639.23345,1443.01726,25082.25071,908
MCX,63681,60331,3350,5.55,47444,90059.60456,11609.83437,101669.43893,2820
MIDCPNIFTY,144752,137498,7254,5.28,185960,34394.51167,20140.89586,54535.40754,14595
RVNL,69437,66027,3410,5.16,42693,30421.3006,2552.57635,32973.87696,247
VBL,70814,67595,3219,4.76,64351,66133.35006,5186.21018,71319.56024,532
NIFTYNXT50,1628,1555,73,4.69,932,3150.55344,127.6973,3278.25074,72595
GODREJCP,34776,33224,1552,4.67,11184,15635.7636,474.06725,16109.83085,1008
MAZDOCK,46917,44874,2043,4.55,22534,19308.48843,1562.95659,20871.44502,2530
IRFC,36103,34568,1535,4.44,11822,10880.2966,702.62683,11582.92343,100
DRREDDY,49970,47972,1998,4.16,22171,25566.09437,1635.26112,27201.3555,1272
