Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,15-Sep-2026,23500,Put,96072,123787,-27715,-22.39,125.1,116.5,7.38,2701551,214794.9169,23477.8
NIFTY,Index Options,15-Sep-2026,23600,Put,34862,45975,-11113,-24.17,190.15,169.4,12.25,722502,85706.79975,23477.8
NIFTY,Index Options,15-Sep-2026,23700,Put,33903,43331,-9428,-21.76,269.8,239.25,12.77,186806,31148.87306,23477.8
NIFTY,Index Options,15-Sep-2026,23550,Put,21608,28881,-7273,-25.18,155.9,140.8,10.72,723684,70535.67027,23477.8
NIFTY,Index Options,15-Sep-2026,23800,Put,25860,31714,-5854,-18.46,358.6,316.1,13.45,80917,18079.36622,23477.8
NIFTY,Index Options,15-Sep-2026,24000,Put,29758,34211,-4453,-13.02,550.9,503.25,9.47,26701,9184.08931,23477.8
NIFTY,Index Options,15-Sep-2026,23900,Put,23963,27998,-4035,-14.41,452.0,408.1,10.76,20213,5702.74422,23477.8
HDFCBANK,Stock Futures,29-Sep-2026,0,-,543171,546241,-3070,-0.56,695.15,694.1,0.15,22209,100230.99372,693.8
BANKNIFTY,Index Options,29-Sep-2026,57000,Put,27111,29608,-2497,-8.43,834.0,793.7,5.08,42618,9878.63931,56471.95
NIFTY,Index Options,15-Sep-2026,23750,Put,14131,16131,-2000,-12.4,313.05,277.2,12.93,39855,7694.52586,23477.8
BANKNIFTY,Index Options,29-Sep-2026,57500,Put,56928,58892,-1964,-3.33,1155.25,1101.9,4.84,11215,3652.26568,56471.95
POWERGRID,Stock Futures,29-Sep-2026,0,-,37472,39395,-1923,-4.88,271.85,267.55,1.61,4549,23412.42928,271.75
NIFTY,Index Options,29-Sep-2026,24000,Put,99730,101646,-1916,-1.88,551.5,514.45,7.2,16495,5798.3224,23477.8
BANKNIFTY,Index Options,29-Sep-2026,56000,Put,24524,26322,-1798,-6.83,383.0,379.0,1.06,53714,5794.66632,56471.95
NIFTY,Index Options,29-Dec-2026,25000,Put,31294,32929,-1634,-4.96,1265.15,1210.8,4.49,3698,3014.62439,23477.8
AXISBANK,Stock Futures,29-Sep-2026,0,-,148676,150282,-1606,-1.07,1249.1,1248.3,0.06,7437,58164.31218,1246.0
NTPC,Stock Futures,29-Sep-2026,0,-,79499,81082,-1583,-1.95,335.2,334.35,0.25,2890,14522.25,335.0
NIFTY,Index Options,15-Sep-2026,23650,Put,12351,13929,-1578,-11.33,228.6,200.45,14.04,174934,24729.0201,23477.8
BANKNIFTY,Index Options,29-Sep-2026,50000,Put,11919,13401,-1482,-11.06,15.35,15.05,1.99,22373,80.67703,56471.95
BANKNIFTY,Index Options,29-Sep-2026,55500,Put,12373,13753,-1380,-10.03,252.15,250.5,0.66,27530,1938.46989,56471.95
BHARTIARTL,Stock Futures,29-Sep-2026,0,-,114079,115309,-1230,-1.07,1841.0,1829.6,0.62,6183,54025.91014,1839.0
NIFTY,Index Options,15-Sep-2026,24100,Put,8457,9659,-1202,-12.44,650.05,600.9,8.18,3686,1505.08042,23477.8
COALINDIA,Stock Futures,29-Sep-2026,0,-,73508,74690,-1182,-1.58,434.35,432.05,0.53,4213,24697.61712,432.0
CHOLAFIN,Stock Futures,29-Sep-2026,0,-,21701,22801,-1100,-4.82,1868.0,1829.2,2.12,3205,37138.33812,1859.0
CUMMINSIND,Stock Futures,29-Sep-2026,0,-,28645,29744,-1099,-3.69,5185.0,5172.5,0.24,4067,42220.99112,5155.0
