Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,28-Jul-2026,23700,Put,127850,78196,49654,63.5,64.4,61.35,4.97,5657061,383520.45049,23767.45
NIFTY,Index Options,28-Jul-2026,23300,Put,119895,74640,45255,60.63,9.9,9.5,4.21,1381336,17625.15669,23767.45
RELIANCE,Stock Futures,25-Aug-2026,0,-,128096,85407,42689,49.98,1287.4,1279.9,0.59,50772,325923.2382,1280.5
AXISBANK,Stock Futures,25-Aug-2026,0,-,89135,46715,42420,90.81,1238.2,1231.2,0.57,47084,362290.78075,1230.0
NIFTY,Index Options,28-Jul-2026,23600,Put,121750,80193,41557,51.82,39.2,38.5,1.82,4636723,227095.10073,23767.45
NIFTY,Index Options,28-Jul-2026,23650,Put,62179,21013,41166,195.91,50.3,48.95,2.76,3527879,214475.63986,23767.45
TCS,Stock Futures,25-Aug-2026,0,-,113486,74138,39348,53.07,2252.5,2232.4,0.9,70240,354439.4688,2250.2
NIFTY,Index Options,28-Jul-2026,23000,Put,203409,164315,39094,23.79,4.4,3.8,15.79,1544770,6968.45747,23767.45
NIFTY,Index Options,28-Jul-2026,23750,Put,59894,27921,31973,114.51,81.85,77.05,6.23,3425179,252046.93448,23767.45
NIFTY,Index Options,28-Jul-2026,23200,Put,93459,66747,26712,40.02,6.8,6.55,3.82,1089296,9367.40095,23767.45
NIFTY,Index Options,28-Jul-2026,22700,Put,47820,24043,23777,98.89,2.55,2.15,18.6,475746,1066.8604,23767.45
NIFTY,Index Options,28-Jul-2026,23550,Put,43324,20945,22379,106.85,31.15,30.65,1.63,1781595,70188.60741,23767.45
NIFTY,Index Options,28-Jul-2026,23400,Put,106545,84439,22106,26.18,14.9,14.75,1.02,1860489,36993.03303,23767.45
NIFTY,Index Options,28-Jul-2026,23500,Put,159245,137553,21692,15.77,24.8,23.85,3.98,3560576,108937.603,23767.45
BANKNIFTY,Index Options,25-Aug-2026,58000,Call,40124,18792,21332,113.52,563.25,534.45,5.39,52846,7689.25153,56693.5
NIFTY,Index Options,28-Jul-2026,22500,Put,107609,86457,21152,24.47,2.0,1.9,5.26,570654,938.4405,23767.45
WIPRO,Stock Futures,25-Aug-2026,0,-,69521,48470,21051,43.43,171.8,170.45,0.79,40801,209321.3703,176.55
ITC,Stock Futures,25-Aug-2026,0,-,58743,37897,20846,55.01,285.7,282.95,0.97,24857,122156.06009,284.0
KOTAKBANK,Stock Futures,25-Aug-2026,0,-,63960,43924,20036,45.62,387.5,386.0,0.39,23665,183010.911,384.6
NIFTY,Index Options,28-Jul-2026,22600,Put,38022,20143,17879,88.76,2.0,1.95,2.56,346733,653.5917,23767.45
NIFTY,Index Options,28-Jul-2026,23250,Put,36594,20327,16267,80.03,8.15,7.85,3.82,635978,6638.97434,23767.45
NIFTY,Index Options,28-Jul-2026,22900,Put,42523,26266,16257,61.89,3.65,2.95,23.73,436529,1486.81777,23767.45
NIFTY,Index Options,28-Jul-2026,22800,Put,65697,50367,15330,30.44,3.05,2.45,24.49,555496,1502.06118,23767.45
TRENT,Stock Futures,25-Aug-2026,0,-,42489,27294,15195,55.67,2883.1,2858.7,0.85,21028,135884.82852,2886.5
CANBK,Stock Futures,25-Aug-2026,0,-,40020,25039,14981,59.83,126.84,126.09,0.59,17492,148757.6529,125.85
