Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
MAXHEALTH,51397,40747,10650,26.14,263469,190293.60939,14983.38523,205276.99463,1023
NYKAA,30568,25519,5049,19.79,107016,168039.39562,10462.83031,178502.22593,276
FINNIFTY,25634,21559,4075,18.9,135653,6585.27561,7698.93199,14284.20761,25531
NIFTYNXT50,1960,1649,311,18.86,2461,6701.47349,171.24234,6872.71584,69783
PAGEIND,37085,31738,5347,16.85,289717,165430.79373,12903.48069,178334.27442,39300
EICHERMOT,69921,60730,9191,15.13,105818,159440.86077,9802.67122,169243.53199,6985
PAYTM,44227,38627,5600,14.5,80339,148888.76848,5602.46555,154491.23404,1114
NAUKRI,61372,53717,7655,14.25,263484,163671.34154,12585.16842,176256.50997,964
PREMIERENE,40044,35123,4921,14.01,62672,213220.72929,1943.68791,215164.4172,972
LTM,48698,43599,5099,11.7,75177,164593.89642,2868.56256,167462.45898,4008
BANKNIFTY,1765666,1589456,176210,11.09,8864674,1047554.10722,720262.55452,1767816.66174,54055
LICI,43093,39649,3444,8.69,176734,172268.243,9832.41539,182100.65839,813
DIVISLAB,44867,41589,3278,7.88,68076,133573.23233,4907.41046,138480.64279,6900
DALBHARAT,23349,21673,1676,7.73,37221,67528.55908,1765.31988,69293.87897,1785
HINDALCO,84481,78603,5878,7.48,119929,228770.50105,9334.89571,238105.39676,1110
FORTIS,20334,18932,1402,7.41,32418,71571.11499,1906.31353,73477.42853,961
GLENMARK,43292,40902,2390,5.84,110687,245619.92763,8099.63898,253719.56662,2250
MIDCPNIFTY,162686,154372,8314,5.39,622521,247012.9058,45668.05809,292680.9639,14381
WIPRO,198015,188227,9788,5.2,256252,459259.7997,12769.5144,472029.3141,202
ASIANPAINT,100532,95746,4786,5.0,169990,202702.9093,8062.48267,210765.39197,2636
SUNPHARMA,171160,163330,7830,4.79,372348,301309.75885,15892.74851,317202.50737,1840
WAAREEENER,74204,70983,3221,4.54,73845,100132.67311,2233.44609,102366.1192,2998
VBL,68451,65708,2743,4.17,162131,274543.97202,9970.4781,284514.45012,540
TORNTPHARM,37149,35763,1386,3.88,49534,113808.38732,2273.82578,116082.21311,4497
DIXON,131998,127289,4709,3.7,587023,316425.50335,42749.22892,359174.73227,11720
KEI,19286,18603,683,3.67,44578,101156.99917,3668.03003,104825.0292,5285
POWERINDIA,41951,40626,1325,3.26,48446,109443.14811,3998.60354,113441.75166,35640
NTPC,155960,151379,4581,3.03,130722,218037.8121,3872.96505,221910.77715,389
BANKBARODA,73543,71564,1979,2.77,53543,183435.36822,3728.15615,187163.52437,266
INDIGO,115141,112231,2910,2.59,144100,251097.54933,6243.35001,257340.89934,4432
BANDHANBNK,45851,44819,1032,2.3,34470,111150.32076,2107.33164,113257.6524,194
