Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
VMM,24581,17466,7115,40.74,174961,93258.02275,10876.04594,104134.0687,113
FINNIFTY,61682,47019,14663,31.19,429809,4792.64364,11242.29234,16034.93598,26158
DIXON,159772,121882,37890,31.09,709714,444755.98855,27391.73229,472147.72085,14570
NIFTYNXT50,1899,1573,326,20.72,1720,9013.8581,63.4777,9077.3358,74022
MUTHOOTFIN,69283,60107,9176,15.27,444004,240510.58405,35146.9171,275657.50115,3209
BANKNIFTY,1773174,1555626,217548,13.98,15613922,1003387.00902,639293.69757,1642680.70659,57525
SIEMENS,43264,38767,4497,11.6,256872,111484.27067,15955.24332,127439.514,4114
NIFTY,9816169,8820713,995456,11.29,109481309,2113970.06211,3039685.41383,5153655.47594,24219
IREDA,41641,38713,2928,7.56,26222,85010.15416,1048.71354,86058.8677,115
SBILIFE,35922,33785,2137,6.33,27390,83438.2614,814.07741,84252.33881,1761
CDSL,51382,48900,2482,5.08,87865,101002.29142,6047.57754,107049.86897,1385
RADICO,14515,13863,652,4.7,22985,32609.58022,687.70984,33297.29007,4600
MIDCPNIFTY,202734,194991,7743,3.97,1166080,166538.39454,44185.83223,210724.22677,14898
BANKBARODA,84765,81861,2904,3.55,78882,199744.56479,5432.31994,205176.88473,241
ICICIPRULI,29434,28573,861,3.01,24511,52174.83719,659.45266,52834.28986,511
ZYDUSLIFE,25706,25100,606,2.41,24473,68285.01816,1363.81239,69648.83055,1103
DRREDDY,58386,57149,1237,2.16,51241,139791.13887,1720.22887,141511.36775,1190
GLENMARK,44750,43838,912,2.08,71285,190602.43912,5485.79786,196088.23698,2390
LICHSGFIN,62310,61257,1053,1.72,49176,94872.4813,1758.8303,96631.3116,491
NIFTYFPI,252,248,4,1.61,15,69.63704,0.0737,69.71074,1575
AMBUJACEM,102728,101191,1537,1.52,57443,183756.49656,1463.39892,185219.89548,408
TATAPOWER,80883,79880,1003,1.26,53623,128690.09492,2982.28257,131672.37749,373
JINDALSTEL,39284,38806,478,1.23,43398,120090.88887,1608.83806,121699.72693,1149
COALINDIA,115526,114274,1252,1.1,77330,182332.96357,2847.27703,185180.24061,406
WAAREEENER,70816,70072,744,1.06,65182,113987.01811,2077.28162,116064.29973,2674
YESBANK,58923,58352,571,0.98,29694,150332.83452,777.25742,151110.09194,22
RELIANCE,507922,503390,4532,0.9,378230,765350.50215,15743.81515,781094.3173,1309
COCHINSHIP,26104,25967,137,0.53,33833,66409.93772,1646.10316,68056.04088,1514
LT,133786,133221,565,0.42,128261,256206.67311,4268.61358,260475.28669,4090
