Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,14-Jul-2026,24100,Call,468087,47823,420264,878.79,0.05,151.5,-99.97,39277903,552482.98359,24052.05
NIFTY,Index Options,14-Jul-2026,24050,Call,344211,17757,326454,1838.45,1.9,191.0,-99.01,32485416,567585.18835,24052.05
NIFTY,Index Options,14-Jul-2026,24050,Put,424248,130860,293388,224.2,0.05,35.0,-99.86,44716272,626653.8358,24052.05
NIFTY,Index Options,14-Jul-2026,24150,Call,197776,58480,139296,238.19,0.05,115.4,-99.96,22692908,240578.86416,24052.05
NIFTY,Index Options,14-Jul-2026,24000,Put,400080,290322,109758,37.81,0.05,27.65,-99.82,40787146,357642.0897,24052.05
NIFTY,Index Options,21-Jul-2026,24100,Call,92704,15599,77105,494.29,130.45,261.7,-50.15,510280,51894.96572,24052.05
NIFTY,Index Options,14-Jul-2026,24000,Call,107793,48807,58986,120.86,51.8,233.15,-77.78,11871868,573120.36363,24052.05
NIFTY,Index Options,21-Jul-2026,25000,Call,91907,39516,52391,132.58,4.05,8.05,-49.69,243985,732.68695,24052.05
NIFTY,Index Options,14-Jul-2026,24200,Call,179574,129940,49634,38.2,0.05,83.5,-99.94,18295141,123437.31632,24052.05
NIFTY,Index Options,21-Jul-2026,24000,Call,63991,19876,44115,221.95,178.35,331.3,-46.17,311303,41240.33187,24052.05
NIFTY,Index Options,21-Jul-2026,24300,Call,63733,21091,42642,202.18,61.45,149.35,-58.86,305854,15397.45499,24052.05
NIFTY,Index Options,21-Jul-2026,25500,Call,55736,16676,39060,234.23,1.35,1.95,-30.77,164652,165.88689,24052.05
NIFTY,Index Options,21-Jul-2026,24400,Call,60001,21122,38879,184.07,39.4,106.45,-62.99,270361,8786.7325,24052.05
NIFTY,Index Options,21-Jul-2026,24500,Call,73373,34979,38394,109.76,25.4,72.7,-65.06,291580,6368.1072,24052.05
NIFTY,Index Options,21-Jul-2026,24700,Call,63461,25947,37514,144.58,10.6,30.35,-65.07,199787,1703.78353,24052.05
NIFTY,Index Options,14-Jul-2026,25000,Call,150168,113300,36868,32.54,0.05,0.9,-94.44,1167915,311.24934,24052.05
NIFTY,Index Options,21-Jul-2026,21600,Put,68466,33249,35217,105.92,1.9,3.15,-39.68,65959,95.17883,24052.05
NIFTY,Index Options,14-Jul-2026,23950,Put,132797,98647,34150,34.62,0.05,21.8,-99.77,17866904,76184.47865,24052.05
NIFTY,Index Options,21-Jul-2026,24200,Call,65883,32012,33871,105.81,92.05,200.5,-54.09,334652,24286.53227,24052.05
NIFTY,Index Options,21-Jul-2026,23000,Put,75066,44491,30575,68.72,8.6,10.65,-19.25,171513,945.37965,24052.05
NIFTY,Index Options,14-Jul-2026,23900,Put,163692,135941,27751,20.41,0.05,17.2,-99.71,13502375,35808.2985,24052.05
NIFTY,Index Options,21-Jul-2026,24050,Call,24614,2675,21939,820.15,151.45,295.4,-48.73,154612,17288.63653,24052.05
NIFTY,Index Options,21-Jul-2026,22000,Put,32622,10941,21681,198.16,2.5,3.8,-34.21,67871,118.23128,24052.05
NIFTY,Index Options,21-Jul-2026,22500,Put,46204,25781,20423,79.22,3.65,5.8,-37.07,103721,259.5618,24052.05
NIFTY,Index Options,21-Jul-2026,25100,Call,37268,17316,19952,115.22,3.35,5.45,-38.53,111382,259.18591,24052.05
