Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
GODREJCP,38441,28987,9454,32.61,86887,63051.7601,7109.50775,70161.26785,1050
CROMPTON,52519,39874,12645,31.71,100331,79797.65742,8861.08374,88658.74117,249
FINNIFTY,17842,13674,4168,30.48,43558,6048.74634,5229.96864,11278.71498,26466
BLUESTARCO,33009,25903,7106,27.43,78668,55815.89864,6296.7982,62112.69684,1514
LUPIN,37509,29878,7631,25.54,71844,78523.10106,10788.9599,89312.06096,2363
BRITANNIA,38540,31392,7148,22.77,226305,81790.80918,23957.13801,105747.9472,5510
MOTHERSON,44299,36413,7886,21.66,163293,170900.48839,35526.33108,206426.81947,168
SBIN,271875,225112,46763,20.77,954675,687043.7568,125920.23037,812963.98717,1097
TRENT,109480,94391,15089,15.99,168984,86686.66161,18077.43116,104764.09277,2997
PGEL,31110,26950,4160,15.44,145441,97671.19404,21384.96711,119056.16115,630
NIFTY,8238852,7180831,1058021,14.73,68610760,456364.6722,3351021.41924,3807386.09145,24570
LTM,34670,30701,3969,12.93,70071,52121.92584,11021.92779,63143.85363,4658
HEROMOTOCO,67707,60371,7336,12.15,329009,159990.39505,42939.61828,202930.01334,5725
GRASIM,77101,68933,8168,11.85,54234,95672.19052,8078.9434,103751.13392,3323
TITAN,80160,71674,8486,11.84,126669,78540.40727,13930.73585,92471.14313,4941
OIL,19456,17421,2035,11.68,15902,15823.16218,1457.50962,17280.6718,442
INOXWIND,30806,27961,2845,10.17,16359,15862.3424,1768.00832,17630.35072,78
ABCAPITAL,25447,23109,2338,10.12,23127,57432.76659,4138.84162,61571.60821,408
DELHIVERY,28187,25872,2315,8.95,45909,91538.24631,8834.51854,100372.76486,473
KAYNES,54643,50156,4487,8.95,37549,29029.98828,6845.48437,35875.47265,3856
MPHASIS,24986,22939,2047,8.92,30448,21788.93917,4785.78454,26574.72372,2475
BAJFINANCE,158878,145986,12892,8.83,204293,200113.8186,23940.21427,224054.03287,1078
KALYANKJIL,67581,62310,5271,8.46,141102,138919.73445,42531.95641,181451.69086,606
SWIGGY,78329,72811,5518,7.58,56577,82229.48198,5325.57484,87555.05682,280
ZYDUSLIFE,17666,16490,1176,7.13,6836,13255.37307,1036.54548,14291.91855,1114
PREMIERENE,17830,16664,1166,7.0,38349,37421.50867,4920.11052,42341.61919,1047
JUBLFOOD,31944,29902,2042,6.83,14990,24374.27575,1646.7025,26020.97825,486
SONACOMS,19703,18475,1228,6.65,25049,48342.17818,3647.15268,51989.33087,818
ANGELONE,27856,26146,1710,6.54,17436,26669.8775,1832.9025,28502.78,292
COCHINSHIP,25133,23598,1535,6.5,28714,28200.41632,3242.12472,31442.54104,1519
TECHM,49051,46185,2866,6.21,51847,69954.53484,8368.23138,78322.76622,1635
BHEL,54535,51435,3100,6.03,46393,89621.28393,9764.40517,99385.68911,405
NESTLEIND,35565,33573,1992,5.93,27712,23040.2334,2871.17965,25911.41305,1540
CAMS,21070,19931,1139,5.71,13904,14832.76822,1125.70309,15958.47132,787
