Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
INFY,Stock Futures,28-Jul-2026,0,-,212242,147495,64747,43.9,1037.0,1049.9,-1.23,103631,432584.81068,1042.9
NIFTY,Index Options,30-Jun-2026,24200,Call,158356,95932,62424,65.07,58.7,74.3,-21.0,3724906,241101.99066,24056.0
TCS,Stock Futures,28-Jul-2026,0,-,174608,128186,46422,36.21,2065.2,2082.4,-0.83,71071,335167.6378,2095.9
NIFTY,Index Options,30-Jun-2026,24100,Put,93946,47936,46010,95.98,105.4,166.3,-36.62,2671589,151130.45393,24056.0
NIFTY,Index Options,30-Jun-2026,24200,Put,74761,29471,45290,153.68,161.15,225.3,-28.47,2807005,217304.29207,24056.0
NIFTY,Index Options,30-Jun-2026,24800,Call,96991,56736,40255,70.95,2.1,4.5,-53.33,629014,1516.86726,24056.0
NIFTY,Index Options,30-Jun-2026,25200,Call,89554,50505,39049,77.32,1.25,1.85,-32.43,336446,360.83833,24056.0
NIFTY,Index Options,30-Jun-2026,24250,Call,65712,28706,37006,128.91,43.55,58.45,-25.49,1620546,84689.73396,24056.0
NIFTY,Index Options,30-Jun-2026,24300,Call,132620,98737,33883,34.32,31.15,45.65,-31.76,2107384,80968.85435,24056.0
HCLTECH,Stock Futures,28-Jul-2026,0,-,81675,48931,32744,66.92,1080.0,1094.2,-1.3,43062,188196.44232,1100.5
AXISBANK,Stock Futures,28-Jul-2026,0,-,74759,45642,29117,63.79,1383.6,1390.1,-0.47,34276,297813.45275,1377.2
NIFTY,Index Options,30-Jun-2026,24350,Call,51150,22825,28325,124.1,22.55,35.5,-36.48,947374,26565.31433,24056.0
BAJFINANCE,Stock Futures,28-Jul-2026,0,-,64727,36989,27738,74.99,982.4,991.25,-0.89,33799,251170.5087,981.4
NIFTY,Index Options,30-Jun-2026,23000,Put,159662,133158,26503,19.9,2.0,6.35,-68.5,736602,1718.86076,24056.0
ETERNAL,Stock Futures,28-Jul-2026,0,-,57419,31784,25635,80.65,256.5,258.1,-0.62,28733,179426.59462,255.0
WIPRO,Stock Futures,28-Jul-2026,0,-,93887,68740,25147,36.58,171.59,171.68,-0.05,47432,244080.3288,175.09
NIFTY,Index Options,30-Jun-2026,24400,Call,98212,73727,24485,33.21,16.4,27.2,-39.71,1379137,28533.65496,24056.0
TATASTEEL,Stock Futures,28-Jul-2026,0,-,57106,35185,21921,62.3,189.4,191.61,-1.15,26834,140096.95975,188.6
NIFTY,Index Options,30-Jun-2026,24150,Put,29761,8281,21480,259.39,131.2,195.25,-32.8,1971909,130365.86185,24056.0
NTPC,Stock Futures,28-Jul-2026,0,-,50986,30031,20955,69.78,354.35,359.6,-1.46,24970,133909.116,352.5
NIFTY,Index Options,30-Jun-2026,24500,Call,181840,161744,20096,12.42,9.0,16.3,-44.79,1622909,19146.26892,24056.0
NIFTY,Index Options,30-Jun-2026,24150,Call,54517,34514,20003,57.96,78.1,93.05,-16.07,2110904,165899.11171,24056.0
NIFTY,Index Options,30-Jun-2026,24100,Call,120399,100517,19882,19.78,102.45,114.45,-10.48,2386373,220960.242,24056.0
IDEA,Stock Futures,28-Jul-2026,0,-,47932,28430,19502,68.6,14.18,14.46,-1.94,20925,213274.60987,14.05
NIFTY,Index Options,30-Jun-2026,24550,Call,41539,22101,19438,87.95,6.65,12.6,-47.22,551436,4842.43523,24056.0
