Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,12-May-2026,22600,Put,16503,26082,-9579,-36.73,2.65,4.25,-37.65,217586,410.14961,24330.95
BANKNIFTY,Index Options,26-May-2026,50000,Put,19725,27668,-7943,-28.71,31.7,84.9,-62.66,60786,839.21151,55981.05
NIFTY,Index Options,26-May-2026,23000,Put,52447,59952,-7505,-12.52,40.5,88.25,-54.11,93060,3613.61286,24330.95
NIFTY,Index Options,26-May-2026,22500,Put,35757,41560,-5803,-13.96,20.2,42.95,-52.97,57236,1058.80876,24330.95
NIFTY,Index Options,12-May-2026,22400,Put,13239,18913,-5674,-30.0,2.15,3.3,-34.85,101479,143.79574,24330.95
NIFTY,Index Options,30-Jun-2026,21000,Put,22960,27870,-4910,-17.62,30.3,43.95,-31.06,16867,392.16618,24330.95
NIFTY,Index Options,26-May-2026,22400,Put,2796,5171,-2375,-45.93,18.05,37.2,-51.48,11557,176.08245,24330.95
NIFTY,Index Options,26-May-2026,20500,Put,7542,9439,-1897,-20.1,4.7,5.55,-15.32,12866,36.6295,24330.95
BANKNIFTY,Index Options,26-May-2026,52000,Put,14260,15852,-1592,-10.04,83.2,259.15,-67.9,55935,2439.8847,55981.05
BANKNIFTY,Index Options,26-May-2026,49000,Put,8857,10417,-1560,-14.98,21.7,48.05,-54.84,22875,187.62075,55981.05
TITAN,Stock Futures,26-May-2026,0,-,44475,45964,-1489,-3.24,4366.0,4387.6,-0.49,10046,76481.50398,4357.6
NIFTY,Index Options,26-May-2026,26000,Put,30318,31778,-1460,-4.59,1530.55,1880.5,-18.61,2206,2397.25137,24330.95
LT,Stock Options,26-May-2026,3800,Put,2214,3663,-1449,-39.56,26.35,33.45,-21.23,15219,1293.04428,4012.6
NIFTY,Index Options,12-May-2026,21800,Put,6931,8333,-1402,-16.82,1.5,2.1,-28.57,65547,66.0386,24330.95
NIFTY,Index Options,26-May-2026,20100,Put,5252,6549,-1297,-19.8,3.3,4.55,-27.47,8205,16.85307,24330.95
MIDCPNIFTY,Index Options,26-May-2026,13500,Put,3513,4621,-1108,-23.98,40.6,119.2,-65.94,11697,859.44877,14312.9
MIDCPNIFTY,Index Options,26-May-2026,12500,Put,3091,4196,-1105,-26.33,6.0,13.1,-54.2,7109,53.82934,14312.9
EXIDEIND,Stock Futures,26-May-2026,0,-,14051,15056,-1005,-6.68,354.35,362.6,-2.28,8697,55110.45384,352.0
BANKNIFTY,Index Options,26-May-2026,48000,Put,5984,6969,-985,-14.13,14.25,28.75,-50.43,11372,59.43007,55981.05
NIFTY,Index Options,26-May-2026,23950,Put,1322,2245,-923,-41.11,164.7,315.45,-47.79,4599,658.43423,24330.95
HINDALCO,Stock Futures,26-May-2026,0,-,43406,44289,-883,-1.99,1049.2,1057.5,-0.78,8125,60396.7,1044.0
NIFTY,Index Options,29-Dec-2026,22000,Put,14627,15417,-790,-5.12,279.25,345.35,-19.14,3456,699.05721,24330.95
HDFCBANK,Stock Options,26-May-2026,750,Put,5733,6521,-788,-12.08,2.9,8.35,-65.27,7499,207.87228,796.0
NIFTY,Index Options,30-Jun-2026,23000,Put,36415,37195,-779,-2.09,147.75,232.9,-36.56,15224,1792.68689,24330.95
HAL,Stock Options,26-May-2026,4300,Put,1706,2465,-759,-30.79,33.15,43.85,-24.4,1701,91.3437,4635.0
