Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Futures,27-Oct-2026,0,-,60761,55025,5736,10.42,23480.0,23442.0,0.16,9975,152204.7345,23346.4
HDFCBANK,Stock Futures,27-Oct-2026,0,-,105251,102041,3210,3.15,734.85,718.75,2.24,10779,51319.41184,731.0
WAAREEENER,Stock Futures,27-Oct-2026,0,-,10501,7409,3092,41.73,2524.0,2474.3,2.01,3639,16017.67713,2560.7
RELIANCE,Stock Options,29-Sep-2026,1250,Put,8881,6048,2833,46.84,18.85,18.5,1.89,15318,1389.3426,1226.4
JIOFIN,Stock Futures,27-Oct-2026,0,-,13837,11360,2477,21.8,232.63,231.59,0.45,3121,17076.5671,229.89
HDFCBANK,Stock Options,29-Sep-2026,760,Call,11693,9264,2429,26.22,2.75,1.4,96.43,42855,676.89472,731.0
HDFCBANK,Stock Options,29-Sep-2026,780,Call,8090,6322,1768,27.97,1.2,0.75,60.0,17141,121.44398,731.0
TCS,Stock Options,29-Sep-2026,2060,Put,2401,648,1753,270.52,25.3,6.7,277.61,15480,589.6719,2105.0
VBL,Stock Futures,29-Sep-2026,0,-,57883,56366,1517,2.69,424.95,418.25,1.6,5555,30015.45648,421.95
DRREDDY,Stock Futures,27-Oct-2026,0,-,5903,4585,1318,28.75,1182.8,1170.3,1.07,1948,14458.2995,1185.0
TCS,Stock Options,29-Sep-2026,2120,Put,2279,988,1291,130.67,54.15,15.5,249.35,25554,2198.66616,2105.0
KPITTECH,Stock Options,29-Sep-2026,500,Put,1385,156,1229,787.82,2.15,0.55,290.91,6898,107.98819,532.0
TCS,Stock Options,29-Sep-2026,1960,Put,2359,1153,1206,104.6,5.2,2.05,153.66,4874,38.27308,2105.0
TCS,Stock Options,29-Sep-2026,2100,Put,3369,2172,1197,55.11,42.95,11.75,265.53,38195,2579.88127,2105.0
NESTLEIND,Stock Options,29-Sep-2026,1300,Put,1400,220,1180,536.36,3.0,1.2,150.0,14226,450.9642,1372.4
ATHERENERG,Stock Futures,29-Sep-2026,0,-,12692,11529,1163,10.09,1607.5,1548.0,3.84,5569,33257.99838,1640.0
VEDL,Stock Futures,27-Oct-2026,0,-,5344,4228,1116,26.4,263.5,258.5,1.93,1551,4689.92931,267.6
HDFCBANK,Stock Options,27-Oct-2026,750,Call,6760,5710,1050,18.39,15.3,10.75,42.33,6126,585.73749,731.0
ADANIENT,Stock Options,29-Sep-2026,3000,Call,4875,3846,1029,26.76,52.0,32.15,61.74,15727,2332.62864,3020.0
TCS,Stock Options,29-Sep-2026,2000,Put,3457,2456,1001,40.76,10.35,3.2,223.44,17081,258.64904,2105.0
PAYTM,Stock Options,29-Sep-2026,1860,Call,2024,1028,996,96.89,21.3,11.7,82.05,5895,796.6503,1849.9
BANKNIFTY,Index Options,27-Oct-2026,57000,Call,6490,5494,996,18.13,764.05,745.15,2.54,6629,1525.43233,56358.7
TCS,Stock Options,29-Sep-2026,2080,Put,1584,635,949,149.45,33.0,8.65,281.5,14002,715.15215,2105.0
PIIND,Stock Futures,27-Oct-2026,0,-,4404,3456,948,27.43,2282.6,2281.5,0.05,1266,5083.35397,2366.8
AUROPHARMA,Stock Futures,27-Oct-2026,0,-,1268,359,909,253.2,1725.6,1697.2,1.67,1141,10773.84115,1734.0
