Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
POLYCAB,82614,63194,19420,30.73,217569,154628.0528,25123.36441,179751.41721,8847
FEDERALBNK,71832,59770,12062,20.18,302010,286123.4875,33623.669,319747.1565,348
NIFTY,8499417,7113546,1385871,19.48,96290309,1481820.0235,4565169.46388,6046989.48738,24334
JIOFIN,150135,129242,20893,16.17,338266,210240.63476,31264.34289,241504.97766,242
GVT&D,31834,28060,3774,13.45,28377,21492.14107,2256.35193,23748.49301,4388
POWERINDIA,56362,49819,6543,13.13,60637,42604.43191,5725.26951,48329.70142,32005
FINNIFTY,11203,9935,1268,12.76,33558,3028.33032,3406.4457,6434.77602,26903
HAVELLS,47938,43524,4414,10.14,203360,141177.9766,18768.1211,159946.0977,1190
BSE,115337,105045,10292,9.8,114048,83311.87296,12511.94428,95823.81724,3579
KEI,24722,22596,2126,9.41,18859,32053.24659,2146.66063,34199.90722,4889
SONACOMS,26224,24167,2057,8.51,39257,51284.94546,6047.64884,57332.5943,705
OBEROIRLTY,36956,34079,2877,8.44,23716,18298.58656,2277.89145,20576.47802,1890
ANGELONE,32487,29960,2527,8.43,37677,38621.22775,4556.2245,43177.45225,328
JSWENERGY,42342,39203,3139,8.01,14961,13865.2526,1460.1568,15325.40941,541
ICICIPRULI,47025,43716,3309,7.57,39223,26398.23987,2112.82247,28511.06234,497
DALBHARAT,22694,21141,1553,7.35,8587,12038.43605,624.06353,12662.49959,1824
JSWSTEEL,84305,78586,5719,7.28,76807,73801.01862,8288.51852,82089.53714,1235
ICICIBANK,261391,244040,17351,7.11,210321,345847.39819,24712.26044,370559.65863,1454
AMBER,35659,33439,2220,6.64,33107,25278.7365,4099.71181,29378.44831,7770
MOTILALOFS,11849,11113,736,6.62,5468,8511.08363,640.28981,9151.37344,968
ADANIGREEN,63698,59766,3932,6.58,28613,75883.54974,5089.46856,80973.0183,1515
ADANIENSOL,45475,42733,2742,6.42,46842,67363.07105,13670.76386,81033.83491,1721
ALKEM,18682,17595,1087,6.18,13262,9417.76338,709.078,10126.84138,5555
MIDCPNIFTY,128263,120877,7386,6.11,248365,59690.7883,28643.89282,88334.68113,14715
TORNTPHARM,54668,51642,3026,5.86,98277,56463.15701,6993.45602,63456.61303,4747
SUPREMEIND,22777,21529,1248,5.8,8230,9805.95701,387.17876,10193.13578,3420
POLICYBZR,46048,43530,2518,5.78,27710,32727.64243,2588.99711,35316.63954,1574
DELHIVERY,34320,32472,1848,5.69,31397,56963.75946,4485.984,61449.74346,491
NATIONALUM,53580,50811,2769,5.45,36120,34703.91806,3175.67268,37879.59075,341
CUMMINSIND,37478,35596,1882,5.29,21928,45074.89446,2311.28594,47386.1804,5436
INDHOTEL,39145,37213,1932,5.19,17376,36862.5379,1446.3044,38308.8423,728
BANKNIFTY,1275527,1214904,60623,4.99,3412942,733969.47644,417582.18526,1151551.6617,58521
TECHM,74871,71324,3547,4.97,230725,226809.32922,31536.40002,258345.72924,1570
INDUSINDBK,82680,79171,3509,4.43,35917,61639.92751,4359.15837,65999.08588,1026
COFORGE,72628,69595,3033,4.36,38862,52137.46361,5363.50453,57500.96815,1510
AXISBANK,181305,174071,7234,4.16,143503,222979.84231,15841.65862,238821.50093,1329
MCX,91662,88037,3625,4.12,63294,50251.98116,6150.86286,56402.84403,2749
YESBANK,75217,72431,2786,3.85,31270,43748.97645,2750.34405,46499.3205,23
EXIDEIND,30579,29450,1129,3.83,72493,57090.04488,10291.97052,67382.0154,435
PFC,70684,68132,2552,3.75,36298,66447.14245,1923.26862,68370.41107,404
APLAPOLLO,25458,24553,905,3.69,8115,4416.21509,284.15723,4700.37232,1790
VMM,13688,13206,482,3.65,6163,8346.64096,458.56653,8805.20749,110
OFSS,33863,32676,1187,3.63,36777,56086.55746,6663.08427,62749.64173,11799
RBLBANK,28379,27393,986,3.6,24934,34857.25629,4418.21728,39275.47358,367
MAZDOCK,52917,51122,1795,3.51,13841,15970.91652,698.69067,16669.60719,2335
GLENMARK,41537,40159,1378,3.43,14393,23213.96257,1396.7838,24610.74637,2237
CGPOWER,47650,46071,1579,3.43,17262,30827.46705,1883.85364,32711.32069,905
ASTRAL,35204,34058,1146,3.36,9950,15779.41725,486.21848,16265.63574,1376
NESTLEIND,41569,40251,1318,3.27,11262,17198.8188,912.89885,18111.71765,1427
LUPIN,23813,23062,751,3.26,15077,20597.25423,1513.44586,22110.70009,2443
BHARTIARTL,204179,197828,6351,3.21,64182,78211.52091,3809.78495,82021.30586,1908
CAMS,19821,19213,608,3.16,13478,13430.07476,1046.3753,14476.45006,751
MUTHOOTFIN,42652,41368,1284,3.1,20844,26516.83138,2171.18156,28688.01295,2984
DRREDDY,80003,77598,2405,3.1,39224,37599.10137,3563.46318,41162.56456,1210
JUBLFOOD,35375,34347,1028,2.99,15288,14849.68525,901.60375,15751.289,418
MANAPPURAM,24657,23951,706,2.95,8973,27037.0044,943.4532,27980.4576,325
COLPAL,30303,29457,846,2.87,27757,20970.70431,1581.19607,22551.90038,2040
NBCC,29103,28303,800,2.83,8445,22414.9692,647.2778,23062.247,97
KALYANKJIL,108323,105348,2975,2.82,199427,126878.59035,43881.72111,170760.31146,572
AUROPHARMA,35036,34078,958,2.81,11928,17878.68247,982.64386,18861.32633,1536
COALINDIA,106020,103157,2863,2.78,29841,42922.86768,1533.09415,44455.96183,427
PNB,70905,69000,1905,2.76,28750,47681.16,3364.924,51046.084,106
IREDA,32910,32028,882,2.75,7737,11788.1051,515.60112,12303.70622,121
HINDPETRO,40616,39543,1073,2.71,13629,33256.31944,1363.28305,34619.6025,400
VEDL,134067,130647,3420,2.62,88304,32838.79659,3812.06278,36650.85937,252
NIFTYNXT50,1221,1190,31,2.61,429,1958.77516,57.45811,2016.23327,71828
INFY,573027,558972,14055,2.51,277272,293878.18556,18105.74992,311983.93548,1094
MFSL,28669,27967,702,2.51,7276,10926.70356,322.32324,11249.0268,1535
HINDALCO,122884,119889,2995,2.5,50824,59327.85817,4045.99461,63373.85278,945
NHPC,36114,35262,852,2.42,7543,11921.80204,346.00575,12267.80779,78
DMART,87425,85441,1984,2.32,33131,20155.32645,1562.11588,21717.44233,3950
RADICO,8467,8287,180,2.17,2884,5606.96473,209.05051,5816.01525,4082
COCHINSHIP,40549,39693,856,2.16,10143,13932.36772,461.85864,14394.22636,1401
360ONE,22237,21787,450,2.07,60067,49153.49515,4786.03325,53939.5284,1111
LODHA,49092,48139,953,1.98,15048,24617.96418,1470.2945,26088.25868,1186
PIDILITIND,20584,20202,382,1.89,6256,11691.0642,292.95915,11984.02335,1560
PAGEIND,26026,25566,460,1.8,11632,18031.20714,904.38795,18935.59509,39945
TIINDIA,14158,13909,249,1.79,3333,6358.35592,186.28494,6544.64086,2882
IOC,58136,57124,1012,1.77,10892,13703.96673,754.67486,14458.6416,141
SHREECEM,18654,18336,318,1.73,3981,4641.02839,191.14867,4832.17706,26520
LICI,34005,33428,577,1.73,19039,25909.07886,1275.25594,27184.3348,434
VOLTAS,40032,39353,679,1.73,21780,11968.10051,1618.41011,13586.51062,1340
INDIGO,87919,86455,1464,1.69,46837,42002.02473,5086.8805,47088.90523,5246
GODFRYPHLP,11548,11359,189,1.66,5225,3314.27481,312.03683,3626.31164,2111
AUBANK,37867,37324,543,1.45,12647,35149.6924,1504.4271,36654.1195,1028
BDL,50915,50236,679,1.35,13264,12738.95123,621.15904,13360.11028,1254
CHOLAFIN,34862,34402,460,1.34,7117,13348.47737,1015.51893,14363.99631,1799
HDFCBANK,738804,729219,9585,1.31,279238,249243.35683,16835.16536,266078.52219,820
IDFCFIRSTB,66390,65548,842,1.28,18805,32010.801,1885.70303,33896.50404,80
SOLARINDS,31496,31097,399,1.28,18227,12412.41571,2548.61987,14961.03558,18420
UNITDSPR,36392,35948,444,1.24,8323,10992.5316,575.85912,11568.39072,1376
HEROMOTOCO,77620,76674,946,1.23,31068,29802.15081,2326.42053,32128.57134,4906
ONGC,81606,80619,987,1.22,19748,17419.0293,859.38997,18278.41927,247
BANDHANBNK,48265,47686,579,1.21,14742,29189.46456,1877.25888,31066.72344,213
APOLLOHOSP,37106,36662,444,1.21,21285,33051.42655,1772.32817,34823.75472,8820
KOTAKBANK,165582,163636,1946,1.19,113465,166560.6434,10388.36,176949.0034,390
TCS,420310,415454,4856,1.17,493224,238865.19558,33085.00019,271950.19578,2266
ASIANPAINT,66152,65391,761,1.16,21792,16120.43975,1317.18465,17437.6244,2690
PREMIERENE,20271,20040,231,1.15,6372,10036.56628,612.85861,10649.42489,1078
RELIANCE,499910,494237,5673,1.15,456077,318496.05205,38029.03835,356525.0904,1328
HAL,71508,70699,809,1.14,53256,55428.30916,4873.27161,60301.58077,4501
MANKIND,21893,21650,243,1.12,12830,14642.14372,858.5918,15500.73552,2482
CIPLA,60486,59815,671,1.12,20471,22206.46122,1335.20579,23541.66702,1419
RVNL,43540,43094,446,1.03,9878,11312.1393,570.6674,11882.8067,225
PERSISTENT,80122,79308,814,1.03,36828,43068.73198,4097.23492,47165.96691,5175
PGEL,27922,27647,275,0.99,20806,18498.93922,2067.91763,20566.85685,612
TATAPOWER,84604,83848,756,0.9,28060,33923.98293,1397.73025,35321.71319,377
NAM-INDIA,14992,14866,126,0.85,11365,8548.42187,948.14656,9496.56843,1188
MPHASIS,27840,27613,227,0.82,9937,17511.72326,1126.61903,18638.3423,2393
SAIL,52151,51731,420,0.81,9501,22551.59687,975.31627,23526.91314,162
SUZLON,67345,66829,516,0.77,23846,35145.52534,1882.9909,37028.51624,52
ITC,192911,191503,1408,0.74,72463,43731.66818,3097.06068,46828.72887,280
INDUSTOWER,86123,85543,580,0.68,10727,25836.31848,697.39559,26533.71407,403
DIXON,136158,135253,905,0.67,132236,116879.24025,13052.87417,129932.11443,14300
MARUTI,144923,144014,909,0.63,97953,38561.5349,6475.71162,45037.24653,13824
CANBK,88517,87991,526,0.6,16782,33058.68727,2053.53495,35112.22222,125
TATACONSUM,47469,47205,264,0.56,11048,13106.16153,566.34028,13672.50181,1088
LT,217245,216171,1074,0.5,99955,70584.26926,6410.27581,76994.54507,3817
MAXHEALTH,36832,36667,165,0.45,13716,13869.88827,762.21946,14632.10773,1090
CROMPTON,35576,35434,142,0.4,7697,8753.37369,362.2163,9115.58999,256
GAIL,37880,37729,151,0.4,7836,10272.97899,505.3393,10778.3183,171
