Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,07-Jul-2026,23900,Put,128194,195387,-67193,-34.39,0.05,3.4,-98.53,2325246,1269.58431,24398.7
NIFTY,Index Options,07-Jul-2026,24100,Put,100205,162329,-62124,-38.27,0.05,6.15,-99.19,3497195,2818.73917,24398.7
NIFTY,Index Options,07-Jul-2026,24000,Put,192214,249532,-57318,-22.97,0.05,4.4,-98.86,3195593,2118.67815,24398.7
NIFTY,Index Options,07-Jul-2026,24300,Put,159635,212702,-53067,-24.95,0.05,21.6,-99.77,9955897,23943.93228,24398.7
NIFTY,Index Options,07-Jul-2026,23000,Put,74244,115208,-40964,-35.56,0.05,0.85,-94.12,599676,187.09891,24398.7
NIFTY,Index Options,07-Jul-2026,23850,Put,56845,91362,-34517,-37.78,0.05,2.85,-98.25,1083079,549.12105,24398.7
NIFTY,Index Options,07-Jul-2026,24050,Put,51791,85753,-33962,-39.6,0.05,5.15,-99.03,1512346,1150.13913,24398.7
NIFTY,Index Options,07-Jul-2026,24150,Put,66237,96405,-30168,-31.29,0.05,7.55,-99.34,2577575,2496.38138,24398.7
NIFTY,Index Options,07-Jul-2026,23300,Put,49343,78509,-29166,-37.15,0.05,1.25,-96.0,432716,165.94658,24398.7
NIFTY,Index Options,07-Jul-2026,23600,Put,76308,97633,-21325,-21.84,0.05,1.8,-97.22,1128728,535.58143,24398.7
NIFTY,Index Options,07-Jul-2026,24300,Call,25512,45947,-20435,-44.48,98.4,138.6,-29.0,2083297,210758.8243,24398.7
NIFTY,Index Options,07-Jul-2026,24200,Put,134563,151848,-17285,-11.38,0.1,10.2,-99.02,5123471,6094.36875,24398.7
NIFTY,Index Options,07-Jul-2026,23200,Put,50665,67336,-16671,-24.76,0.05,1.1,-95.45,399981,161.19234,24398.7
NIFTY,Index Options,07-Jul-2026,21350,Put,9204,24451,-15247,-62.36,0.05,0.45,-88.89,76577,11.44826,24398.7
NIFTY,Index Options,07-Jul-2026,24200,Call,13184,27606,-14422,-52.24,198.05,226.75,-12.66,302917,49753.66287,24398.7
HDFCBANK,Stock Futures,28-Jul-2026,0,-,479788,493315,-13527,-2.74,829.05,831.65,-0.31,55701,302288.21298,827.5
NIFTY,Index Options,07-Jul-2026,24650,Call,103943,117025,-13082,-11.18,0.05,4.7,-98.94,5792627,6927.98189,24398.7
NIFTY,Index Options,07-Jul-2026,22000,Put,20448,32228,-11780,-36.55,0.05,0.45,-88.89,243952,44.39926,24398.7
NIFTY,Index Options,07-Jul-2026,22500,Put,21989,33462,-11473,-34.29,0.05,0.5,-90.0,168058,40.41794,24398.7
NIFTY,Index Options,07-Jul-2026,22900,Put,12918,24221,-11303,-46.67,0.05,0.65,-92.31,135582,37.01388,24398.7
NIFTY,Index Options,07-Jul-2026,23800,Put,127518,137531,-10013,-7.28,0.05,2.55,-98.04,1783761,881.17793,24398.7
NIFTY,Index Options,07-Jul-2026,24000,Call,46534,56285,-9751,-17.32,398.55,420.5,-5.22,55399,16257.14124,24398.7
NIFTY,Index Options,07-Jul-2026,23400,Put,46722,56343,-9621,-17.08,0.05,1.45,-96.55,567047,228.51994,24398.7
NIFTY,Index Options,07-Jul-2026,25100,Call,45363,53337,-7974,-14.95,0.05,0.7,-92.86,896390,227.23486,24398.7
NIFTY,Index Options,07-Jul-2026,24100,Call,11305,19223,-7918,-41.19,298.6,322.25,-7.34,58264,13397.45721,24398.7
