Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,01-Sep-2026,24500,Call,171480,261562,-90082,-34.44,0.05,3.15,-98.41,3556121,1895.41249,24055.8
NIFTY,Index Options,01-Sep-2026,24400,Call,125765,196560,-70795,-36.02,0.05,6.1,-99.18,4410161,3955.91441,24055.8
NIFTY,Index Options,01-Sep-2026,25000,Call,122275,169982,-47707,-28.07,0.05,0.9,-94.44,1368801,346.99105,24055.8
NIFTY,Index Options,01-Sep-2026,24450,Call,53254,99890,-46636,-46.69,0.05,4.3,-98.84,2235998,1497.00066,24055.8
NIFTY,Index Options,01-Sep-2026,24100,Put,113219,156618,-43399,-27.71,44.15,62.7,-29.59,21646571,730387.77539,24055.8
NIFTY,Index Options,01-Sep-2026,24300,Call,185365,224201,-38836,-17.32,0.05,14.0,-99.64,8343733,13558.56612,24055.8
NIFTY,Index Options,01-Sep-2026,24250,Call,85591,122342,-36751,-30.04,0.05,22.2,-99.77,8161887,22971.63096,24055.8
NIFTY,Index Options,01-Sep-2026,24350,Call,107409,142737,-35328,-24.75,0.05,8.95,-99.44,4924621,5825.82664,24055.8
NIFTY,Index Options,01-Sep-2026,24600,Call,98625,133383,-34758,-26.06,0.05,2.0,-97.5,2375335,957.26,24055.8
NIFTY,Index Options,01-Sep-2026,23750,Put,57194,88920,-31726,-35.68,0.05,4.15,-98.8,4226817,3489.23743,24055.8
NIFTY,Index Options,01-Sep-2026,23800,Put,113892,144304,-30412,-21.07,0.05,6.05,-99.17,7720982,9234.29447,24055.8
NIFTY,Index Options,01-Sep-2026,24550,Call,56835,85199,-28364,-33.29,0.05,2.45,-97.96,1816238,814.58274,24055.8
NIFTY,Index Options,01-Sep-2026,23700,Put,105507,131197,-25690,-19.58,0.05,3.25,-98.46,2974708,1817.54658,24055.8
NIFTY,Index Options,01-Sep-2026,22000,Put,23383,39409,-16026,-40.67,0.05,0.3,-83.33,189487,23.40164,24055.8
NIFTY,Index Options,01-Sep-2026,24200,Call,178609,193831,-15222,-7.85,0.05,34.55,-99.86,16107502,83968.40792,24055.8
NIFTY,Index Options,01-Sep-2026,22500,Put,51827,62840,-11013,-17.53,0.05,0.7,-92.86,196921,39.67958,24055.8
NIFTY,Index Options,01-Sep-2026,25100,Call,43662,54106,-10444,-19.3,0.05,0.7,-92.86,373222,82.48206,24055.8
NIFTY,Index Options,01-Sep-2026,26000,Call,18877,28542,-9665,-33.86,0.05,0.35,-85.71,122433,15.12047,24055.8
NIFTY,Index Options,01-Sep-2026,25500,Call,84161,93535,-9374,-10.02,0.05,0.45,-88.89,176855,32.18761,24055.8
NIFTY,Index Options,01-Sep-2026,22100,Put,13523,22414,-8891,-39.67,0.05,0.3,-83.33,76053,9.88689,24055.8
NIFTY,Index Options,01-Sep-2026,25400,Call,14118,22933,-8815,-38.44,0.05,0.5,-90.0,86252,14.01595,24055.8
NIFTY,Index Options,01-Sep-2026,25600,Call,21693,30212,-8519,-28.2,0.05,0.4,-87.5,84049,12.56532,24055.8
NIFTY,Index Options,01-Sep-2026,23600,Put,81266,88246,-6980,-7.91,0.05,2.45,-97.96,1897440,814.00176,24055.8
NIFTY,Index Options,01-Sep-2026,25300,Call,37219,43789,-6570,-15.0,0.05,0.6,-91.67,310778,56.56159,24055.8
NIFTY,Index Options,01-Sep-2026,22800,Put,21243,27689,-6446,-23.28,0.05,0.85,-94.12,184170,39.50446,24055.8
