Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,11-Aug-2026,24500,Put,112685,89613,23072,25.75,63.45,54.5,16.42,4313484,236413.43107,24570.65
NIFTY,Index Options,11-Aug-2026,24550,Put,53021,37507,15514,41.36,82.25,69.1,19.03,4067445,277682.43642,24570.65
NIFTY,Index Options,18-Aug-2026,24000,Put,28140,19792,8348,42.18,25.8,24.95,3.41,51231,1022.6476,24570.65
NIFTY,Index Options,18-Aug-2026,23900,Put,13044,6209,6835,110.08,19.4,18.5,4.86,28384,408.28964,24570.65
NIFTY,Index Options,30-Mar-2027,22500,Put,9416,4939,4477,90.65,177.75,164.75,7.89,7785,875.01843,24570.65
NIFTY,Index Options,18-Aug-2026,24100,Put,13074,8870,4204,47.4,36.3,33.35,8.85,28532,770.76344,24570.65
TCS,Stock Options,25-Aug-2026,2460,Call,7218,3413,3805,111.49,45.95,29.1,57.9,19002,2086.4196,2452.7
NIFTY,Index Options,11-Aug-2026,24400,Put,84113,80769,3344,4.14,36.4,33.2,9.64,2124203,71867.09799,24570.65
NIFTY,Index Options,18-Aug-2026,24400,Put,12974,9827,3147,32.02,92.8,80.55,15.21,34424,2364.20589,24570.65
NIFTY,Index Options,18-Aug-2026,24500,Put,15958,13033,2925,22.44,128.0,107.15,19.46,61331,5654.07422,24570.65
NIFTY,Index Options,18-Aug-2026,24300,Put,20739,18076,2663,14.73,69.8,60.3,15.75,35512,1821.69457,24570.65
NIFTY,Index Options,11-Aug-2026,24450,Put,36324,33675,2649,7.87,49.5,42.55,16.33,1697295,73144.92802,24570.65
NIFTY,Index Options,18-Aug-2026,24200,Put,11395,8785,2610,29.71,51.0,44.6,14.35,30177,1126.49232,24570.65
NIFTY,Index Options,18-Aug-2026,24600,Put,15062,12782,2280,17.84,169.85,140.75,20.67,72606,8678.01433,24570.65
NIFTY,Index Options,29-Sep-2026,24000,Put,43161,41026,2135,5.2,152.0,140.3,8.34,10606,1083.2385,24570.65
NIFTY,Index Options,18-Aug-2026,24450,Put,4248,2223,2025,91.09,110.3,92.75,18.92,14921,1186.53284,24570.65
NIFTY,Index Options,25-Aug-2026,24650,Put,6214,4242,1972,46.49,232.3,202.1,14.94,10765,1722.23314,24570.65
NIFTY,Index Options,18-Aug-2026,23950,Put,3129,1176,1953,166.07,21.9,21.45,2.1,8164,139.9881,24570.65
HINDALCO,Stock Options,25-Aug-2026,1100,Call,4219,2372,1847,77.87,11.0,9.9,11.11,22155,1586.51955,1059.6
LTM,Stock Futures,25-Aug-2026,0,-,18641,16841,1800,10.69,4700.7,4573.0,2.79,7080,49490.3682,4658.1
GRASIM,Stock Futures,25-Aug-2026,0,-,49776,47984,1792,3.73,3329.5,3216.2,3.52,11326,93440.34945,3323.0
HEROMOTOCO,Stock Futures,25-Aug-2026,0,-,32787,31005,1782,5.75,5763.5,5608.0,2.77,17479,150352.87228,5725.0
NIFTY,Index Options,18-Aug-2026,24550,Put,3265,1723,1542,89.5,145.75,123.45,18.06,26474,2789.94925,24570.65
BRITANNIA,Stock Options,25-Aug-2026,5700,Call,2002,493,1509,306.09,51.75,50.0,3.5,22269,2553.41921,5510.0
HINDALCO,Stock Options,25-Aug-2026,1060,Call,4304,2810,1494,53.17,23.4,19.1,22.51,20085,3012.95085,1059.6
