Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
NIFTYNXT50,4455,2228,2227,99.96,17865,9329.42136,254.72291,9584.14428,70945
FINNIFTY,49222,34312,14910,43.45,2786467,9953.12451,49011.17652,58964.30103,25932
MIDCPNIFTY,221847,166215,55632,33.47,5966643,135641.10772,124864.0239,260505.13162,14675
CONCOR,37321,28145,9176,32.6,63158,93627.53825,6338.42187,99965.96012,475
BANKNIFTY,2155178,1815643,339535,18.7,88724255,1020626.30005,1759892.16641,2780518.46646,55092
NIFTY,10035803,8838094,1197709,13.55,314164778,2255834.29097,5655842.74475,7911677.03573,23913
COALINDIA,95739,84841,10898,12.85,155340,207650.57265,14151.56454,221802.13719,455
SIEMENS,34984,32409,2575,7.95,58445,67885.63474,5627.83963,73513.47437,3679
TATAPOWER,89947,84158,5789,6.88,93010,144697.61743,7590.19421,152287.81165,421
IOC,47947,45210,2737,6.05,26044,60498.30003,3452.08743,63950.38747,142
BHARTIARTL,208760,197870,10890,5.5,78324,240762.54415,5624.13376,246386.67791,1847
PAYTM,46758,44511,2247,5.05,49346,129926.75888,4660.32987,134587.08875,1133
DRREDDY,62432,59569,2863,4.81,34694,102378.46006,2592.01518,104970.47525,1329
COLPAL,38492,36742,1750,4.76,37255,49300.97663,1690.19746,50991.17409,2089
IRFC,33687,32196,1491,4.63,19033,28854.52459,900.28438,29754.80897,99
NTPC,168882,161534,7348,4.55,55119,137877.59445,2094.60105,139972.1955,389
ICICIBANK,336121,322073,14048,4.36,167891,600823.08111,11089.86886,611912.94997,1280
INDUSTOWER,93882,90041,3841,4.27,63066,141583.39143,4676.44245,146259.83388,434
MANAPPURAM,26150,25153,997,3.96,13571,64414.7469,2211.8181,66626.565,330
BAJAJFINSV,89977,86644,3333,3.85,35700,48848.68143,1933.54017,50782.22161,1807
SBILIFE,42599,41048,1551,3.78,20181,63843.48611,632.70761,64476.19372,1885
PGEL,34057,32827,1230,3.75,29344,48750.79508,2239.7219,50990.51698,467
CUMMINSIND,26762,25831,931,3.6,17812,69410.77194,1381.11084,70791.88278,5401
RECLTD,86097,83126,2971,3.57,45967,115724.8688,2874.65248,118599.52128,337
ADANIENT,132055,127819,4236,3.31,186331,378656.37444,28754.89341,407411.26785,2973
ONGC,93970,90962,3008,3.31,55941,75879.92677,4291.33162,80171.2584,287
GMRAIRPORT,31835,30840,995,3.23,15615,53307.43492,987.16686,54294.60179,96
