Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
CAMS,21392,16751,4641,27.71,143357,65742.02187,19572.78885,85314.81072,800
MANKIND,24618,19612,5006,25.53,22175,14802.77319,2312.10463,17114.87783,2327
NIFTY,10768541,8619468,2149073,24.93,442987097,1123574.78,8155744.40052,9279319.18052,24032
MARICO,28744,23270,5474,23.52,93949,113518.5468,13742.84424,127261.39104,810
VOLTAS,45731,37898,7833,20.67,41995,49316.68155,4940.35777,54257.03932,1365
VEDL,61925,51702,10223,19.77,160610,62177.06449,15879.88517,78056.94966,305
FINNIFTY,5188,4348,840,19.32,6618,1562.49706,1346.25886,2908.75593,25716
HEROMOTOCO,53929,45781,8148,17.8,39427,42940.19175,5379.98799,48320.17974,5127
GODREJPROP,48518,41201,7317,17.76,70432,55022.93317,7351.78468,62374.71786,1811
HYUNDAI,41723,35670,6053,16.97,18031,44613.30634,910.73941,45524.04576,1820
SRF,31793,27329,4464,16.33,28510,32217.5013,2939.06102,35156.56232,2536
PNB,57638,50501,7137,14.13,96464,155367.9592,16196.8656,171564.8248,108
KEI,17306,15184,2122,13.98,78571,92721.31688,14350.78776,107072.10465,5029
IRFC,26661,23467,3194,13.61,23654,15164.15155,2878.32312,18042.47467,105
NUVAMA,4774,4209,565,13.42,4272,11050.40565,422.40555,11472.8112,1342
HDFCAMC,26098,23106,2992,12.95,20936,32482.78938,2974.60143,35457.39081,2812
CGPOWER,36267,32390,3877,11.97,31182,47852.68485,5628.3906,53481.07545,827
ANGELONE,19100,17114,1986,11.6,19548,22510.5605,3729.19025,26239.75075,314
ICICIPRULI,31136,28176,2960,10.51,11250,8620.58782,909.9225,9530.51032,538
DELHIVERY,19922,18101,1821,10.06,19895,47842.37445,3686.02087,51528.39532,461
PREMIERENE,25490,23368,2122,9.08,11805,13241.0272,1508.01621,14749.04342,1041
MOTILALOFS,8772,8057,715,8.87,5960,8619.33579,837.31147,9456.64726,842
SBILIFE,44637,41010,3627,8.84,19061,19594.40685,1536.15142,21130.55827,1823
TATAPOWER,66343,60974,5369,8.81,45248,53077.24753,4988.50764,58065.75518,442
INDIGO,91713,84555,7158,8.47,54441,47094.56107,7522.54147,54617.10255,4250
360ONE,12666,11687,979,8.38,5971,15452.7717,390.317,15843.0887,1069
BPCL,46831,43229,3602,8.33,22105,20703.356,3044.65111,23748.00711,299
M&M,155212,143573,11639,8.11,269265,256917.04476,35001.92114,291918.9659,3220
LT,143127,132865,10262,7.72,92852,129066.4127,10863.13376,139929.54647,4075
VMM,7262,6754,508,7.52,1692,6197.08313,127.81059,6324.89373,124
APLAPOLLO,25415,23673,1742,7.36,12126,18302.95166,1218.91661,19521.86827,1880
DIXON,103114,96144,6970,7.25,60061,82346.23988,8841.55961,91187.79949,11287
LUPIN,29780,27804,1976,7.11,14557,25293.76785,2294.69761,27588.46547,2337
ICICIBANK,290409,271290,19119,7.05,100992,195515.13926,10018.72718,205533.86644,1250
LAURUSLABS,34683,32426,2257,6.96,22490,54723.66317,4015.99296,58739.65613,1162
BANKNIFTY,971534,908328,63206,6.96,1772780,512416.78109,339905.08355,852321.86464,54547
AMBUJACEM,102056,95436,6620,6.94,67729,65350.25949,4931.31712,70281.57661,433
NIFTYNXT50,865,809,56,6.92,330,1695.23761,57.89073,1753.12834,70627
PETRONET,28325,26550,1775,6.69,49824,41466.80251,5256.08134,46722.88385,282
DRREDDY,49595,46550,3045,6.54,23936,37220.17987,2957.04712,40177.227,1272
COFORGE,82180,77362,4818,6.23,50539,30522.27408,5928.84183,36451.11592,1168
LTM,33990,32038,1952,6.09,19208,30114.64054,2105.31633,32219.95687,4313
UNOMINDA,11197,10560,637,6.03,5807,13496.64976,479.81488,13976.46464,1088
MARUTI,126031,118951,7080,5.95,88358,58776.23481,7501.01097,66277.24578,13450
INOXWIND,36411,34378,2033,5.91,23894,23708.2659,2885.71819,26593.98409,104
POLICYBZR,29547,27921,1626,5.82,8894,17855.39784,1095.33039,18950.72823,1683
BHARTIARTL,171617,162243,9374,5.78,86772,99395.0495,9767.73341,109162.78292,1816
GODFRYPHLP,9177,8679,498,5.74,3308,7942.74296,446.41478,8389.15775,2238
ITC,198356,187737,10619,5.66,99218,42713.24019,5766.39942,48479.63961,310
ASHOKLEY,56103,53199,2904,5.46,21853,38625.642,4978.1945,43603.8365,161
NTPC,110369,104689,5680,5.43,38314,30507.47535,2669.409,33176.88435,399
MIDCPNIFTY,83854,79581,4273,5.37,95134,40389.24799,19486.11405,59875.36204,13950
BSE,46170,43818,2352,5.37,41786,73305.07187,15786.87547,89091.94735,3738
CIPLA,57520,54621,2899,5.31,18737,14146.88887,1204.92806,15351.81693,1335
PGEL,20342,19323,1019,5.27,8524,10279.11827,1030.83996,11309.95824,531
ADANIGREEN,56841,53995,2846,5.27,46153,59948.12856,12942.15486,72890.28342,1331
NAM-INDIA,8589,8175,414,5.06,8751,11577.55256,890.01006,12467.56262,1050
NAUKRI,37815,36000,1815,5.04,11737,12583.797,532.81125,13116.60825,959
RVNL,51151,48704,2447,5.02,19075,21847.33483,2011.18531,23858.52015,301
INDIANB,24473,23402,1071,4.58,23127,37102.9207,3721.5831,40824.5038,849
YESBANK,59227,56648,2579,4.55,53289,65019.08127,4372.2868,69391.36807,20
HDFCLIFE,63096,60441,2655,4.39,35278,38876.01663,3368.92567,42244.9423,595
