Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,12-May-2026,24200,Call,34505,19839,14666,73.93,237.35,236.65,0.3,183798,31795.39981,24119.3
NIFTY,Index Futures,26-May-2026,0,-,241408,234304,7104,3.03,24199.0,24098.2,0.42,73551,1159065.56941,24119.3
VEDL,Stock Futures,26-May-2026,0,-,18227,12040,6187,51.39,296.0,273.2,8.35,25367,84946.09239,294.5
NIFTY,Index Options,12-May-2026,24100,Call,15376,9207,6169,67.0,290.4,285.3,1.79,97461,19548.43499,24119.3
BHEL,Stock Futures,26-May-2026,0,-,50850,45624,5226,11.45,381.2,354.52,7.53,40047,401497.70613,379.2
ICICIBANK,Stock Futures,26-May-2026,0,-,160078,155543,4535,2.92,1279.0,1270.7,0.65,13705,122887.93825,1269.0
NIFTY,Index Options,12-May-2026,24250,Call,6270,1859,4411,237.28,216.0,215.75,0.12,44046,7130.27659,24119.3
NIFTY,Index Options,12-May-2026,23500,Call,6053,1796,4257,237.03,715.7,664.0,7.79,11927,5921.16511,24119.3
NIFTY,Index Options,26-May-2026,24500,Call,54848,50708,4140,8.16,270.0,264.85,1.94,79545,14849.4606,24119.3
HDFCBANK,Stock Futures,30-Jun-2026,0,-,145513,141704,3809,2.69,774.45,768.45,0.78,5769,24619.55364,779.5
NIFTY,Index Options,26-May-2026,24300,Call,16915,13195,3720,28.19,362.0,352.95,2.56,28014,7068.59052,24119.3
NIFTY,Index Options,12-May-2026,24150,Call,4605,1086,3519,324.03,263.55,260.45,1.19,37121,6845.05671,24119.3
NIFTY,Index Options,12-May-2026,24000,Call,17846,14637,3209,21.92,347.0,334.55,3.72,86694,20981.20506,24119.3
ADANIPORTS,Stock Futures,26-May-2026,0,-,44684,42006,2678,6.38,1748.0,1662.9,5.12,18770,154130.13655,1747.0
IDEA,Stock Futures,26-May-2026,0,-,91960,89360,2600,2.91,10.61,10.26,3.41,21002,159418.72629,10.56
NIFTY,Index Futures,30-Jun-2026,0,-,22541,20095,2446,12.17,24300.0,24210.6,0.37,6343,100432.58823,24119.3
AXISBANK,Stock Futures,26-May-2026,0,-,94207,92004,2203,2.39,1282.6,1275.9,0.53,10260,82403.19,1277.5
MARUTI,Stock Options,26-May-2026,14100,Call,2333,315,2018,640.63,164.95,124.0,33.02,5565,659.14642,13570.0
VEDL,Stock Options,26-May-2026,300,Call,5118,3130,1988,63.51,12.0,5.2,130.77,39563,5041.11746,294.5
M&M,Stock Futures,26-May-2026,0,-,87760,85868,1892,2.2,3122.0,3115.0,0.22,14665,91955.416,3109.9
HDFCBANK,Stock Options,26-May-2026,800,Call,23582,21719,1863,8.58,11.8,11.7,0.85,19177,1389.08599,779.5
NIFTY,Index Options,19-May-2026,24200,Call,2774,914,1860,203.5,338.1,327.15,3.35,6770,1594.69719,24119.3
NIFTY,Index Options,12-May-2026,23800,Call,4734,2900,1834,63.24,479.4,458.85,4.48,9366,3067.63193,24119.3
M&M,Stock Options,26-May-2026,3200,Call,4583,2851,1732,60.75,83.8,80.3,4.36,14433,2733.03288,3109.9
SUNPHARMA,Stock Options,26-May-2026,1860,Call,4273,2580,1693,65.62,25.7,23.75,8.21,4577,419.87109,1822.4
