Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
ATHERENERG,15621,5590,10031,179.45,91084,51322.81567,18205.32543,69528.14111,1616
SAGILITY,8851,7037,1814,25.78,17622,18929.3016,2401.9992,21331.3008,46
OFSS,24205,19903,4302,21.61,46475,53973.50731,14008.00148,67981.50879,12190
FINNIFTY,5636,4651,985,21.18,14491,1031.35929,2127.47975,3158.83904,26286
HAVELLS,22432,19204,3228,16.81,22564,37473.83955,1627.05035,39100.8899,1222
BDL,37902,32451,5451,16.8,36616,31128.70828,3847.00148,34975.70977,1306
PERSISTENT,41119,35320,5799,16.42,94071,59456.80932,14968.83898,74425.64831,5875
COFORGE,49736,43067,6669,15.49,110715,100503.68354,26348.51196,126852.1955,2014
MIDCPNIFTY,69364,60122,9242,15.37,82228,16344.59496,12910.8514,29255.44636,14966
TVSMOTOR,67428,58895,8533,14.49,145067,139309.58706,16579.36236,155888.94942,4304
LTM,36155,32317,3838,11.88,87305,46383.34186,15619.50999,62002.85185,4675
SUPREMEIND,18378,16468,1910,11.6,21727,15358.05475,3103.24376,18461.29852,3636
DIVISLAB,62161,55946,6215,11.11,78915,70360.8504,10070.81238,80431.66278,9239
ICICIGI,26904,24315,2589,10.65,10967,8584.77353,672.47888,9257.25242,1562
COALINDIA,111629,101021,10608,10.5,64541,48399.75733,3756.92053,52156.67787,401
SONACOMS,17859,16201,1658,10.23,9704,15802.67395,1463.09283,17265.76678,815
ALKEM,15171,13912,1259,9.05,6980,12015.17012,503.98261,12519.15273,5355
BANKINDIA,25937,23818,2119,8.9,6601,7108.8056,337.34428,7446.14988,144
TECHM,43708,40206,3502,8.71,46293,48651.70146,7550.56032,56202.26178,1640
NIFTY,8727129,8062281,664848,8.25,88080134,614876.92109,3490238.08359,4105115.00469,24175
TATASTEEL,152112,140816,11296,8.02,68267,59457.156,5137.71252,64594.86852,186
SHREECEM,17741,16544,1197,7.24,7438,10658.96951,457.354,11116.32351,24000
MARUTI,91203,85216,5987,7.03,60465,25271.08745,4732.52189,30003.60934,13376
PRESTIGE,17760,16611,1149,6.92,4613,7190.42494,421.32501,7611.74995,1588
INDHOTEL,35292,33019,2273,6.88,10632,19568.1633,832.9232,20401.0865,706
ANGELONE,24790,23278,1512,6.5,11247,24846.4415,1441.872,26288.3135,294
PIIND,33540,31508,2032,6.45,12285,9116.69524,734.19113,9850.88637,2420
MPHASIS,20892,19650,1242,6.32,12779,19692.69896,1847.37806,21540.07702,2455
NIFTYFPI,34,32,2,6.25,8,139.502,0.0,139.502,1574
UNIONBANK,35989,33881,2108,6.22,7100,6883.46451,696.5127,7579.97721,186
HINDZINC,58065,54706,3359,6.14,44208,42656.901,6540.02804,49196.92904,622
INDIGO,67396,63506,3890,6.13,23023,26213.84049,2751.58953,28965.43002,5166
BLUESTARCO,24260,22868,1392,6.09,4420,5754.52059,256.62624,6011.14683,1480
ADANIPOWER,75047,70753,4294,6.07,33057,40323.96436,3826.60251,44150.56687,212
NATIONALUM,37474,35337,2137,6.05,10925,8958.31762,1171.09181,10129.40943,394
CONCOR,25014,23612,1402,5.94,27135,17542.397,3541.07875,21083.47575,516
VOLTAS,50891,48059,2832,5.89,14310,10430.80935,992.27887,11423.08822,1200
KPITTECH,26431,24980,1451,5.81,61605,30298.4049,6305.99403,36604.39893,609
BAJAJ-AUTO,41877,39659,2218,5.59,61604,42369.12872,8003.94735,50373.07607,11910
360ONE,12168,11535,633,5.49,3611,4950.4962,333.7964,5284.2926,1200
SOLARINDS,32191,30543,1648,5.4,23228,23696.48974,3916.74658,27613.23633,20400
BHARTIARTL,186530,177002,9528,5.38,70262,98411.65087,6599.68781,105011.33868,1882
OBEROIRLTY,20693,19637,1056,5.38,6127,5227.96683,762.87155,5990.83838,1870
