Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
PREMIERENE,Stock Futures,30-Jun-2026,0,-,18552,21305,-2753,-12.92,1057.0,1024.8,3.14,7576,45394.65334,1054.7
ADANIENT,Stock Futures,30-Jun-2026,0,-,61159,63034,-1875,-2.97,2995.0,2986.0,0.3,14862,137539.74439,2972.8
ADANIENSOL,Stock Futures,30-Jun-2026,0,-,27684,29324,-1640,-5.59,1558.0,1469.3,6.04,10303,106413.27338,1546.0
NAUKRI,Stock Futures,30-Jun-2026,0,-,38067,39642,-1575,-3.97,1012.0,988.75,2.35,5596,21131.0556,1009.0
BANKNIFTY,Index Options,30-Jun-2026,60000,Put,43078,44249,-1171,-2.65,4776.1,4547.2,5.03,2310,3304.48734,54853.85
AMBUJACEM,Stock Futures,30-Jun-2026,0,-,63190,64321,-1131,-1.76,461.3,451.25,2.23,9832,47375.0004,460.7
LT,Stock Futures,30-Jun-2026,0,-,77289,78321,-1032,-1.32,4084.0,4057.7,0.65,8280,59115.4326,4050.0
INDIGO,Stock Futures,30-Jun-2026,0,-,48428,49347,-919,-1.86,4585.0,4507.3,1.72,9308,63670.2105,4551.0
GRASIM,Stock Futures,30-Jun-2026,0,-,57372,58246,-874,-1.5,3197.5,3187.3,0.32,2606,20789.7559,3168.5
SIEMENS,Stock Futures,30-Jun-2026,0,-,16049,16913,-864,-5.11,3905.0,3680.8,6.09,13223,87444.69072,3897.9
TMPV,Stock Options,30-Jun-2026,390,Call,1048,1889,-841,-44.52,22.0,11.35,93.83,10368,1267.38432,403.05
TMPV,Stock Options,30-Jun-2026,400,Call,2314,3153,-839,-26.61,16.05,7.6,111.18,20901,1847.6484,403.05
VEDL,Stock Options,30-Jun-2026,350,Call,2604,3437,-833,-24.24,18.0,15.75,14.29,10243,2143.8599,354.95
TATASTEEL,Stock Options,30-Jun-2026,210,Call,2135,2812,-677,-24.08,7.6,5.54,37.18,7809,1681.47292,214.51
POWERINDIA,Stock Futures,30-Jun-2026,0,-,16703,17357,-654,-3.77,37655.0,36250.0,3.88,8751,81633.28782,37430.0
LT,Stock Options,30-Jun-2026,4000,Call,3071,3699,-628,-16.98,147.0,138.6,6.06,3442,882.74392,4050.0
HEROMOTOCO,Stock Futures,30-Jun-2026,0,-,24867,25491,-624,-2.45,5120.5,5014.0,2.12,4540,34569.6711,5086.0
VBL,Stock Futures,30-Jun-2026,0,-,40477,41096,-619,-1.51,537.3,535.35,0.36,3253,19677.0717,535.25
WAAREEENER,Stock Futures,30-Jun-2026,0,-,30383,30988,-605,-1.95,3168.0,3107.6,1.94,7796,42665.20818,3145.0
HEROMOTOCO,Stock Options,30-Jun-2026,5400,Call,660,1240,-580,-46.77,58.0,49.55,17.05,2503,194.37046,5086.0
VEDL,Stock Options,30-Jun-2026,340,Call,1156,1661,-505,-30.4,23.55,20.55,14.6,2583,698.94688,354.95
POWERINDIA,Stock Options,30-Jun-2026,40000,Call,2016,2518,-502,-19.94,732.4,539.0,35.88,10849,1943.21863,37430.0
SUZLON,Stock Options,30-Jun-2026,55,Call,1495,1949,-454,-23.29,4.3,2.55,68.63,4269,1229.03442,57.75
BAJAJ-AUTO,Stock Options,30-Jun-2026,10600,Call,572,1010,-438,-43.37,240.0,168.25,42.64,4571,745.7815,10801.0
BAJFINANCE,Stock Futures,30-Jun-2026,0,-,95635,96068,-433,-0.45,933.55,928.1,0.59,5424,37761.21,935.0
