Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
DMART,81004,63850,17154,26.87,159146,126904.34752,11447.05171,138351.39924,3994
BDL,46669,38481,8188,21.28,46154,47746.11946,4191.20626,51937.32572,1301
KALYANKJIL,97699,84073,13626,16.21,371172,244076.33826,105013.68025,349090.01851,511
HCLTECH,163281,141447,21834,15.44,279521,131279.52612,25884.53176,157164.05788,1224
NIFTY,9706818,8440213,1266605,15.01,159711069,854966.29245,5620745.43368,6475711.72613,24211
OFSS,30171,26551,3620,13.63,58181,77184.1799,13805.94311,90990.12301,11730
NIFTYNXT50,1025,906,119,13.13,420,2665.57874,33.50243,2699.08117,72111
ICICIGI,23996,21250,2746,12.92,31060,33506.08001,2870.96332,36377.04333,1791
LTF,43712,39269,4443,11.31,120676,92016.6183,15606.23962,107622.85792,324
PAYTM,61668,55548,6120,11.02,76778,88369.60054,20609.95511,108979.55566,1386
BIOCON,37080,33579,3501,10.43,37468,104920.658,5923.66725,110844.32525,413
HAVELLS,40389,36661,3728,10.17,20541,27375.22655,1743.70375,29118.9303,1180
BLUESTARCO,17984,16344,1640,10.03,25100,19687.43523,2019.7825,21707.21774,1712
PGEL,27913,25599,2314,9.04,68336,41302.44139,9811.89041,51114.33181,597
FINNIFTY,7253,6658,595,8.94,11127,3340.27699,1538.5018,4878.77879,26836
AMBER,30237,27791,2446,8.8,37105,30818.55649,5267.62471,36086.1812,7779
WAAREEENER,73213,67316,5897,8.76,19306,42917.03087,1060.1721,43977.20297,2878
360ONE,17049,15705,1344,8.56,9083,12941.0039,696.35395,13637.35785,1119
ALKEM,15913,14675,1238,8.44,5643,12245.44003,331.8293,12577.26933,5568
PIIND,30941,28643,2298,8.02,8853,8474.00832,618.75453,9092.76285,2572
VMM,12406,11499,907,7.89,2751,5367.60897,196.19705,5563.80602,116
LTM,55622,51583,4039,7.83,171524,110075.12488,20666.60976,130741.73464,4128
GRASIM,70078,65281,4797,7.35,34683,48321.7523,2619.2022,50940.9545,3126
KFINTECH,21337,19880,1457,7.33,24319,19706.4207,2417.79611,22124.21681,928
BAJAJ-AUTO,67778,63157,4621,7.32,93140,117261.28245,9107.94974,126369.23219,10410
UNIONBANK,53294,49670,3624,7.3,61873,78848.21124,9907.33339,88755.54463,170
ASIANPAINT,65110,60746,4364,7.18,32813,28800.33442,2394.16177,31194.4962,2649
EICHERMOT,84509,79105,5404,6.83,29690,40545.97489,2580.37548,43126.35037,7315
IREDA,26001,24347,1654,6.79,6435,12984.18432,435.82854,13420.01286,124
MAZDOCK,44631,41794,2837,6.79,15470,17951.00872,1258.73991,19209.74863,2402
KEI,19412,18230,1182,6.48,7826,26905.53451,916.32612,27821.86064,5110
OIL,23644,22240,1404,6.31,13468,11037.57984,1001.28,12038.85984,431
HDFCAMC,31257,29406,1851,6.29,23058,30131.32584,3160.1247,33291.45054,2741
INOXWIND,31802,29932,1870,6.25,11163,12607.6032,799.20064,13406.80384,81
MOTILALOFS,10738,10130,608,6.0,4731,10438.30698,473.63706,10911.94404,981
