Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
INFY,Stock Futures,29-Sep-2026,0,-,152608,105191,47417,45.08,1139.5,1127.8,1.04,69269,315844.47392,1130.0
IDEA,Stock Futures,29-Sep-2026,0,-,68790,40565,28225,69.58,14.21,14.09,0.85,31308,317535.20667,14.07
TCS,Stock Futures,29-Sep-2026,0,-,125827,97826,28001,28.62,2314.9,2313.4,0.06,34309,178257.72739,2284.1
NIFTY,Index Options,01-Sep-2026,23800,Put,42024,20143,21881,108.63,24.55,21.15,16.08,127529,1632.1799,24219.05
TATASTEEL,Stock Futures,29-Sep-2026,0,-,76060,55642,20418,36.7,187.0,184.03,1.61,28571,146564.94435,186.3
NIFTY,Index Options,25-Aug-2026,24900,Call,76277,56108,20169,35.95,1.9,1.6,18.75,900852,813.91978,24219.05
NIFTY,Index Options,25-Aug-2026,24150,Put,111143,93014,18129,19.49,43.15,32.3,33.59,5925684,141857.91211,24219.05
MANAPPURAM,Stock Futures,29-Sep-2026,0,-,17940,1513,16427,1085.72,369.0,358.45,2.94,18705,206295.5745,365.05
COALINDIA,Stock Futures,29-Sep-2026,0,-,57913,42727,15186,35.54,402.85,402.4,0.11,17844,97424.76042,406.9
INDUSINDBK,Stock Futures,29-Sep-2026,0,-,42212,27027,15185,56.18,1016.1,1008.2,0.78,21006,149340.26646,1018.4
DLF,Stock Futures,29-Sep-2026,0,-,43646,28471,15175,53.3,687.0,681.95,0.74,18864,123289.72776,689.0
NIFTY,Index Options,01-Sep-2026,23500,Put,41220,26100,15120,57.93,8.5,8.0,6.25,97630,470.86949,24219.05
WIPRO,Stock Futures,29-Sep-2026,0,-,63245,48133,15112,31.4,180.7,179.85,0.47,26974,146509.281,181.31
HCLTECH,Stock Futures,29-Sep-2026,0,-,58393,44002,14391,32.71,1326.9,1314.3,0.96,19554,103605.69576,1322.0
NIFTY,Index Options,01-Sep-2026,24200,Put,38657,24511,14146,57.71,129.75,100.55,29.04,228579,16662.83765,24219.05
NIFTY,Index Options,25-Aug-2026,24100,Put,140659,126669,13990,11.04,25.3,22.95,10.24,4705240,69150.55966,24219.05
NIFTY,Index Options,01-Sep-2026,23600,Put,39291,25532,13759,53.89,11.4,9.85,15.74,81534,489.16323,24219.05
TVSMOTOR,Stock Futures,29-Sep-2026,0,-,43397,29737,13660,45.94,4402.9,4393.7,0.21,16951,130516.17386,4363.5
NIFTY,Index Options,01-Sep-2026,23700,Put,33071,19426,13645,70.24,16.65,14.05,18.51,80784,703.10354,24219.05
ETERNAL,Stock Futures,29-Sep-2026,0,-,49100,35459,13641,38.47,328.7,328.3,0.12,18113,144268.46011,327.15
PATANJALI,Stock Futures,29-Sep-2026,0,-,27356,14284,13072,91.51,351.05,349.55,0.43,18706,70612.57792,350.0
PFC,Stock Futures,29-Sep-2026,0,-,61651,49930,11721,23.47,361.55,361.05,0.14,14697,69083.83638,364.0
HINDALCO,Stock Futures,29-Sep-2026,0,-,61762,50700,11062,21.82,1056.1,1044.25,1.13,15806,117016.08562,1058.5
APLAPOLLO,Stock Futures,29-Sep-2026,0,-,23433,13070,10363,79.29,2153.7,2147.3,0.3,12437,93606.70739,2145.0
NIFTY,Index Options,29-Sep-2026,24300,Put,44939,34678,10261,29.59,289.95,252.65,14.76,31417,5527.97823,24219.05
