Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,14-Jul-2026,23800,Call,14660,23532,-8872,-37.7,239.9,231.0,3.85,236451,44580.23508,23962.8
HDFCBANK,Stock Futures,28-Jul-2026,0,-,451398,459872,-8474,-1.84,818.2,812.65,0.68,33809,180166.80864,817.0
NIFTY,Index Options,14-Jul-2026,23850,Call,8350,14737,-6387,-43.34,205.75,203.4,1.16,167102,27208.38315,23962.8
BANKNIFTY,Index Options,28-Jul-2026,60000,Call,53566,59850,-6284,-10.5,89.85,82.6,8.78,103255,2770.84792,57252.45
RELIANCE,Stock Futures,28-Jul-2026,0,-,217280,222840,-5560,-2.5,1283.6,1277.0,0.52,17427,112268.2194,1280.9
NIFTY,Index Futures,28-Jul-2026,0,-,259431,264122,-4691,-1.78,24007.6,23912.2,0.4,56828,888630.03442,23962.8
NIFTY,Index Options,28-Jul-2026,24000,Call,81292,84635,-3343,-3.95,278.45,275.8,0.96,117286,23970.09167,23962.8
SWIGGY,Stock Futures,28-Jul-2026,0,-,29395,32572,-3177,-9.75,282.54,261.67,7.98,15186,77015.6851,281.8
NIFTY,Index Options,14-Jul-2026,23700,Call,4649,7074,-2425,-34.28,315.0,293.25,7.42,45512,10900.37431,23962.8
MCX,Stock Futures,28-Jul-2026,0,-,38658,40715,-2057,-5.05,2797.1,2750.9,1.68,13465,84936.74872,2789.0
ETERNAL,Stock Futures,28-Jul-2026,0,-,71878,73921,-2043,-2.76,292.95,287.5,1.9,14485,103660.70748,292.45
NIFTY,Index Options,28-Jul-2026,23900,Call,11356,13343,-1987,-14.89,335.75,326.75,2.75,23826,5799.68918,23962.8
BANKNIFTY,Index Options,28-Jul-2026,58500,Call,25999,27977,-1978,-7.07,370.15,301.55,22.75,52806,5863.36701,57252.45
BANKNIFTY,Index Options,28-Jul-2026,58000,Call,46552,48524,-1972,-4.06,558.0,445.4,25.28,77630,12783.56499,57252.45
NIFTY,Index Options,29-Dec-2026,25500,Call,11407,13323,-1916,-14.38,445.4,442.0,0.77,4196,1279.42334,23962.8
NIFTY,Index Options,29-Sep-2026,27000,Call,22074,23975,-1901,-7.93,17.6,17.5,0.57,6182,71.8472,23962.8
BAJAJFINSV,Stock Futures,28-Jul-2026,0,-,40096,41945,-1849,-4.41,1904.0,1856.6,2.55,8407,47662.39359,1899.0
SUNPHARMA,Stock Options,28-Jul-2026,1920,Call,2013,3744,-1731,-46.23,41.0,20.1,103.98,13425,1816.53675,1940.7
SUNPHARMA,Stock Futures,28-Jul-2026,0,-,53847,55525,-1678,-3.02,1942.9,1892.5,2.66,9638,65357.35017,1940.7
AMBER,Stock Futures,28-Jul-2026,0,-,15324,16973,-1649,-9.72,7627.0,7426.0,2.71,4488,34186.57704,7610.0
MAXHEALTH,Stock Futures,28-Jul-2026,0,-,21777,23413,-1636,-6.99,1096.0,1089.7,0.58,4610,26718.34987,1100.0
NIFTY,Index Options,14-Jul-2026,23750,Call,1309,2876,-1567,-54.49,277.8,260.9,6.48,29330,6262.11631,23962.8
NAUKRI,Stock Futures,28-Jul-2026,0,-,27785,29316,-1531,-5.22,1198.25,1177.2,1.79,8331,55146.34636,1199.5
BSE,Stock Futures,28-Jul-2026,0,-,39788,41276,-1488,-3.61,3818.0,3746.8,1.9,10493,79878.17236,3811.8
NIFTY,Index Options,28-Jul-2026,23500,Call,15047,16528,-1481,-8.96,614.45,583.8,5.25,8820,3841.51131,23962.8
