Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
SOLARINDS,89456,47483,41973,88.4,414385,289795.53551,63755.75406,353551.28957,19250
NIFTY,12881647,10475998,2405649,22.96,316176865,1074843.69437,6642755.77602,7717599.47039,23118
MIDCPNIFTY,146989,120080,26909,22.41,251836,172178.82646,31283.65986,203462.48632,14266
BEL,157033,135939,21094,15.52,135498,102162.57687,7983.75231,110146.32918,382
GVT&D,57972,51403,6569,12.78,63140,37327.46847,4367.35848,41694.82696,4246
CHOLAFIN,33677,30312,3365,11.1,15046,53215.51762,1570.86275,54786.38037,1791
WAAREEENER,69149,62476,6673,10.68,39789,36092.55697,1804.21088,37896.76786,2555
HAL,90544,82626,7918,9.58,101014,53625.67213,8832.5806,62458.25274,4695
COFORGE,73819,67632,6187,9.15,121761,99072.49771,16721.36006,115793.85778,1775
GODREJPROP,59131,54310,4821,8.88,48011,29089.54304,4196.47933,33286.02238,1659
SBIN,318124,292628,25496,8.71,232057,125970.8043,14321.54137,140292.34567,968
TATACONSUM,55615,51161,4454,8.71,26560,29744.08035,1194.03553,30938.11589,986
BDL,66035,60994,5041,8.26,45314,31981.55204,2914.90517,34896.45721,1135
BAJAJHLDNG,5270,4893,377,7.7,6847,3971.3751,121.15721,4092.53231,11100
POWERINDIA,60829,56528,4301,7.61,50318,38012.88738,4540.98365,42553.87104,30790
ATHERENERG,34642,32245,2397,7.43,39755,25396.66815,4148.79007,29545.45822,1568
ICICIBANK,267228,248808,18420,7.4,158264,192770.73704,13305.89232,206076.62936,1350
ABCAPITAL,22621,21073,1548,7.35,14512,25081.20038,1810.78068,26891.98106,378
MAXHEALTH,33738,31435,2303,7.33,18479,22945.61136,1131.20721,24076.81857,1030
CGPOWER,39838,37202,2636,7.09,46044,44891.25689,4451.49556,49342.75245,858
FINNIFTY,16993,15897,1096,6.89,22345,2177.50133,2591.30749,4768.80882,25076
ASHOKLEY,62051,58130,3921,6.75,41117,46451.023,4201.166,50652.189,156
COCHINSHIP,44944,42167,2777,6.59,43409,25256.68508,3208.51312,28465.1982,1325
ABB,29408,27605,1803,6.53,24161,21299.6324,2600.2018,23899.8342,7005
MPHASIS,28209,26518,1691,6.38,67321,33301.42123,5358.74245,38660.16368,2378
AUBANK,41103,38649,2454,6.35,13947,33595.1379,1316.5149,34911.6528,1028
INDHOTEL,41438,39087,2351,6.01,18102,35584.721,1134.0604,36718.7814,715
TECHM,59226,55888,3338,5.97,81468,59867.48682,10783.57176,70651.05858,1575
RELIANCE,637070,601205,35865,5.97,349500,202982.8374,22348.7586,225331.596,1235
HDFCAMC,39613,37454,2159,5.76,10823,27483.32451,589.24983,28072.57434,2409
