Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
RELIANCE,Stock Futures,26-May-2026,0,-,173112,147655,25457,17.24,1395.5,1372.9,1.65,75408,522747.108,1393.0
NIFTY,Index Options,05-May-2026,24000,Put,55904,31795,24109,75.83,206.0,190.35,8.22,453075,58089.87843,23995.7
BANKNIFTY,Index Options,28-Apr-2026,55500,Put,39924,17518,22406,127.9,99.15,42.7,132.2,7680690,104841.4185,55400.35
ETERNAL,Stock Futures,26-May-2026,0,-,76683,58939,17744,30.11,260.35,257.1,1.26,58027,354757.78402,258.28
IDEA,Stock Futures,26-May-2026,0,-,88869,71529,17340,24.24,10.03,9.75,2.87,25601,183532.09694,9.95
BEL,Stock Futures,26-May-2026,0,-,70085,55281,14804,26.78,439.5,438.65,0.19,21035,131667.63592,436.65
SUNPHARMA,Stock Futures,26-May-2026,0,-,71360,57214,14146,24.72,1760.0,1745.7,0.82,25940,159428.1479,1749.0
NIFTY,Index Options,05-May-2026,23800,Put,26085,12303,13782,112.02,124.8,123.2,1.3,178681,13709.4784,23995.7
BANKNIFTY,Index Options,28-Apr-2026,55600,Put,17927,5699,12228,214.56,197.9,53.15,272.34,4359795,107420.989,55400.35
NIFTY,Index Options,26-May-2026,23000,Put,48476,37675,10801,28.67,137.0,131.1,4.5,65212,5308.64807,23995.7
ADANIENT,Stock Futures,26-May-2026,0,-,61570,50896,10674,20.97,2432.0,2340.2,3.92,26844,199555.37268,2415.0
NIFTY,Index Options,26-May-2026,24000,Put,56773,46360,10413,22.46,418.2,381.5,9.62,82683,21386.33002,23995.7
NIFTY,Index Options,05-May-2026,23900,Put,20734,10914,9820,89.98,160.0,154.75,3.39,134060,13539.65782,23995.7
HAL,Stock Futures,26-May-2026,0,-,41583,32724,8859,27.07,4365.0,4332.8,0.74,12831,83632.58631,4351.0
BANKNIFTY,Index Options,26-May-2026,56000,Put,27579,18760,8819,47.01,1280.0,958.35,33.56,49064,17160.37932,55400.35
INDUSTOWER,Stock Futures,26-May-2026,0,-,42503,34416,8087,23.5,416.55,403.8,3.16,19030,134819.5574,414.5
SAIL,Stock Futures,26-May-2026,0,-,37015,29497,7518,25.49,187.15,184.99,1.17,7962,70105.25076,186.0
BHARTIARTL,Stock Futures,26-May-2026,0,-,107944,100628,7316,7.27,1855.5,1830.0,1.39,20085,175773.77707,1851.0
NIFTY,Index Options,05-May-2026,23950,Put,10447,3339,7108,212.88,183.9,172.3,6.73,87694,10166.71619,23995.7
WAAREEENER,Stock Futures,26-May-2026,0,-,29621,22625,6996,30.92,3471.1,3382.0,2.63,12590,76123.38912,3461.9
NIFTY,Index Options,26-May-2026,25500,Put,20895,14184,6711,47.31,1440.9,1316.0,9.49,15910,14240.45233,23995.7
KOTAKBANK,Stock Futures,26-May-2026,0,-,99294,92585,6709,7.25,380.3,379.3,0.26,15971,121909.8372,377.25
NIFTY,Index Options,28-Apr-2026,24250,Put,12035,5560,6475,116.46,254.3,174.8,45.48,955883,92036.71671,23995.7
BANKNIFTY,Index Options,26-May-2026,50000,Put,19456,12986,6470,49.82,95.0,82.65,14.94,18336,491.49648,55400.35
ONGC,Stock Futures,26-May-2026,0,-,36668,30235,6433,21.28,302.4,287.25,5.27,20061,134161.44817,302.0
