Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
NIFTY,Index Options,14-Jul-2026,25500,Call,91074,133710,-42636,-31.89,0.75,1.05,-28.57,505190,265.98253,24206.9
NIFTY,Index Options,14-Jul-2026,23600,Put,105077,130706,-25629,-19.61,6.75,30.95,-78.19,833726,4313.69832,24206.9
NIFTY,Index Options,14-Jul-2026,26000,Call,26688,39336,-12648,-32.15,0.55,0.7,-21.43,119635,41.99188,24206.9
NIFTY,Index Options,14-Jul-2026,25000,Call,120855,133006,-12151,-9.14,1.55,2.25,-31.11,1010370,1175.56549,24206.9
NIFTY,Index Options,14-Jul-2026,25200,Call,68930,80153,-11223,-14.0,0.9,1.6,-43.75,315386,241.90106,24206.9
NIFTY,Index Options,14-Jul-2026,25600,Call,22725,33643,-10918,-32.45,0.6,0.85,-29.41,96305,45.07074,24206.9
NIFTY,Index Options,14-Jul-2026,25300,Call,46774,55947,-9173,-16.4,0.75,1.3,-42.31,266461,166.27166,24206.9
NIFTY,Index Options,14-Jul-2026,25800,Call,9743,16835,-7092,-42.13,0.6,0.75,-20.0,37761,15.46312,24206.9
NIFTY,Index Options,14-Jul-2026,25700,Call,19220,25615,-6395,-24.97,0.65,0.75,-13.33,61142,27.42218,24206.9
NIFTY,Index Options,14-Jul-2026,25100,Call,43083,49225,-6142,-12.48,1.15,1.85,-37.84,297141,272.32972,24206.9
NIFTY,Index Options,14-Jul-2026,23250,Put,23318,29206,-5888,-20.16,3.2,9.05,-64.64,280580,764.15963,24206.9
NIFTY,Index Options,28-Jul-2026,24300,Put,20848,25935,-5087,-19.61,255.8,439.3,-41.77,34250,6242.85025,24206.9
NIFTY,Index Options,28-Jul-2026,23850,Put,2334,5719,-3385,-59.19,101.75,207.35,-50.93,9465,664.38147,24206.9
NIFTY,Index Options,14-Jul-2026,23400,Put,58686,61965,-3279,-5.29,4.2,14.45,-70.93,582934,2000.62948,24206.9
NIFTY,Index Options,14-Jul-2026,24950,Call,18311,20889,-2578,-12.34,1.65,2.4,-31.25,219100,283.40585,24206.9
NIFTY,Index Options,14-Jul-2026,25550,Call,4908,7406,-2498,-33.73,0.7,0.9,-22.22,18397,9.20769,24206.9
NIFTY,Index Options,14-Jul-2026,25650,Call,5574,7967,-2393,-30.04,0.6,0.8,-25.0,21482,9.63467,24206.9
NIFTY,Index Options,14-Jul-2026,24850,Call,18944,21239,-2295,-10.81,2.0,2.95,-32.2,568158,960.18702,24206.9
NIFTY,Index Options,14-Jul-2026,25750,Call,3693,5961,-2268,-38.05,0.6,0.75,-20.0,15714,6.94558,24206.9
NIFTY,Index Options,28-Jul-2026,22600,Put,5614,7840,-2226,-28.39,13.9,24.0,-42.08,12303,108.03879,24206.9
NIFTY,Index Options,28-Jul-2026,24000,Put,91783,93891,-2108,-2.25,143.0,274.15,-47.84,117104,12005.26787,24206.9
TCS,Stock Options,28-Jul-2026,1800,Put,3203,5286,-2083,-39.41,3.4,7.4,-54.05,8922,57.21232,2068.0
NIFTY,Index Options,28-Jul-2026,26000,Put,38301,40169,-1868,-4.65,1738.0,1996.6,-12.95,2243,2580.10495,24206.9
NIFTY,Index Options,28-Jul-2026,22500,Put,23733,25435,-1702,-6.69,12.3,21.2,-41.98,16447,136.30451,24206.9
NIFTY,Index Options,14-Jul-2026,23550,Put,32154,33707,-1553,-4.61,5.9,25.35,-76.73,377570,1730.21452,24206.9
