Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
HINDPETRO,33569,21743,11826,54.39,13756,31474.26153,981.33221,32455.59374,373
ALKEM,29165,20154,9011,44.71,132821,52623.20332,10646.83332,63270.03665,5368
PAGEIND,41124,28896,12228,42.32,199850,73011.48691,13378.11298,86389.5999,36750
BDL,49145,37152,11993,32.28,268919,136204.25143,30212.49974,166416.75117,1398
VOLTAS,47803,38934,8869,22.78,149854,50937.00056,14647.31358,65584.31415,1320
TIINDIA,20049,16532,3517,21.27,46628,17032.56312,3828.02294,20860.58606,2733
JUBLFOOD,54871,46985,7886,16.78,209285,100644.14512,21690.886,122335.03112,504
ASHOKLEY,72325,61971,10354,16.71,191185,150056.266,22923.313,172979.579,171
NATIONALUM,62593,54542,8051,14.76,108370,57174.87993,11049.31875,68224.19868,376
SOLARINDS,52925,46465,6460,13.9,307683,119429.20498,35167.90376,154597.10875,19969
MFSL,36971,33027,3944,11.94,146107,81284.15604,13765.4272,95049.58324,1538
OFSS,33278,30396,2882,9.48,50622,43184.33365,8745.98691,51930.32056,11828
TMPV,119899,109516,10383,9.48,244855,131229.56656,14608.09856,145837.66512,334
NIFTY,8473638,7829505,644133,8.23,73926392,501231.32822,2797498.45819,3298729.78642,24366
APLAPOLLO,32987,30845,2142,6.94,34537,40151.91621,3017.95585,43169.87206,2083
MAZDOCK,53890,50517,3373,6.68,53783,26802.83079,5127.58098,31930.41177,2580
BANKNIFTY,1268588,1191671,76917,6.45,2491211,247062.78022,240682.3337,487745.11392,57491
SBILIFE,29540,27809,1731,6.22,13985,10885.90672,789.10173,11675.00846,1795
SBICARD,52235,49210,3025,6.15,22567,25305.56232,1014.31336,26319.87568,633
PATANJALI,56406,53144,3262,6.14,25251,17402.30059,1751.97695,19154.27754,352
FINNIFTY,25863,24398,1465,6.0,29242,2212.28196,1975.2073,4187.48926,26213
MAXHEALTH,44803,42305,2498,5.9,62591,39769.06652,3818.14849,43587.21501,1008
DRREDDY,57436,54277,3159,5.82,18002,38590.82781,959.492,39550.31981,1200
RECLTD,57283,54135,3148,5.82,42001,28997.25585,2205.355,31202.61086,335
BSE,165449,156655,8794,5.61,156316,90938.2267,14164.9606,105103.1873,3447
CIPLA,50406,47742,2664,5.58,25056,15080.07984,1574.35674,16654.43658,1450
HAVELLS,26783,25509,1274,4.99,25401,16356.9567,1664.8573,18021.814,1298
COCHINSHIP,27538,26231,1307,4.98,22483,17648.987,2040.31984,19689.30684,1496
ANGELONE,33945,32378,1567,4.84,15699,18190.64725,1202.35975,19393.007,287
LODHA,37637,35924,1713,4.77,25097,20129.26825,2561.72237,22690.99062,1243
KFINTECH,17156,16377,779,4.76,10317,9943.64474,619.81653,10563.46127,940
HDFCAMC,43004,41273,1731,4.19,15329,18182.78463,957.62448,19140.40911,2485
SIEMENS,46539,44718,1821,4.07,41650,17956.06744,3569.89717,21525.96461,3940
SHREECEM,24037,23109,928,4.02,14461,12964.29214,617.47179,13581.76394,24795
FORCEMOT,27621,26628,993,3.73,34464,5781.83407,823.68885,6605.52292,18361
360ONE,16033,15482,551,3.56,7071,8745.67565,455.5277,9201.20335,1180
JSWENERGY,38964,37635,1329,3.53,11360,7331.83733,499.42952,7831.26685,560
NBCC,27090,26183,907,3.46,8425,11039.19245,521.6471,11560.83955,89
CAMS,22747,21991,756,3.44,9539,5704.10494,472.35383,6176.45877,762
CONCOR,32364,31294,1070,3.42,33946,20283.62737,3517.806,23801.43337,527
AMBER,49750,48128,1622,3.37,210370,87234.69816,16963.55711,104198.25527,7222
AXISBANK,221611,214458,7153,3.34,61537,53668.20068,3832.85725,57501.05793,1217
MIDCPNIFTY,128423,124318,4105,3.3,176939,16252.85014,15828.81988,32081.67003,14971
RELIANCE,482248,467235,15013,3.21,200530,93688.53465,10792.23185,104480.7665,1310
ADANIENSOL,44997,43624,1373,3.15,33718,54387.24588,5289.69953,59676.94541,1616
MOTILALOFS,14356,13929,427,3.07,7167,11595.87333,432.21168,12028.08501,903
HINDZINC,66176,64208,1968,3.07,61274,37763.52335,4759.59442,42523.11777,561
ASIANPAINT,71911,69776,2135,3.06,44849,27049.21942,2459.30662,29508.52605,2696
ZYDUSLIFE,26612,25845,767,2.97,26062,22456.99458,2499.91596,24956.91054,1135
JIOFIN,190074,184915,5159,2.79,92515,72813.15341,6645.34292,79458.49633,249
NMDC,80124,78045,2079,2.66,26821,19766.50087,2074.64355,21841.14442,84
KAYNES,51377,50090,1287,2.57,20676,14939.45667,1740.41491,16679.87158,3660
AUROPHARMA,32605,31811,794,2.5,27364,20104.27996,2849.67903,22953.95899,1622
UNITDSPR,30063,29382,681,2.32,18815,11945.67348,1450.88624,13396.55972,1536
LTF,38145,37290,855,2.29,11619,14713.0038,788.1408,15501.1446,306
CGPOWER,45295,44316,979,2.21,14242,14779.44546,1190.59483,15970.04029,890
IRFC,46438,45485,953,2.1,9830,5013.85227,799.74807,5813.60034,87
INDUSTOWER,83921,82211,1710,2.08,32467,36182.96626,2104.49426,38287.46052,384
TRENT,104653,102621,2032,1.98,67089,60289.14163,5497.51081,65786.65245,2978
ONGC,66599,65323,1276,1.95,26200,14904.261,1229.5458,16133.8068,236
ICICIPRULI,29488,28930,558,1.93,7224,8699.50364,289.56514,8989.06878,509
VMM,16410,16111,299,1.86,3424,3929.00634,216.2809,4145.28724,105
NHPC,36705,36037,668,1.85,6462,9722.04225,273.03144,9995.07369,76
HINDALCO,118446,116314,2132,1.83,78189,52439.36166,5869.38702,58308.74868,1029
TECHM,50036,49142,894,1.82,21933,42791.3907,1868.06472,44659.45542,1632
WIPRO,124705,122483,2222,1.81,49453,18803.5308,2257.731,21061.2618,184
NIFTYFPI,239,235,4,1.7,78,35.101,1.86208,36.96308,1583
BANKBARODA,82490,81202,1288,1.59,23241,22350.34005,1970.66229,24321.00235,248
WAAREEENER,80606,79427,1179,1.48,13466,13915.30152,474.75792,14390.05944,2682
LUPIN,51760,51018,742,1.45,22073,13677.63237,1545.09391,15222.72628,2235
GMRAIRPORT,36088,35571,517,1.45,12326,10573.33275,809.44944,11382.78219,101
ADANIPOWER,75247,74211,1036,1.4,25359,29227.73788,1778.10234,31005.84022,205
COLPAL,41310,40753,557,1.37,11804,7259.82801,345.17815,7605.00617,1981
IDFCFIRSTB,68626,67704,922,1.36,11833,15461.24506,880.52027,16341.76533,85
AUBANK,37374,36893,481,1.3,10696,13210.8699,1131.4324,14342.3023,1081
LICHSGFIN,66601,65744,857,1.3,13097,8032.207,467.6818,8499.8888,500
BHEL,54511,53812,699,1.3,77356,67172.20203,14251.46073,81423.66277,421
HDFCBANK,1021460,1008932,12528,1.24,211663,83720.03165,10011.14881,93731.18046,727
AMBUJACEM,98450,97251,1199,1.23,14924,12940.92924,620.65632,13561.58556,417
NAM-INDIA,16859,16656,203,1.22,3434,8240.262,112.83287,8353.09487,1167
INDIGO,76954,76029,925,1.22,23359,12900.51078,1904.64522,14805.156,5310
