Symbol,Instrument,Expiry,Strike Price,Option Type,Open Interest,Open Interest.1,chng<br/>in OI,%chng<br/>in OI,LTP,Prev. Close,% CHNG in LTP,Volume,Value,Underlying value
SBIN,Stock Futures,30-Jun-2026,0,-,123326,125726,-2400,-1.91,983.55,977.15,0.65,21786,160705.5183,979.25
HYUNDAI,Stock Futures,30-Jun-2026,0,-,29315,31565,-2250,-7.13,1944.1,1881.5,3.33,6262,33432.0509,1934.9
ITC,Stock Futures,30-Jun-2026,0,-,98759,100529,-1770,-1.76,281.9,279.45,0.88,10105,45398.1272,280.1
BANKNIFTY,Index Futures,30-Jun-2026,0,-,82730,83925,-1195,-1.42,54674.6,54517.4,0.29,26361,430765.101,54307.85
BSE,Stock Futures,30-Jun-2026,0,-,22979,24119,-1140,-4.73,4062.8,4003.1,1.49,9135,139168.41356,4042.0
ICICIBANK,Stock Futures,30-Jun-2026,0,-,229988,231039,-1051,-0.45,1260.3,1251.5,0.7,16665,146876.81085,1253.0
MCX,Stock Futures,30-Jun-2026,0,-,19101,20068,-967,-4.82,2900.1,2853.4,1.64,6736,121816.771,2888.0
SBIN,Stock Options,30-Jun-2026,970,Call,5183,6102,-919,-15.06,31.9,29.65,7.59,8868,2111.6925,979.25
TECHM,Stock Futures,30-Jun-2026,0,-,35434,36352,-918,-2.53,1497.7,1478.3,1.31,3132,28005.52968,1486.8
BANKNIFTY,Index Options,30-Jun-2026,53900,Call,1111,2018,-907,-44.95,1523.2,1471.55,3.51,14310,5964.86592,54307.85
PAGEIND,Stock Options,30-Jun-2026,40000,Call,932,1802,-870,-48.28,631.0,421.95,49.54,2740,222.7209,38860.0
NIFTY,Index Options,30-Jun-2026,22500,Call,8405,9196,-791,-8.6,1109.5,1101.6,0.72,2869,1952.25551,23416.55
ICICIBANK,Stock Options,30-Jun-2026,1300,Call,6076,6843,-767,-11.21,11.45,9.3,23.12,10039,756.13748,1253.0
GMRAIRPORT,Stock Options,30-Jun-2026,100,Call,1304,2069,-765,-36.97,5.3,3.44,54.07,3557,1183.44057,102.35
NIFTY,Index Options,30-Jun-2026,31000,Call,2133,2879,-746,-25.91,1.2,1.05,14.29,2883,2.34243,23416.55
TITAN,Stock Options,30-Jun-2026,4450,Call,787,1517,-730,-48.12,34.35,16.35,110.09,4433,201.08088,4238.8
BANKNIFTY,Index Options,30-Jun-2026,53500,Call,12389,13109,-720,-5.49,1796.35,1716.25,4.67,8948,4366.41819,54307.85
GAIL,Stock Futures,30-Jun-2026,0,-,23529,24231,-702,-2.9,168.62,164.76,2.34,2981,15679.67247,167.94
NAM-INDIA,Stock Futures,28-Jul-2026,0,-,689,1388,-699,-50.36,1123.0,1056.8,6.26,1968,13677.477,1135.0
ADANIENT,Stock Futures,30-Jun-2026,0,-,60262,60944,-682,-1.12,2998.6,2946.8,1.76,5656,52096.78422,2977.9
DIXON,Stock Futures,30-Jun-2026,0,-,50439,51108,-669,-1.31,11582.0,11326.0,2.26,8626,49766.71501,11475.0
INFY,Stock Options,30-Jun-2026,1220,Put,1471,2118,-647,-30.55,38.1,34.7,9.8,3681,615.90492,1204.4
SBIN,Stock Options,30-Jun-2026,960,Call,3040,3677,-637,-17.32,38.05,35.2,8.1,3344,942.0048,979.25
FORCEMOT,Stock Futures,30-Jun-2026,0,-,9492,10057,-565,-5.62,18630.0,17585.0,5.94,3497,16128.95082,18560.0
BANKNIFTY,Index Options,30-Jun-2026,51000,Call,1126,1675,-549,-32.78,3784.9,3671.75,3.08,831,917.9924,54307.85
